sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,RPM,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,KNOCK_FLAG,ECT
0,9074.880,10.17,14.7,11.3094,255,0,0,182.5,0,13,127.4,2.21,1.2,0,6.27451,0,14.3647,13.775,-9.03626,1,7,0,0,0,0,0,0,6.912,0,192.2
1,9074.920,10.17,14.7,11.3094,255,0,0,182.5,0,13,127.4,2.21,1.1,0,6.27451,0,14.3647,13.775,-9.03626,1,7,0,0,0,0,0,0,6.912,0,192.2
2,9074.960,10.17,14.7,11.3094,255,0,0,182.5,0,13,120.2,2.21,1.08,0,6.27451,0,14.3647,13.775,-9.03626,1,7,0,0,0,0,0,0,6.912,0,192.2
3,9075.000,10.17,14.7,11.3094,255,0,0,201.25,0,13,120.2,2.43,1.18,0,6.27451,0,14.3647,13.63,-9.03626,1,7,0,0,0,0,0,0,6.912,0,158
4,9075.040,10.17,14.7,11.3094,255,0,0,201.25,0,13,120.2,2.43,1.2,0,6.27451,0,14.3647,13.63,-9.03626,1,7,0,0,0,0,0,0,6.912,0,158
5,9075.080,10.17,14.7,11.3094,255,0,0,417.25,0,13,120.2,3.08,1.18,0,6.27451,0,14.3647,13.195,-9.03626,1,7,0,0,0,0,0,0,6.656,0,158
6,9075.120,21.5439,14.7,11.3094,255,0,0,749.75,0,23.5,120.2,2.85,1.22,0,6.27451,0,14.3647,12.325,-9.03626,1,7,0,0,0,0,0,0,5.632,0,158
7,9075.160,21.5032,14.7,11.3094,255,0,0,1165.75,0,20.5,120.2,3.52,1.24,0,6.27451,0,14.3647,11.02,-9.03626,1,7,0,0,0,0,0,0,5.12,0,158
8,9075.200,21.5032,14.7,11.447,255,0,0,1308.25,0,20.5,120.2,3.81,1.3,0,6.27451,0,14.3647,10.295,-8.70027,1,7,0,0,0,0,0,0,4.352,0,158
9,9075.240,21.5439,14.7,11.4688,255,0,0,1528.5,0,20,120.2,4.41,1.34,0,6.27451,0,14.3647,9.28,-8.70027,1,7,0,0,0,0,0,0,3.584,0,158
10,9075.280,21.4181,14.7,11.4688,255,0,0,1758.5,0,19.5,120.2,5.34,1.38,0,6.27451,0,14.3647,7.975,-8.66886,1,7,0,0,0,0,0,0,2.816,0,158
