log_date,rom_rev,log_path,n_stabs,enrich_cmd_med,stab_lean_med,n_rise,stack_rise_med,stack_rise_p90,stack_settled_med
2026-03-21,garn_base,logs/Older/3-21.csv,58,4.115,3.91,28,-1.329,-0.791,
2026-03-30,garn_base,logs/Older/3-30.csv,38,4.021,4.43,0,,,
2026-04-01,garn_base,logs/Older/4-1.csv,30,4.248,3.9,42,-0.56,-0.087,-0.816
2026-04-11,20.7,logs/Older/4-11.csv,70,4.021,3.79,0,,,
2026-04-12,20.7,logs/Older/4-12 big.csv,145,2.969,3.26,0,,,
2026-04-23,20.8,logs/April/4-23/log0001.csv,6,,,0,,,
2026-04-23,20.8,logs/April/4-23/log0002.csv,5,,,0,,,
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,137,2.352,3.24,74,0.632,0.948,0.093
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,85,3.957,3.78,64,0.521,0.758,0.293
2026-04-27,20.10,logs/April/4-27 20.10/4-27.csv,19,3.302,3.35,0,,,
2026-05-02,20.10,logs/5-2/5-2.csv,95,4.38,4.26,59,0.569,0.888,0.079
2026-05-08,20.11,logs/5-8 20.11/5-8.csv,81,3.21,3.68,44,0.844,1.101,
2026-05-10,20.11,logs/5-10 20.11/log0003.csv,23,3.13,3.24,76,0.505,0.913,0.219
2026-05-11,20.11,logs/5-11 20.11/log0001.csv,23,4.29,4.04,48,0.752,0.879,
2026-05-11,20.11,logs/5-11 20.11/log0002.csv,15,5.71,6.26,0,,,
2026-05-11,20.11,logs/5-11 20.11/log0003.csv,21,4.36,4.27,45,0.608,0.947,
2026-05-12,20.11,logs/5-12 20.11/5-12.csv,9,,,0,,,
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,218,2.225,3.39,157,0.395,0.601,0.148
2026-05-17,20.12,logs/5-17 20.12/log0003.csv,31,4.32,4.18,0,,,
2026-05-17,20.12,logs/5-17 20.12/log0004.csv,36,3.65,3.52,0,,,
2026-05-17,20.12,logs/5-17 20.12/log0005.csv,18,3.525,4.07,0,,,
2026-05-17,20.12,logs/5-17 20.12/log0006.csv,35,3.05,3.41,0,,,
2026-05-17,20.12,logs/5-17 20.12/log0007.csv,197,1.99,3.2,290,0.375,0.544,0.1
2026-05-22,20.13,logs/5-22 20.13/log0001.csv,225,2.4,3.45,272,0.298,0.529,0.103
2026-05-23,20.14,logs/5-23 20.14/log0001.csv,41,3.28,4.28,0,,,
2026-05-23,20.14,logs/5-23 20.14/log0002.csv,16,4.695,4.71,0,,,
2026-05-23,20.14,logs/5-23 20.14/log0003.csv,227,2.57,3.71,375,0.37,0.583,0.097
2026-05-25,20.15,logs/5-25 20.15/log0001.csv,38,4.275,4.27,44,0.345,0.843,0.33
2026-05-26,20.15,logs/5-26 20.15/log0001.csv,20,2.77,2.84,0,,,
2026-05-28,20.15,logs/5-28 20.15/log0001.csv,219,2.15,2.97,292,0.336,0.541,0.146
2026-05-30,20.16,logs/5-30 20.16/log0001.csv,87,3.9,3.59,124,0.414,0.667,0.103
2026-06-03,20.17,logs/6-3 20.17/log0001.csv,59,2.35,2.51,34,0.225,0.683,0.18
2026-06-05,20.17a,logs/6-5 20.17a/log0001.csv,14,2.01,2.35,13,0.539,0.614,
2026-06-07,20.17a,logs/6-7 BIG 20.17a fixed/log0001.csv,545,2.71,2.98,751,0.265,0.564,0.114
2026-06-13,20.17a,logs/6-13 17a leak fix/log0001.csv,30,3.585,2.53,76,0.46,0.824,0.488
2026-06-14,20.17a,logs/6-13 17a leak fix/log0002.csv,23,3.01,1.86,90,0.574,0.844,0.284
2026-06-14,20.17a,logs/6-13 17a leak fix/log0003.csv,9,,,0,,,
2026-06-14,20.17a,logs/6-13 17a leak fix/log0004.csv,8,,,0,,,
2026-06-15,20.17a,logs/6-15/log0001.csv,23,2.95,2.05,30,0.378,0.529,
2026-06-21,20.18,logs/6-21 pcv fix 20.18/6-21 6 logs combined.csv,267,2.53,2.8,382,0.332,0.703,0.137
2026-07-12,20.18,logs/7-12 20.18/7-12 20.18.csv,295,3.748,3.23,120,0.475,0.63,0.242
2026-07-15,20.18a,logs/7-15 20.18a/7-15 20.18a.csv,35,2.877,2.43,63,0.458,0.866,
2026-07-16,20.18a,logs/7-16 20.18a/7-16 20.18a.csv,18,2.689,2.15,0,,,
