sample,time,wbo2,FFB,EGT,AFC,AFL,correction,RPM,load,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,MRP,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,IDC
164445,13240.28,14.3823,14.2008,30,0,-7.03125,1.26196783546444,3394.25,0.835412830522207,41.0105,22.5,46.4,47.26,2.54,16.0784,22.3529,149.4,14.5098,10.295,-4.2148,-0.581978,1,10,0,0,21,68.6274,0,0,4.864,13.7580266666667
164446,13240.32,14.2565,14.6642,30,0.78125,-7.03125,-2.8597481850384,3402,0.838800705467372,41.0105,23,46.4,47.56,2.56,16.0784,22.3529,148.463,14.5098,10.15,-4.3598,-0.593366,1,10,0,0,21,68.6274,0,0,4.864,13.78944
164447,13240.36,14.887,14.6642,30,1.5625,-7.03125,1.49660777859879,3379.75,0.841482358162586,41.0105,23,46.4,47.4,2.54,16.0784,22.3529,148.584,14.5098,10.15,-4.3598,-0.593366,1,10,0,0,21,68.6274,0,0,4.864,13.6992533333333
164448,13240.4,14.6782,14.6144,30,3.125,-7.03125,0.434658200596805,3388.25,0.833350549693795,41.0105,23,46.4,47.06,2.56,16.0784,22.3529,148.846,14.5098,10.15,-4.3598,-0.638806,1,10,0,0,20,68.6274,0,0,5.12,14.4565333333333
164449,13240.44,15.562,14.6144,30,4.6875,-7.03125,6.08919162061431,3421,0.842034492838351,41.0105,23,46.4,48.01,2.56,15.6863,22.3529,143.149,14.5098,10.005,-4.5048,-0.638806,1,10,0,0,21,68.6274,0,0,5.12,14.5962666666667
164450,13240.48,15.3086,14.6215,30,6.25,-7.03125,4.48832682283161,3412.25,0.84155615796029,41.0105,23,46.4,47.86,2.56,15.2941,22.3529,138.721,14.5098,10.005,-4.5048,-1.10093,1,10,0,0,21,67.8431,0,0,5.12,14.5589333333333
164451,13240.52,15.1829,14.6002,30,7.8125,-7.03125,3.837870235594,3396,0.825265017667845,41.0105,23,46.4,46.71,2.52,14.5098,21.1765,125.102,14.5098,9.86,-4.6498,-2.24132,1,10,0,0,21,68.2353,0,0,5.12,14.4896
164452,13240.56,14.8039,14.6002,30,7.8125,-7.03125,1.37598875971873,3402.25,0.793592475567639,41.0105,23.5,46.4,45,2.48,14.1176,20.7843,115.546,14.5098,9.57,-4.9398,-2.24132,1,10,0,0,21,68.2353,0,0,5.12,14.5162666666667
164453,13240.6,13.9606,14.823,30,7.03125,-7.03125,-6.17738492614932,3426.5,0.756807237706114,41.0105,23.5,46.4,43.22,2.46,14.1176,20.3922,114.929,14.5098,9.28,-5.2298,-3.51387,1,10,0,0,20,67.451,0,0,4.864,13.8887466666667
164454,13240.64,14.0457,14.9705,30,6.25,-7.03125,-6.58422150551414,3414.25,0.760752727538991,41.0105,24,46.4,43.29,2.46,14.1176,20.3922,114.772,14.5098,8.99,-5.5198,-3.47771,1,10,0,0,20,67.451,0,0,4.608,13.11072
