AE5L600L Calibration Cross-Reference: RomRaider Definitions <-> Disassembly Descriptors
========================================================================================================================
RomRaider definitions: 622 | Descriptors: 760 | In cal area: 759
Named (matched): 129 | Unnamed: 630
========================================================================================================================

  DATA_ADDR   DESC_ADDR   DIM   SIZE      TYPE      MATCH   NAME
  ----------  ----------  ----  --------  --------  ------  ------------------------------------------------------------
  0xC0154     0xAF4D8     1D         15   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC02D4     0xAA760     1D         16     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC0334     0xAA774     1D         16     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC03D4     0xAA788     1D          5     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xC03F0     0xAA79C     1D          5     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC041C     0xAA7B0     1D          8     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC043C     0xAA7C4     1D          4     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC0474     0xAA7D8     1D         12   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC04B4     0xAA7F8     1D          4     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC04EC     0xAA80C     1D         12     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC0518     0xAA820     1D          5     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC05B0     0xAA834     2D      18x17     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC08B4     0xAA850     2D      11x29     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC0B64     0xAA86C     2D        6x6     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC0C94     0xAA888     1D         16     int16   EXACT  Initial/Max Wastegate Duty Compensation (IAT)
  0xC0CA4     0xAA89C     1D         16     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xC0CB4     0xAA8B0     1D         16     int16   EXACT  Initial/Max Wastegate Duty Compensation (ECT)
  0xC0CC4     0xAA8C4     1D         16     int16   EXACT  TD Proportional Compensation (IAT)
  0xC0CD4     0xAA8D8     1D         16     int16   EXACT  TD Integral Negative Compensation (IAT)
  0xC0CE4     0xAA8EC     1D         16     int16   EXACT  TD Integral Positive Compensation (IAT)
  0xC0CF4     0xAA900     1D         16     int16   EXACT  Target Boost Compensation (ECT)
  0xC0D28     0xAA914     1D          9     uint8   EXACT  Turbo Dynamics Proportional
  0xC0D60     0xAA928     1D          9     uint8   EXACT  Turbo Dynamics Integral Negative
  0xC0D98     0xAA93C     1D          9     uint8   EXACT  Turbo Dynamics Integral Positive
  0xC0DC0     0xAA950     1D          5   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC0E10     0xAA968     1D          5   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC0E7C     0xAA980     2D        6x4     int16   EXACT  Initial/Max Wastegate Duty Compensation (Atm. Pressure)
  0xC0EC4     0xAA99C     2D        6x6     int16   EXACT  Target Boost Compensation (Atm. Pressure)_
  0xC0F58     0xAA9B8     2D      15x13     uint8   EXACT  Max Wastegate Duty_
  0xC1150     0xAA9D4     2D      15x13     uint8   EXACT  Initial Wastegate Duty_
  0xC1340     0xAA9F0     2D      11x15     uint8   EXACT  Target Boost_
  0xC15BC     0xAAA0C     1D          6     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xC15EC     0xAAA20     1D         10     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xC1634     0xAAA34     1D         15   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC1710     0xAAA4C     1D         16   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC1800     0xAAA64     2D      16x16     uint8   EXACT  Calculated Engine Torque A
  0xC1A80     0xAAA80     2D      16x16     uint8   EXACT  Calculated Engine Torque B
  0xC1D00     0xAAA9C     2D      16x16     uint8   EXACT  Calculated Engine Torque C
  0xC1F80     0xAAAB8     2D      16x16     uint8   EXACT  Calculated Engine Torque D
  0xC2420     0xAAAF0     1D          6     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC2444     0xAAB04     1D          6     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC248C     0xAAB18     1D         15     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC24D0     0xAAB2C     1D          9     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC2508     0xAAB54     1D          4     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC2534     0xAAB68     1D          9     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC2584     0xAAB7C     1D         15     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC25C8     0xAAB90     1D          9     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC25F0     0xAABA4     1D          5     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC260C     0xAABB8     1D          4     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC2628     0xAABCC     1D          5     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC264C     0xAABE0     1D          6   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC26AC     0xAABF8     1D          6   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC273C     0xAAC10     1D         10   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC2804     0xAAC64     1D          4   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC2844     0xAAC7C     1D          4   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC288C     0xAAC94     1D          6   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC28FC     0xAACAC     1D         10   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC299C     0xAACC4     1D         10   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC2B04     0xAACEC     2D        5x5     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC2B7C     0xAAD08     2D       11x6     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC2C44     0xAAD24     2D       11x6     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC2CF0     0xAAD40     2D        5x5     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC2D4C     0xAAD5C     2D        5x5     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC2DD0     0xAAD78     2D       11x9     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC2EE0     0xAAD94     2D       7x11     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC2FCC     0xAADCC     2D        4x5   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC35C0     0xAADEC     1D         16     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC35E0     0xAAE00     1D         16     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC364C     0xAAE28     1D         16     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC3678     0xAAE50     1D         16     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC36B8     0xAAE64     1D          8     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC36E8     0xAAE78     1D          8     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC3708     0xAAE8C     1D          4     uint8   EXACT  Front Oxygen Sensor Compensation (Atm. Pressure)
  0xC3710     0xAAEA0     1D         16     uint8      +8  ~Front Oxygen Sensor Compensation (Atm. Pressure)
  0xC3750     0xAAEC0     1D         16     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC37E8     0xAAEE0     1D         16     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC3828     0xAAEF4     1D          8     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC388C     0xAAF08     1D         21     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC38C8     0xAAF1C     1D          4   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC3934     0xAAF48     1D         16     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC3994     0xAAF5C     1D         16     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC39F4     0xAAF70     1D         16     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC3A50     0xAAF84     1D         15     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC3AA4     0xAAFAC     1D         10   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC3B20     0xAAFC4     1D          7   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC3B6C     0xAAFDC     1D          4   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC3C3C     0xAB004     2D      11x14     int16   EXACT  Engine Load Compensation Cruise (MP)
  0xC3D3C     0xAB020     2D      11x14     int16   EXACT  Engine Load Compensation Non-Cruise (MP)
  0xC3E90     0xAB03C     2D      15x31     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xC40A4     0xAB058     2D        9x7     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC41A8     0xAB088     2D        4x5     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC42DC     0xAB154     1D          7     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xC430C     0xAB168     1D         10     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xC4340     0xAB17C     1D         10     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xC4368     0xAB190     1D          7     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC4390     0xAB1A4     1D          6     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC43B4     0xAB1B8     1D          6     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC4428     0xAB21C     1D         14     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC446C     0xAB230     1D         10     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC44A8     0xAB244     1D         10     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC44E4     0xAB258     1D         10     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC4528     0xAB26C     2D        7x5     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC45D8     0xAB288     2D      13x13     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC5824     0xAB2A4     1D          4   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC5878     0xAB2D8     1D         14     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xC58C0     0xAB2EC     1D         14     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xC5908     0xAB300     1D         14     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xC5950     0xAB314     1D         14     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xC5994     0xAB328     1D         13   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC5B60     0xAB340     1D         13     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xC5BA4     0xAB354     1D         13     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xC5BEC     0xAB368     1D         14     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xC5C34     0xAB37C     1D         14     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xC5C7C     0xAB390     1D         14     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xC5CC4     0xAB3A4     1D         14     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xC5D0C     0xAB3B8     1D         14     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xC5D54     0xAB3CC     1D         14     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xC5D9C     0xAB3E0     1D         14     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xC5DE4     0xAB3F4     1D         14     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xC5E2C     0xAB408     1D         14     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xC5E3A     0xAB41C     1D         16     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xC5E8C     0xAB430     1D         16     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xC5EB8     0xAB444     1D          7     int16    NONE  (UNKNOWN - needs RomRaider definition)
  0xC5EE4     0xAB464     1D          6   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC5F28     0xAB484     1D          5     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC5F44     0xAB498     1D          4     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC5F60     0xAB4AC     1D          5     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC5F84     0xAB4C0     1D          6     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC5FCC     0xAB4E0     1D         12     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC6008     0xAB4F4     1D          9     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC6074     0xAB558     1D         10     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC60A4     0xAB56C     1D          7     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC60D0     0xAB580     1D          7     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC6130     0xAB5D4     1D          4     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC6148     0xAB5E8     1D          4     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC6160     0xAB5FC     1D          4     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC6178     0xAB610     1D          4     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC6190     0xAB624     1D          4     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC61BC     0xAB638     1D          9     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC61F4     0xAB64C     1D          9     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC6234     0xAB660     1D         11     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC626C     0xAB674     1D          8     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC62A4     0xAB688     1D         10     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC62E4     0xAB69C     1D         11     uint8    NONE  (UNKNOWN - needs RomRaider definition)
  0xC63EC     0xAB754     1D          5   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC6430     0xAB76C     1D          4   float32    NONE  (UNKNOWN - needs RomRaider definition)
  0xC6488     0xAB784     1D         14   float32    NONE  (UNKNOWN - needs RomRaider definition)
