AE5L600L Consolidated RAM Reference Map
==============================================================================================================
Total addresses: 858 | Named: 497 | Unnamed: 361 (low-ref infrastructure, excluded)
All addresses with >= 5 refs are named. Top 200 most-referenced: 100% coverage.
Raw literal pool scan found 4,456 unique RAM refs; 858 significant after dedup.
Sources: Ghidra import (373), Task10 analysis (61), manual (29), ram_map_raw (501), map_switching_analysis (20)
==============================================================================================================

TOP 200 MOST-REFERENCED RAM ADDRESSES
--------------------------------------------------------------------------------------------------------------
   Refs  Address     Name                                 Description
  -----  ----------  -----------------------------------  -------------------------------------------------------
    301  0xFFFF6624  rpm_current                          301 refs. Current RPM (float). Read by frontO2, AFL, CL
    205  0xFFFF6350  ect_current                          205 refs. Coolant temperature (float). Read by PSE, AFC
    135  0xFFFF65FC  engine_load_current                  135 refs. Engine load in g/rev (float). Also load_current (task50 map switching).
    118  0xFFFF399E  dtc_maturation_timer                 118 refs. DTC maturation timer/counter. Read primarily 
    107  0xFFFFAD52  diag_session_state                   107 refs. Diagnostic session state. Read by diag/DTC fr
     99  0xFFFF67EC  atm_pressure_current                 99 refs. Atmospheric/barometric pressure (float). Read 
     97  0xFFFF8E98  cl_state_struct                      97 refs. CL monitoring state struct (15+ bytes). Base f
     92  0xFFFF3B06  diag_indexed_lookup_table            Diagnostic indexed lookup table. Accessed at FFFF3B06 +
     89  0xFFFF65C0  throttle_position                    89 refs. Throttle position (float). Read by AFL, timing
     86  0xFFFF63F8  iat_current                          86 refs. Intake air temperature (float). Read by AFL, C
     77  0xFFFF4130  atm_pressure_baro                    77 refs. Atmospheric pressure / baro ADC output (float). ADDR 4 in ADC pipeline.
     76  0xFFFF3836  io_ign_driver_ctrl                   InternalIO ignition driver control register (31 refs).
     69  0xFFFF6354  ect_raw_adc                          69 refs. ECT raw ADC value or secondary ECT (float). Re
     69  0xFFFFADAC  diag_request_state                   69 refs. Diagnostic request/response state. Read by DTC
     60  0xFFFF85D7  fuel_system_state                    60 refs. Fuel system state byte. Read by AFC, AFL, idle
     56  0xFFFF4024  ATU_primary_ctrl                     ATU primary control register. 36 code refs — master inj
     56  0xFFFF61CC  vehicle_speed                        56 refs. Vehicle speed (float). Read by timing, CL/OL, 
     51  0xFFFF6254  maf_current                          51 refs. MAF sensor value (float, g/s). Read by AFL pip
     48  0xFFFF25CC  system_tick_counter                  48 refs. System tick/event counter.
     48  0xFFFF6364  ect_startup                          48 refs. ECT at engine start or secondary RPM (float). NOT atmospheric pressure. Read by AFL, delay_manager_B, timing blend.
     48  0xFFFF6898  manifold_pressure                    48 refs. Manifold pressure (float). Read by frontO2, PS
     45  0xFFFF3480  cal_mirror_base                      45 refs. Calibration mirror base. Referenced by various
     43  0xFFFF620C  airflow_maf_current                  Current MAF/airflow (float). Used by accel enrichment a
     43  0xFFFF63C4  ect_compensation                     ECT compensation factor (float, 43 refs). Read by AFC, AFL, CL/OL.
     41  0xFFFF366C  io_inj_driver_ctrl                   InternalIO injection driver control register (31 refs).
     39  0xFFFF8E46  fuel_mode_flags                      39 refs. Fuel mode flags register.
     37  0xFFFF895C  injector_data                        Rate-limited sensor composite (float). 28 pool refs. Was fuel_ign_shared_state. See fueling_pipeline Section 15.
     36  0xFFFF6155  adc_channel_status                   36 refs. ADC channel status/index (byte). GBR base (4 u
     36  0xFFFFAF3B  comms_state_byte                     36 refs. Communications protocol state byte.
     34  0xFFFF65BD  engine_state_byte                    34 refs. Engine state byte (cranking/running/etc).
     34  0xFFFF6C48  battery_voltage                      34 refs. Battery voltage (float). Read by injector late
     33  0xFFFF5BE3  clutch_state                         33 refs. Clutch engagement state (task50 map switching). Was peripheral_status.
     33  0xFFFF8EDC  ol_dispatch_gate                     OL enrichment dispatch gate (byte). Checked by all 4 OL
