ROM Size: 1048576 bytes (1024 KB)

================================================================================
ROM HOLES (0xFF regions >= 32 bytes)
================================================================================
Total free space: 195,476 bytes (190.9 KB)

  0x0DAE8C-0x0F8900  121460 bytes (118.6 KB)
  0x0AF998-0x0BB400   47720 bytes (46.6 KB)
  0x0FC004-0x0FFAF8   15092 bytes (14.7 KB)
  0x0FA54C-0x0FC000    6836 bytes (6.7 KB)
  0x0BEDB8-0x0BF600    2120 bytes (2.1 KB)
  0x0BF878-0x0C0000    1928 bytes (1.9 KB)
  0x0FFB00-0x0FFB80     128 bytes (0.1 KB)
  0x000F74-0x000FB0      60 bytes (0.1 KB)
  0x001FD8-0x001FFC      36 bytes (0.0 KB)
  0x000FBC-0x000FDC      32 bytes (0.0 KB)
  0x0CD2C6-0x0CD2E6      32 bytes (0.0 KB)
  0x0D39EA-0x0D3A0A      32 bytes (0.0 KB)

================================================================================
ROM REGION MAP (256-byte block classification)
================================================================================

Region type distribution:
  code              444928 bytes ( 42.4%)  #####################
  float_data        395776 bytes ( 37.7%)  ##################
  rom_hole          194560 bytes ( 18.6%)  #########
  mixed_data          7680 bytes (  0.7%)  
  uint8_data          5632 bytes (  0.5%)  

Region boundaries:
  0x000000-0x000F00    3840 bytes  float_data
  0x001000-0x002C00    7168 bytes  float_data
  0x002D00-0x003700    2560 bytes  float_data
  0x003700-0x003900     512 bytes  code
  0x003900-0x004A00    4352 bytes  float_data
  0x004A00-0x005500    2816 bytes  code
  0x005600-0x005800     512 bytes  code
  0x005900-0x005D00    1024 bytes  code
  0x005D00-0x005F00     512 bytes  float_data
  0x005F00-0x006100     512 bytes  code
  0x006100-0x006300     512 bytes  float_data
  0x006300-0x006700    1024 bytes  code
  0x006900-0x006B00     512 bytes  float_data
  0x006B00-0x006D00     512 bytes  code
  0x006D00-0x007200    1280 bytes  float_data
  0x007400-0x007700     768 bytes  code
  0x007A00-0x007F00    1280 bytes  code
  0x007F00-0x008100     512 bytes  float_data
  0x008100-0x008300     512 bytes  code
  0x008600-0x008800     512 bytes  code
  0x008800-0x008A00     512 bytes  float_data
  0x008A00-0x008C00     512 bytes  code
  0x008C00-0x008F00     768 bytes  float_data
  0x008F00-0x009100     512 bytes  code
  0x009100-0x009400     768 bytes  float_data
  0x009500-0x009800     768 bytes  float_data
  0x009800-0x009C00    1024 bytes  code
  0x009C00-0x009E00     512 bytes  float_data
  0x009E00-0x00A000     512 bytes  code
  0x00A200-0x00A500     768 bytes  float_data
  0x00A500-0x00A800     768 bytes  code
  0x00A800-0x00AA00     512 bytes  float_data
  0x00AB00-0x00B700    3072 bytes  float_data
  0x00B800-0x00BB00     768 bytes  float_data
  0x00BD00-0x00BF00     512 bytes  code
  0x00C000-0x00C500    1280 bytes  code
  0x00C600-0x00CA00    1024 bytes  code
  0x00CD00-0x00D600    2304 bytes  code
  0x00D700-0x00D900     512 bytes  code
  0x00DA00-0x00DF00    1280 bytes  code
  0x00DF00-0x00EC00    3328 bytes  float_data
