rev,rpm_band,afc_mean,afc_med,afc_std,n
20.10,idle,-0.5351147661202595,0.0,3.2439264724832824,26659
20.10,1200-1800,-2.4104548117054447,-2.34,5.667067571200992,20845
20.10,1800-2500,1.6219086051540819,1.56,4.0215569162551965,22196
20.10,2500-3500,-0.9946964796991962,-0.78,3.7409308691936687,28989
20.10,3500-5000,1.4058175950486296,0.0,4.7198496218718615,1131
20.11,idle,-1.380884223918575,0.0,4.790915563088914,15720
20.11,1200-1800,-4.0705500464828015,-3.91,5.206202035744775,12908
20.11,1800-2500,0.3457647459358243,0.0,4.170994207138224,23498
20.11,2500-3500,-1.2412513562386982,-0.78,3.42067524836498,30415
20.11,3500-5000,1.393910005589715,0.0,4.426585988845153,3578
20.12,idle,0.3483063701952673,0.0,3.3712677800086586,40611
20.12,1200-1800,-1.7178498384169287,-1.56,6.000582502517323,22589
20.12,1800-2500,0.06929119638826185,0.0,3.536645235461773,44300
20.12,2500-3500,2.0423170621875983,0.78,4.657281333000232,222070
20.12,3500-5000,-1.3278326151360087,-0.78,3.4794095942064076,29704
