,Timing,avcs,wbo2,EGT,FBKC,FLKC,AFC,MAF(V),RPM,load
Timing,1.0,0.021633622127594676,-0.009072442071222969,-0.1606499403706884,0.10918537045532231,,0.1413821513734775,-0.7325523125071594,0.2992400891046975,-0.9169033449480171
avcs,0.021633622127594676,1.0,-0.14503647802974412,0.13668829079005806,-0.019196296468436548,,0.11676499156169107,0.17190347197083714,0.02413868912100426,0.15220108045964684
wbo2,-0.009072442071222969,-0.14503647802974412,1.0,-0.05666026604586379,0.03690550403353662,,-0.2152046811200089,-0.09805882886116633,-0.08056027694981326,-0.080394231823586
EGT,-0.1606499403706884,0.13668829079005806,-0.05666026604586379,1.0,-0.0884170277087334,,-0.020098732404498606,0.07979760639575074,-0.18271271018221366,0.15951534543253887
FBKC,0.10918537045532231,-0.019196296468436548,0.03690550403353662,-0.0884170277087334,1.0,,-0.006898185124914492,-0.07664306591635181,6.188908134599235e-05,-0.08755661771568653
FLKC,,,,,,,,,,
AFC,0.1413821513734775,0.11676499156169107,-0.2152046811200089,-0.020098732404498606,-0.006898185124914492,,1.0,-0.24647583777789225,-0.258257701411838,-0.15321004365605945
MAF(V),-0.7325523125071594,0.17190347197083714,-0.09805882886116633,0.07979760639575074,-0.07664306591635181,,-0.24647583777789225,1.0,0.2800193693722477,0.8938678993240058
RPM,0.2992400891046975,0.02413868912100426,-0.08056027694981326,-0.18271271018221366,6.188908134599235e-05,,-0.258257701411838,0.2800193693722477,1.0,-0.14605275989336475
load,-0.9169033449480171,0.15220108045964684,-0.080394231823586,0.15951534543253887,-0.08755661771568653,,-0.15321004365605945,0.8938678993240058,-0.14605275989336475,1.0
