col,n_unique,lsb_est,min,max
wbo2,654,0.03999999999999915,10.17,24.96
AFR,161,0.10999999999999943,11.1398,20.33
FFB,2638,0.005399999999999849,3.99,56.48
EGT,216,1.0,26.0,255.0
AFC,113,0.7799999999999976,-25.0,25.0
RPM,9666,1.0,146.0,6108.0
load,536074,1.400327239602897e-05,0.0913480176211454,3.9868328932015
MPH,201,0.621299999999998,0.0,103.0
Timing,96,0.5,-18.0,35.5
IAT,69,1.799999999999983,41.0,163.4
MAF,7413,0.00999999999999801,1.8,322.33
MAF(V),170,0.019999999999999574,0.98,4.38
Accelerator,362,0.389999999999997,0.0,100.0
Throttle,343,0.389999999999997,2.35,100.0
RQTQ,37896,0.009999999999990905,0.0,382.72
MAP,300,0.13999999999999702,2.18,36.69
mrp,378,0.1399999999999988,-12.19,22.32
Trgt_Boost,9022,3.999999999848569e-05,-9.9,22.41
IAM,2,1.0,0.0,1.0
FLKC,11,0.25,-2.5,0.0
FBKC,23,0.3499992749999999,-7.0,0.0
avcs,32,1.0,0.0,31.0
wgdc,160,0.39000000000000057,0.0,80.0
tdi,436,0.019680000000000142,-14.0405,5.0
Tdp,922,9.089000000011183e-05,-7.20962,10.625
IPW,146,0.2499999999999991,0.0,36.1
IDC,142966,0.00047999999999959186,0.0,104.61888
