sample,time,wbo2,FFB,EGT,AFC,AFL,correction,RPM,load,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,mrp,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,IDC
40908,11841.2,12.23,11.71,31,0.00,0.00,4.32,3989,1.69,48,21,59,112.33,3.26,37,42,295,14.80,17.11,2.31,15.38,1,10,0,0,19,78.0392,0,10.1132,10.24,34.04
40909,11841.24,12.44,11.74,31,0.00,0.00,5.68,3991,1.71,48,20.5,59,113.79,3.28,38,42,296,14.80,17.55,2.75,15.80,1,10,0,0,20,78.0392,0,10.1128,10.50,34.91
40910,11841.28,12.70,11.66,31,0.00,0.00,8.21,4029,1.78,48,21,59,119.3,3.32,38,43,296,14.80,17.84,3.04,15.97,1,10,0,0,21,78.0392,0,10.1128,10.75,36.10
40911,11841.32,12.82,11.66,30,0.00,0.00,9.11,4031,1.82,48,20.5,59,122.6,3.34,38,43,296,14.80,18.42,3.62,15.97,1,10,0,0,22,78.0392,0,10.1128,11.01,36.98
40912,11841.36,12.74,11.74,30,0.00,0.00,7.86,4026,1.88,48,20,59,125.9,3.36,37,43,296,14.80,18.71,3.91,15.96,1,10,0,0,22,78.0392,0,10.1125,11.26,37.79
40913,11841.4,12.44,11.71,30,0.00,0.00,5.87,4063,1.95,48,19.5,59,131.83,3.4,37,43,296,14.80,19.29,4.49,15.90,1,10,0,0,22,77.6471,0,10.1125,11.78,39.87
40914,11841.44,12.28,11.71,30,0.00,0.00,4.58,4093,2.00,49,20,59,136.11,3.42,38,43,296,14.80,19.58,4.78,15.90,1,10,0,0,22,77.6471,0,10.1125,12.03,41.04
40915,11841.48,12.15,11.65,30,0.00,0.00,4.10,4105,2.06,49,19.5,59,141.17,3.46,37,43,295,14.80,20.01,5.21,15.86,1,10,0,0,22,77.6471,0,10.1123,12.54,42.91
40916,11841.52,12.66,11.65,30,0.00,0.00,7.94,4109,2.15,50,19,59,147.49,3.5,37,43,295,14.80,20.59,5.79,15.86,1,10,0,0,21,77.6471,0,10.1123,13.06,44.70
40917,11841.56,12.32,11.57,30,0.00,0.00,6.08,4140,2.22,50,18.5,59,153.32,3.54,37,43,294,14.80,21.03,6.23,15.82,1,10,0,0,22,77.6471,0,10.1123,13.31,45.93
40918,11841.6,12.44,11.50,30,0.00,0.00,7.56,4160,2.31,50,18.5,57.2,159.91,3.58,37,43,294,14.80,21.46,6.66,15.73,1,10,0,0,21,77.2549,0,10.1122,13.82,47.93
40919,11841.64,11.81,11.50,30,0.00,0.00,2.61,4192,2.38,50,18,57.2,166.38,3.62,37,42,294,14.80,22.04,7.24,15.73,1,10,0,0,21,77.2549,0,10.1122,14.34,50.08
40920,11841.68,11.77,11.47,30,0.00,0.00,2.55,4199,2.42,50,17.5,57.2,169.43,3.64,37,42,293,14.80,22.48,7.68,15.59,1,10,0,0,20,77.2549,0,10.1122,14.85,51.96
40921,11841.72,11.22,11.18,30,0.00,0.00,0.42,4197,2.50,50,17.5,57.2,174.53,3.68,36,42,292,14.80,23.20,8.40,15.43,1,10,0,0,20,76.8627,0,10.1121,15.62,54.62
40922,11841.76,10.93,11.18,30,0.00,0.00,-2.26,4253,2.49,51,17.5,57.2,176.41,3.7,36,42,292,14.80,23.64,8.84,15.43,1,10,0,0,19,76.8627,0,10.1121,15.62,55.35
40923,11841.8,10.89,11.30,30,0.00,0.00,-3.78,4279,2.61,51,17.5,57.2,185.81,3.76,36,42,291,14.80,24.65,9.85,15.38,1,10,0,0,19,76.8627,0,10.1121,16.64,59.33
40924,11841.84,11.18,11.30,30,0.00,0.00,-1.05,4312,2.67,52,16.5,57.2,192.05,3.8,36,42,290,14.80,24.94,10.14,15.38,1,10,0,0,18,76.8627,0,10.1121,16.90,60.71
40925,11841.88,11.10,11.17,30,0.00,0.00,-0.63,4330,2.76,52,17,57.2,199.25,3.82,35,42,289,14.80,25.52,10.72,15.18,1,10,0,0,17,76.4706,0,10.112,17.15,61.89
40926,11841.92,10.63,11.16,30,0.00,0.00,-4.95,4321,2.85,52,16.5,57.2,205.42,3.86,35,42,288,14.80,26.10,11.30,15.04,1,10,0,0,17,76.4706,0,10.112,17.92,64.52
40927,11841.96,10.89,11.16,30,0.00,0.00,-2.51,4352,2.88,52,15.5,57.2,208.67,3.84,35,41,288,14.80,26.83,12.03,15.04,1,10,0,0,17,76.4706,0,10.112,18.18,65.92
40928,11842,11.14,11.14,30,0.00,0.00,0.01,4399,2.92,53,15.5,57.2,214.22,3.9,35,41,287,14.80,27.41,12.61,14.90,1,10,0,0,16,75.6863,0,9.73509,18.69,68.51
40929,11842.04,11.14,11.03,30,0.00,0.00,1.00,4398,3.02,53,15.5,57.2,221.16,3.94,35,40,286,14.80,27.99,13.19,14.65,1,10,0,0,15,70.9804,0.28981,4.86496,18.94,69.43
40930,11842.08,10.97,11.03,30,0.00,0.00,-0.54,4432,3.03,53,14.5,57.2,223.94,3.96,34,40,283,14.80,28.57,13.77,14.65,1,10,0,0,14,70.9804,0.28981,4.86496,19.46,71.85
40931,11842.12,11.01,10.91,30,0.00,0.00,0.94,4465,3.11,53,14.5,57.2,231.25,3.98,35,40,283,14.80,29.00,14.20,14.41,1,10,0,0,14,66.6667,0.35478,0.454727,19.71,73.34
40932,11842.16,10.97,10.91,30,0.00,0.00,0.56,4502,3.13,54,14.5,57.2,234.88,4,34,40,281,14.80,29.58,14.78,14.41,1,10,0,0,13,66.6667,0.35478,0.454727,20.22,75.87
40933,11842.2,10.72,10.86,30,0.00,0.00,-1.30,4529,3.15,54,14,57.2,237.9,4.02,34,40,280,14.80,29.87,15.07,14.09,1,10,0,0,13,64.3137,0.254708,-1.50278,20.22,76.32
