sample,time,wbo2,FFB,EGT,AFC,AFL,RPM,MPH,Timing,IAT,MAF,Accelerator,Throttle,RQTQ,ATM(psi),MAP,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW
0,0.030,11.7694,13.422,255,0,0,1503.75,0,2,44.6,12.62,0,11.3725,0,14.3647,6.67,-8.63569,0,0,0,0,3,0,0,0,3.584
1,0.060,11.1389,13.422,255,0,0,1500.25,0,2,44.6,12.44,0,11.3725,0,14.3647,6.67,-8.63578,1,0,0,0,3,0,0,0,3.584
2,0.090,11.7288,13.422,255,0,0,1512,0,2,44.6,12.26,0,11.3725,0,14.3647,6.67,-8.63578,1,7,0,0,3,0,0,0,3.584
3,0.120,11.1795,13.422,255,0,0,1521.25,0,1,44.6,12.42,0,11.3725,0,14.3647,6.67,-8.63579,1,7,0,0,3,0,0,0,3.584
4,0.150,12.0653,13.422,255,0,0,1510.5,0,2,44.6,12.55,0,11.3725,0,14.3647,6.67,-8.63579,1,7,0,0,3,0,0,0,3.584
5,0.180,12.191,13.422,255,0,0,1506.75,0,2.5,44.6,12.42,0,11.3725,0,14.3647,6.67,-8.63579,1,7,0,0,3,0,0,0,3.584
6,0.210,12.191,13.428,255,0,0,1516,0,1.5,44.6,12.42,0,11.3725,0,14.3647,6.67,-8.6358,1,7,0,0,3,0,0,0,3.584
7,0.240,12.4018,13.428,255,0,0,1521,0,1,44.6,12.26,0,11.3725,0,14.3647,6.525,-8.6358,1,7,0,0,3,0,0,0,3.584
8,0.270,12.4018,13.428,255,0,0,1522.5,0,1,44.6,12.31,0,11.3725,0,14.3647,6.525,-8.63582,1,7,0,0,3,0,0,0,3.584
9,0.300,12.4444,13.428,255,0,0,1516,0,2,44.6,12.26,0,11.3725,0,14.3647,6.525,-8.63582,1,7,0,0,3,0,0,0,3.584
10,0.330,12.4018,13.428,255,0,0,1522.75,0,1.5,44.6,12.31,0,11.3725,0,14.3647,6.525,-8.63583,1,7,0,0,3,0,0,0,3.584
11,0.360,12.3593,13.428,255,0,0,1523,0,1.5,44.6,12.37,0,11.3725,0,14.3647,6.525,-8.63583,1,7,0,0,3,0,0,0,3.584
12,0.390,12.3593,13.428,255,0,0,1519.5,0,1.5,44.6,12.15,0,10.9804,0,14.3647,6.525,-8.63585,1,7,0,0,3,0,0,0,3.584
13,0.420,12.4869,13.428,255,0,0,1522,0,1.5,44.6,12.37,0,11.3725,0,14.3647,6.525,-8.63585,1,7,0,0,3,0,0,0,3.584
14,0.450,12.4869,13.428,255,0,0,1520.25,0,1.5,44.6,12.26,0,10.9804,0,14.3647,6.525,-8.63586,1,7,0,0,3,0,0,0,3.584
15,0.480,12.5275,13.428,255,0,0,1517.75,0,2,44.6,12.31,0,10.9804,0,14.3647,6.525,-8.63586,1,7,0,0,3,0,0,0,3.584
16,0.510,12.5275,13.428,255,0,0,1513,0,2.5,44.6,12.31,0,10.9804,0,14.3647,6.525,-8.63587,1,7,0,0,3,0,0,0,3.328
17,0.540,12.5275,13.428,255,0,0,1511.5,0,2.5,44.6,12.26,0,10.9804,0,14.3647,6.525,-8.63587,1,7,0,0,3,0,0,0,3.584
18,0.570,12.4869,13.428,255,0,0,1515.75,0,2,44.6,12.15,0,10.9804,0,14.3647,6.525,-8.63589,1,7,0,0,3,0,0,0,3.584
19,0.600,12.4444,13.428,255,0,0,1515.25,0,2,44.6,12.26,0,10.9804,0,14.3647,6.525,-8.63589,1,7,0,0,3,0,0,0,3.584
20,0.630,12.3593,13.428,255,0,0,1513.25,0,2.5,44.6,12.31,0,10.9804,0,14.3647,6.525,-8.63589,1,7,0,0,3,0,0,0,3.584
21,0.660,12.4444,13.428,255,0,0,1510,0,2.5,44.6,12.31,0,10.9804,0,14.3647,6.525,-8.6359,1,7,0,0,3,0,0,0,3.584
22,0.690,12.4018,13.428,255,0,0,1517.75,0,2,44.6,12.26,0,10.9804,0,14.3647,6.525,-8.6359,1,7,0,0,3,0,0,0,3.328
23,0.720,12.3187,13.428,255,0,0,1523.25,0,1.5,44.6,12.26,0,10.9804,0,14.3647,6.525,-8.63592,1,7,0,0,3,0,0,0,3.328
24,0.750,12.3593,13.428,255,0,0,1506,0,3,44.6,12.26,0,10.9804,0,14.3647,6.525,-8.63592,1,7,0,0,3,0,0,0,3.328
