sample,time,wbo2,FFB,EGT,AFC,AFL,RPM,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,Misfire1,Misfire2,Misfire3,Misfire4
0,6348.360,10.17,11.3778,255,0,4.6875,184.25,0,25,60.8,2.41,1.22,0,7.84314,0,14.3647,13.92,-9.02068,1,7,0,0,0,0,0,0,8.704,0,0,0,0
1,6348.400,10.17,11.3778,255,0,4.6875,184.25,0,25,60.8,2.41,1.1,0,7.84314,0,14.3647,13.92,-9.02068,1,7,0,0,0,0,0,0,8.704,0,0,0,0
2,6348.440,10.17,11.3778,255,0,4.6875,184.25,0,25,60.8,2.41,1.12,0,7.84314,0,14.3647,13.92,-9.02068,1,7,0,0,0,0,0,0,8.704,0,0,0,0
3,6348.480,10.17,11.3778,255,0,4.6875,203.25,0,25,60.8,2.92,1.22,0,7.84314,0,14.3647,13.92,-9.02068,1,7,0,0,0,0,0,0,8.704,0,0,0,0
4,6348.520,10.17,11.3778,255,0,4.6875,203.25,0,25,60.8,2.92,1.22,0,7.84314,0,14.3647,13.92,-9.02068,1,7,0,0,0,0,0,0,8.704,0,0,0,0
5,6348.560,10.17,11.3778,255,0,4.6875,422.5,0,25,60.8,3.48,1.22,0,7.84314,0,14.3647,13.05,-9.02068,1,7,0,0,0,0,0,0,8.448,0,0,0,0
6,6348.600,10.17,11.3778,255,0,4.6875,760.75,0,25,60.8,3.53,1.28,0,8.23529,0,14.3647,12.905,-9.02068,1,7,0,0,0,0,0,0,7.168,0,0,0,0
7,6348.640,22.4722,11.3778,255,0,4.6875,1203.5,0,25,60.8,4.85,1.34,0,8.23529,0,14.3647,11.02,-9.02068,1,7,0,0,0,0,0,0,6.4,0,0,0,0
8,6348.680,22.6404,11.3864,255,0,4.6875,1356,0,22,60.8,5.5,1.42,0,8.23529,0,14.3647,10.44,-8.65328,1,7,0,0,0,0,0,0,5.376,0,0,0,0
9,6348.720,22.3039,11.3864,255,0,4.6875,1703,0,20.5,60.8,6.96,1.48,0,8.23529,0,14.3647,8.845,-8.65328,1,7,0,0,0,0,0,0,3.84,0,0,0,0
10,6348.760,22.3445,11.395,255,0,4.6875,1851,0,20,60.8,7.43,1.5,0,7.84314,0,14.3647,8.12,-9.08012,1,7,0,0,0,0,0,0,3.328,0,0,0,0
11,6348.800,22.4296,11.4036,255,0,4.6875,2009.5,0,19.5,60.8,7.7,1.52,0,7.84314,0,14.3647,7.54,-9.08012,1,7,0,0,0,0,0,0,2.56,0,0,0,0
12,6348.840,22.6404,11.4036,255,0,4.6875,2115.75,0,19.5,60.8,7.78,1.54,0,7.84314,0,14.3647,6.815,-9.63945,1,7,0,0,0,0,0,0,2.56,0,0,0,0
