sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,correction,RPM,load,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,mrp,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,IDC
0,5.8,10.17,14.7,9.14508,255,0,0,,181,0.798895028,0,28,62.6,2.41,1.2,0,9.41177,0,14.3647,14.065,-0.2997,-9.04436,1,7,0,0,0,0,0,0,16.128,2.43264
1,5.84,10.17,14.7,9.14508,255,0,0,,181,0.798895028,0,28,62.6,2.41,1.1,0,9.41177,0,14.3647,14.065,-0.2997,-9.04442,1,7,0,0,0,0,0,0,16.128,2.43264
2,5.88,10.17,14.7,9.14508,255,0,0,,181,0.798895028,0,28,62.6,2.41,1.1,0,9.41177,0,14.3647,14.065,-0.2997,-9.04448,1,7,0,0,0,0,0,0,16.128,2.43264
3,5.92,10.17,14.7,9.14508,255,0,0,,181,0.798895028,0,28,62.6,2.41,1.2,0,9.41177,0,14.3647,14.065,-0.2997,-9.04448,1,7,0,0,0,0,0,0,16.128,2.43264
4,5.96,10.17,14.7,9.14508,255,0,0,,197.25,0.876045627,0,28,62.6,2.88,1.22,0,9.41177,0,14.3647,13.92,-0.4447,-9.04454,1,7,0,0,0,0,0,0,15.872,2.60896
5,6,10.17,14.7,9.14508,255,0,0,,440.25,0.479727428,0,28,62.6,3.52,1.22,0,9.41177,0,14.3647,13.05,-1.3147,-9.0446,1,7,0,0,0,0,0,0,12.288,4.50816
6,6.04,10.17,14.7,9.14508,255,0,0,,797.25,0.27770461,0,28,62.6,3.69,1.28,0,9.41177,0,14.3647,13.05,-1.3147,-9.0446,1,7,0,0,0,0,0,0,11.008,7.31344
7,6.08,10.17,14.7,9.14508,255,0,0,,1285.5,0.244107351,0,28,62.6,5.23,1.36,0,9.41177,0,14.3647,11.165,-3.1997,-8.78086,1,7,0,0,0,0,0,0,9.728,10.42112
8,6.12,10.17,14.7,9.14508,255,0,0,,1553.5,0.247570003,0,26,62.6,6.41,1.44,0,9.41177,0,14.3647,10.005,-4.3597,-8.78086,1,7,0,0,0,0,0,0,6.656,8.616746667
9,6.16,10.17,14.7,9.15342,255,0,0,,1757.75,0.260787939,0,23,62.6,7.64,1.5,0,9.41177,0,14.3647,9.135,-5.2297,-8.67731,1,7,0,0,0,0,0,0,5.376,7.87472
10,6.2,10.17,14.7,9.15899,255,0,0,,1970,0.242741117,0,22.5,62.6,7.97,1.54,0,9.41177,0,14.3647,8.265,-6.0997,-9.41647,1,7,0,0,1,0,0,0,4.352,7.144533333
11,6.24,21.2924,14.7,9.15899,255,0,0,,2066.25,0.247114338,0,22,62.6,8.51,1.58,0,9.41177,0,14.3647,7.395,-6.9697,-9.41647,1,7,0,0,3,0,0,0,3.328,5.7304
12,6.28,21.2924,14.7,9.17295,255,0,0,,2169.75,0.256342897,0,21.5,62.6,9.27,1.6,0,9.80392,0,14.3647,6.815,-7.5497,-9.66354,1,7,0,0,3,0,0,0,3.072,5.55456
13,6.32,21.2499,14.7,9.18134,255,0,0,,2270,0.253744493,0,21,62.6,9.6,1.62,0,9.80392,0,14.3647,6.235,-8.1297,-9.66354,1,7,0,0,4,0,0,0,3.072,5.8112
14,6.36,21.4607,14.7,9.18134,255,0,0,,2322.75,0.251856635,0,24.5,62.6,9.75,1.64,0,9.80392,0,14.3647,5.8,-8.5647,-9.66354,1,7,0,0,4,0,0,0,2.816,5.45072
15,6.4,21.4181,14.7,9.19536,255,0,0,,2379.25,0.252432489,0,23,62.6,10.01,1.64,0,9.80392,0,14.3647,5.51,-8.8547,-9.66354,1,7,0,0,4,0,0,0,2.816,5.583306667
16,6.44,21.4181,14.7,9.19536,255,0,0,,2418.25,0.251835005,0,21,62.6,10.15,1.64,0,9.80392,0,14.3647,5.075,-9.2897,-9.66354,1,7,0,0,4,0,0,0,2.816,5.674826667
17,6.48,21.2924,14.7,9.20379,255,0,0,,2418.5,0.24783957,0,19.5,62.6,9.99,1.64,0,9.80392,0,14.3647,4.93,-9.4347,-9.66354,1,7,0,0,4,0,0,0,2.816,5.675413333
18,6.52,20.9965,14.7,9.408,255,0,0,,2429.25,0.252423588,0,18.5,62.6,10.22,1.66,0,9.80392,0,14.3647,4.785,-9.5797,-9.66354,1,7,0,0,4,0,0,0,2.816,5.70064
19,6.56,21.2073,14.7,9.408,255,0,0,,2407.75,0.256421971,0,17.5,62.6,10.29,1.66,0,9.80392,0,14.3647,4.64,-9.7247,-9.66354,1,7,0,0,4,0,0,0,2.816,5.650186667
20,6.6,21.335,14.7,9.41683,255,0,0,,2391.75,0.252869238,0,16,62.6,10.08,1.64,0,9.80392,0,14.3647,4.495,-9.8697,-9.66354,1,7,0,0,4,0,0,0,2.816,5.61264
21,6.64,21.2924,14.7,9.43158,255,0,0,,2380.5,0.251795841,0,15,62.6,9.99,1.64,0,9.80392,0,14.3647,4.495,-9.8697,-9.66354,1,7,0,0,4,0,0,0,2.816,5.58624
22,6.68,21.335,14.7,9.43158,255,0,0,,2342.5,0.25357524,0,15,62.6,9.9,1.62,0,10.1961,0,14.3647,4.35,-10.0147,-9.66354,1,7,0,0,4,0,0,0,2.816,5.497066667
23,6.72,21.335,14.7,9.62148,255,0,0,,2328.25,0.25383872,0,15,62.6,9.85,1.62,0,10.1961,0,14.3647,4.35,-10.0147,-9.66354,1,7,0,0,4,0,0,0,2.816,5.463626667
24,6.76,21.3756,14.7,9.62148,255,0,0,,2296,0.256097561,0,10.5,62.6,9.8,1.62,0,10.1961,0,14.3647,4.35,-10.0147,-9.66354,1,7,0,0,4,0,0,0,2.816,5.387946667
25,6.8,21.2073,14.7,9.63688,255,0,0,,2275.75,0.259694606,0,10,62.6,9.85,1.64,0,10.1961,0,14.3647,4.35,-10.0147,-9.66354,1,7,0,0,4,0,0,0,2.816,5.340426667
26,6.84,20.9559,14.7,9.64614,255,0,0,,2226.75,0.263523072,0,10,62.6,9.78,1.62,0,10.1961,0,14.3647,4.35,-10.0147,-9.66354,1,7,0,0,4,0,0,0,2.816,5.22544
27,6.88,21.4181,14.7,9.64614,255,0,0,,2199,0.271759891,0,10,62.6,9.96,1.66,0,10.1961,0,14.3647,4.35,-10.0147,-9.66354,1,7,0,0,4,0,0,0,2.816,5.16032
28,6.92,21.3756,14.7,9.8288,255,0,0,,2154,0.282729805,0,10,62.6,10.15,1.64,0,9.80392,0,14.3647,4.495,-9.8697,-9.66354,1,7,0,0,4,0,0,0,2.816,5.05472
29,6.96,21.4607,14.7,9.83843,255,0,0,,2124.25,0.282735083,0,9.5,62.6,10.01,1.64,0,9.80392,0,14.3647,4.495,-9.8697,-9.66354,1,7,0,0,4,0,0,0,2.816,4.984906667
30,7,21.4181,14.7,9.83843,255,0,0,,2055.25,0.291643352,0,9.5,62.6,9.99,1.64,0,9.80392,0,14.3647,4.495,-9.8697,-9.66354,1,7,0,0,4,0,0,0,2.816,4.822986667
31,7.04,21.2924,14.7,9.84809,255,0,0,,1924.75,0.309546694,0,9.5,62.6,9.93,1.64,0,9.80392,0,14.3647,4.64,-9.7247,-9.53859,1,7,0,0,4,0,0,0,2.816,4.516746667
32,7.08,21.2924,14.7,9.84809,255,0,0,,1897.25,0.314982211,0,9.5,62.6,9.96,1.64,0,9.80392,0,14.3647,4.64,-9.7247,-9.53859,1,7,0,0,4,0,0,0,2.816,4.452213333
33,7.12,21.4607,14.7,9.91947,255,0,0,,1870.5,0.318524459,0,9.5,62.6,9.93,1.64,0,9.80392,0,14.3647,4.785,-9.5797,-9.40996,1,7,0,0,4,0,0,0,3.072,4.78848
34,7.16,21.4607,14.7,9.88041,255,0,0,,1845.25,0.325484352,0,9,62.6,10.01,1.64,0,9.80392,0,14.3647,4.785,-9.5797,-9.28193,1,7,0,0,4,0,0,0,3.072,4.72384
35,7.2,21.2499,14.7,9.88041,255,0,0,,1794.25,0.330388742,0,9,62.6,9.88,1.62,0,9.80392,0,14.3647,4.93,-9.4347,-9.28193,1,7,0,0,4,0,0,0,3.072,4.59328
36,7.24,23.8627,14.7,9.81598,255,0,0,,1770,0.334915254,0,9,62.6,9.88,1.64,0,9.80392,0,14.3647,4.93,-9.4347,-9.15643,1,7,0,0,4,0,0,0,3.072,4.5312
37,7.28,23.8627,14.7,9.77772,255,0,0,,1755.5,0.339390487,0,9,62.6,9.93,1.64,0,9.80392,0,14.3647,5.075,-9.2897,-9.05787,1,7,0,0,4,0,0,0,3.072,4.49408
38,7.32,23.4411,14.7,9.77772,255,0,0,,1737.25,0.345718808,0,9,62.6,10.01,1.64,0,9.80392,0,14.3647,5.075,-9.2897,-9.05787,1,7,0,0,4,0,0,0,3.328,4.817973333
39,7.36,23.6519,14.7,9.87393,255,0,0,,1727,0.343254198,0,8.5,62.6,9.88,1.64,0,9.80392,0,14.3647,5.075,-9.2897,-8.97805,1,7,0,0,4,0,0,0,3.328,4.789546667
40,7.4,23.7776,14.7,9.87393,255,0,0,,1718.5,0.348792552,0,8.5,62.6,9.99,1.64,0,9.80392,0,14.3647,5.22,-9.1447,-8.97805,1,7,0,0,4,0,0,0,3.328,4.765973333
41,7.44,23.7351,14.7,9.86099,255,0,0,,1702,0.348296122,0,8.5,62.6,9.88,1.64,0,9.80392,0,14.3647,5.22,-9.1447,-8.94433,1,7,0,0,4,0,0,0,3.328,4.720213333
42,7.48,23.6519,14.7,9.85453,255,0,0,,1690.75,0.352387993,0,8.5,62.6,9.93,1.64,0,9.80392,0,14.3647,5.22,-9.1447,-8.935,1,7,0,0,4,0,0,0,3.328,4.689013333
43,7.52,23.8627,14.7,9.85453,255,0,0,,1681.75,0.351419652,0,8.5,62.6,9.85,1.64,0,9.80392,0,14.3647,5.22,-9.1447,-8.935,1,7,0,0,4,0,0,0,3.328,4.664053333
44,7.56,23.6094,14.7,9.85453,255,0,0,,1666.5,0.353915392,0,9,62.6,9.83,1.64,0,9.80392,0,14.3647,5.22,-9.1447,-8.87626,1,7,0,0,4,0,0,0,3.328,4.62176
45,7.6,23.6945,14.7,9.9919,255,0,0,,1670.25,0.35779075,0,8.5,62.6,9.96,1.64,0,9.80392,0,14.3647,5.365,-8.9997,-8.83757,1,7,0,0,4,0,0,0,3.328,4.63216
46,7.64,23.5668,14.7,9.9919,255,0,0,,1662.75,0.357239513,0,8.5,62.6,9.9,1.62,0,9.80392,0,14.3647,5.365,-8.9997,-8.83757,1,7,0,0,4,0,0,0,3.328,4.61136
47,7.68,23.8627,14.7,10.0085,255,0,0,,1648.25,0.356741999,0,9,62.6,9.8,1.64,0,9.80392,0,14.3647,5.365,-8.9997,-8.79217,1,7,0,0,4,0,0,0,3.328,4.571146667
48,7.72,23.7776,14.7,10.0085,255,0,0,,1642.25,0.356218603,0,9,62.6,9.75,1.62,0,9.80392,0,14.3647,5.365,-8.9997,-8.79217,1,7,0,0,4,0,0,0,3.328,4.554506667
49,7.76,23.8202,14.7,10.0052,255,0,0,,1632,0.355514706,0,9,62.6,9.67,1.62,0,9.80392,0,14.3647,5.365,-8.9997,-8.78161,1,7,0,0,4,0,0,0,3.328,4.52608
50,7.8,23.8202,14.7,10.0218,255,0,0,,1622.5,0.364252696,0,9,62.6,9.85,1.62,0,9.80392,0,14.3647,5.365,-8.9997,-8.75973,1,7,0,0,4,0,0,0,3.328,4.499733333
51,7.84,23.6519,14.7,10.0218,255,0,0,,1610.75,0.364302344,0,9,62.6,9.78,1.64,0,9.80392,0,14.3647,5.365,-8.9997,-8.75973,1,7,0,0,4,0,0,0,3.328,4.467146667
52,7.88,23.3986,14.7,10.1674,255,0,0,,1606,0.367995019,0,9,62.6,9.85,1.62,0,9.80392,0,14.3647,5.365,-8.9997,-8.70374,1,7,0,0,4,0,0,0,3.328,4.453973333
53,7.92,23.7776,14.7,10.1984,255,0,0,,1595.5,0.37154497,0,9,62.6,9.88,1.64,0,9.80392,0,14.3647,5.365,-8.9997,-8.67737,1,7,0,0,4,0,0,0,3.328,4.424853333
54,7.96,23.7351,14.7,10.1984,255,0,0,,1592.25,0.376448422,0,9,62.6,9.99,1.64,0,9.80392,0,14.3647,5.365,-8.9997,-8.67737,1,7,0,0,4,0,0,0,3.328,4.41584
55,8,23.7351,14.7,10.2122,255,0,0,,1597.75,0.368017525,0,9,62.6,9.8,1.62,0,9.80392,0,14.3647,5.365,-8.9997,-8.68,1,7,0,0,4,0,0,0,3.328,4.431093333
56,8.04,23.7351,14.7,10.2122,255,0,0,,1596,0.362781955,0,9,60.8,9.65,1.62,0,9.80392,0,14.3647,5.365,-8.9997,-8.68,1,7,0,0,4,0,0,0,3.328,4.42624
57,8.08,23.7351,14.7,10.2296,255,0,0,,1602,0.364044944,0,8.5,60.8,9.72,1.62,0,9.80392,0,14.3647,5.365,-8.9997,-8.67868,1,7,0,0,4,0,0,0,3.328,4.44288
58,8.12,23.356,14.7,10.3777,255,0,0,,1600,0.361875,0,8.5,60.8,9.65,1.62,0,9.80392,0,14.3647,5.365,-8.9997,-8.67737,1,7,0,0,4,0,0,0,3.328,4.437333333
59,8.16,23.6945,14.7,10.3777,255,0,0,,1601.75,0.361479632,0,8.5,60.8,9.65,1.62,0,9.80392,0,14.3647,5.365,-8.9997,-8.67737,1,7,0,0,4,0,0,0,3.328,4.442186667
60,8.2,23.6094,14.7,10.4064,255,0,0,,1598.5,0.365968095,0,8.5,60.8,9.75,1.62,0,9.80392,0,14.3647,5.365,-8.9997,-8.6819,1,7,0,0,4,0,0,0,3.328,4.433173333
61,8.24,23.7776,14.7,10.4425,255,0,0,,1606.5,0.365266106,0,8,60.8,9.78,1.62,0,9.80392,0,14.3647,5.365,-8.9997,-8.69347,1,7,0,0,4,0,0,0,3.328,4.45536
62,8.28,23.8202,14.7,10.4425,255,0,0,,1603.25,0.366006549,0,8,60.8,9.78,1.62,0,9.80392,0,14.3647,5.365,-8.9997,-8.69347,1,7,0,0,4,0,0,0,3.328,4.446346667
63,8.32,23.8627,14.7,10.4752,255,0,0,,1599.75,0.366807314,0,8,60.8,9.78,1.62,0,9.80392,0,14.3647,5.365,-8.9997,-8.67737,1,7,0,0,4,0,0,0,3.328,4.43664
64,8.36,23.6094,14.7,10.4752,255,0,0,,1593.5,0.370128648,0,8,60.8,9.83,1.62,0,9.80392,0,14.3647,5.365,-8.9997,-8.67737,1,7,0,0,4,0,0,0,3.328,4.419306667
65,8.4,23.6945,14.7,10.6305,255,0,0,,1571.75,0.374105297,0,8.5,60.8,9.8,1.62,0,9.80392,0,14.3647,5.365,-8.9997,-8.67737,1,7,0,0,4,0,0,0,3.328,4.358986667
66,8.44,23.9459,14.7,10.6531,255,0,0,,1563.75,0.374100719,0,8.5,60.8,9.75,1.62,0,9.80392,0,14.3647,5.365,-8.9997,-8.67737,1,7,0,0,4,0,0,0,3.328,4.3368
67,8.48,23.8627,14.7,10.6531,255,0,0,,1561.75,0.379574196,0,8.5,60.8,9.88,1.64,0,9.80392,0,14.3647,5.365,-8.9997,-8.67737,1,7,0,0,4,0,0,0,3.328,4.331253333
68,8.52,23.7351,14.7,10.6682,255,0,0,,1562,0.376440461,0,8.5,60.8,9.8,1.62,0,9.80392,0,14.3647,5.365,-8.9997,-8.67737,1,7,0,0,4,0,0,0,3.328,4.331946667
69,8.56,23.6945,14.7,10.6909,255,0,0,,1558.75,0.377225341,0,8.5,60.8,9.8,1.64,0,9.80392,0,14.3647,5.365,-8.9997,-8.67737,1,7,0,0,4,0,0,0,3.328,4.322933333
70,8.6,23.5668,14.7,10.6909,255,0,0,,1555.25,0.380003215,0,8.5,60.8,9.85,1.64,0,9.80392,0,14.3647,5.365,-8.9997,-8.67737,1,7,0,0,4,0,0,0,3.328,4.313226667
71,8.64,23.6945,14.7,10.8099,255,0,0,,1551,0.380270793,0,8.5,60.8,9.83,1.64,0,9.80392,0,14.3647,5.365,-8.9997,-8.67737,1,7,0,0,4,0,0,0,3.328,4.30144
72,8.68,23.7351,14.7,10.8099,255,0,0,,1547.25,0.381968008,0,8.5,60.8,9.85,1.64,0,9.80392,0,14.3647,5.365,-8.9997,-8.67737,1,7,0,0,4,0,0,0,3.328,4.29104
73,8.72,23.8627,14.7,10.8333,255,0,0,,1543,0.382242385,0,8.5,60.8,9.83,1.62,0,9.41177,0,14.3647,5.365,-8.9997,-8.67737,1,7,0,0,4,0,0,0,3.328,4.279253333
74,8.76,23.6094,14.7,10.8645,255,0,0,,1535.25,0.379091353,0,8.5,60.8,9.7,1.6,0,9.41177,0,14.3647,5.22,-9.1447,-8.67737,1,7,0,0,4,0,0,0,3.328,4.25776
75,8.8,23.8627,14.7,10.8645,255,0,0,,1526.75,0.378057966,0,9,60.8,9.62,1.6,0,9.41177,0,14.3647,5.22,-9.1447,-8.67737,1,7,0,0,4,0,0,0,3.328,4.234186667
76,8.84,23.9033,14.7,10.9316,255,0,0,,1514.25,0.374839029,0,9.5,60.8,9.46,1.6,0,9.41177,0,14.3647,5.22,-9.1447,-8.67737,1,7,0,0,4,0,0,0,3.328,4.19952
77,8.88,23.7351,14.7,11.0479,255,0,0,,1510.25,0.376626386,0,9.5,60.8,9.48,1.6,0,9.41177,0,14.3647,5.22,-9.1447,-8.67737,1,7,0,0,4,0,0,0,3.328,4.188426667
78,8.92,23.6945,14.7,11.0479,255,0,0,,1491.25,0.384241408,0,16.5,60.8,9.55,1.6,0,9.41177,0,14.3647,5.22,-9.1447,-8.67737,1,7,0,0,4,0,0,0,3.328,4.135733333
79,8.96,23.8627,14.7,11.0682,255,0,0,,1484.75,0.383094797,0,16.5,60.8,9.48,1.62,0,9.41177,0,14.3647,5.22,-9.1447,-8.67737,1,7,0,0,4,0,0,0,3.328,4.117706667
80,9,23.8627,14.7,11.0682,255,0,0,,1493,0.385800402,0,16.5,60.8,9.6,1.62,0,9.41177,0,14.3647,5.22,-9.1447,-8.67737,1,7,0,0,4,0,0,0,3.328,4.140586667
81,9.04,23.8202,14.7,11.1626,255,0,0,,1506.25,0.382406639,0,15.5,60.8,9.6,1.62,0,9.41177,0,14.3647,5.22,-9.1447,-8.67737,1,7,0,0,4,0,0,0,3.328,4.177333333
82,9.08,23.8627,14.7,11.1751,255,0,0,,1516.25,0.38067601,0,14.5,60.8,9.62,1.6,0,9.41177,0,14.3647,5.22,-9.1447,-8.67737,1,7,0,0,4,0,0,0,3.328,4.205066667
83,9.12,23.8202,14.7,11.1751,255,0,0,,1524,0.37480315,0,13.5,60.8,9.52,1.6,0,9.41177,0,14.3647,5.22,-9.1447,-8.67737,1,7,0,0,4,0,0,0,3.328,4.22656
84,9.16,23.7351,14.7,11.1792,255,0,0,,1528.25,0.374938655,0,13,60.8,9.55,1.6,0,9.41177,0,14.3647,5.22,-9.1447,-8.67737,1,7,0,0,4,0,0,0,3.328,4.238346667
