sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,RPM,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW
0,18971.680,10.17,14.7,14.3428,255,0,-2.34375,180.75,0,13.5,60.8,2.68,1.2,0,7.05882,0,14.3647,13.775,-8.95842,1,7,0,0,0,0,0,0,7.168
1,18971.720,10.17,14.7,11.3094,255,0,-2.34375,180.75,0,13.5,60.8,2.68,1.2,0,7.05882,0,14.3647,13.775,-8.95836,1,7,0,0,0,0,0,0,7.168
2,18971.760,10.17,14.7,11.3094,255,0,-2.34375,180.75,0,13.5,60.8,2.68,1.08,0,7.05882,0,14.3647,13.775,-8.95836,1,7,0,0,0,0,0,0,7.168
3,18971.800,10.17,14.7,11.3094,255,0,-2.34375,180.75,0,13.5,98.6,2.68,1.14,0,7.05882,0,14.3647,13.775,-8.95836,1,7,0,0,0,0,0,0,7.168
4,18971.840,10.17,14.7,11.3094,255,0,-2.34375,200.75,0,13.5,98.6,2.96,1.24,0,7.05882,0,14.3647,13.63,-8.95836,1,7,0,0,0,0,0,0,7.168
5,18971.880,10.17,14.7,11.3094,255,0,-2.34375,200.75,0,13.5,98.6,2.96,1.18,0,7.05882,0,14.3647,13.63,-8.95836,1,7,0,0,0,0,0,0,7.168
6,18971.920,10.17,14.7,11.3094,255,0,-2.34375,412.75,0,13.5,98.6,3.61,1.2,0,7.05882,0,14.3647,12.76,-8.95836,1,7,0,0,0,0,0,0,7.168
7,18971.960,10.17,14.7,11.3094,255,0,-2.34375,735.25,0,24,98.6,3.46,1.24,0,7.05882,0,14.3647,12.615,-8.95836,1,7,0,0,0,0,0,0,6.144
8,18972.000,10.17,14.7,11.3094,255,0,-2.34375,1152.25,0,21,98.6,4.39,1.32,0,7.05882,0,14.3647,10.73,-8.95836,1,7,0,0,0,0,0,0,5.12
9,18972.040,10.17,14.7,11.434,255,0,-2.34375,1431,0,20.5,98.6,5.36,1.36,0,7.05882,0,14.3647,9.57,-8.63486,1,7,0,0,0,0,0,0,4.096
10,18972.080,10.17,14.7,11.4601,255,0,-2.34375,1625,0,20,98.6,6.08,1.4,0,7.05882,0,14.3647,8.555,-8.59096,1,7,0,0,0,0,0,0,3.328
11,18972.120,21.2073,14.7,11.4601,255,0,-2.34375,1765,0,20,98.6,6.37,1.42,0,7.05882,0,14.3647,7.83,-8.59096,1,7,0,0,0,0,0,0,2.816
12,18972.160,21.4607,14.7,11.4601,255,0,-2.34375,1898.5,0,19.5,98.6,6.49,1.42,0,7.05882,0,14.3647,6.815,-9.11486,1,7,0,0,0,0,0,0,2.304
13,18972.200,20.9965,14.7,11.4644,255,0,-2.34375,1958.75,0,19,98.6,6.55,1.44,0,7.05882,0,14.3647,6.38,-9.42776,1,7,0,0,0,0,0,0,2.304
14,18972.240,21.0816,14.7,11.4644,255,0,-2.34375,1974.75,0,18.5,98.6,6.64,1.44,0,7.05882,0,14.3647,5.8,-9.42776,1,7,0,0,0,0,0,0,2.304
15,18972.280,20.9965,14.7,11.6103,255,0,-2.34375,1955.75,0,17.5,98.6,6.79,1.46,0,7.05882,0,14.3647,5.365,-9.49289,1,7,0,0,0,0,0,0,2.048
16,18972.320,21.4181,14.7,11.6103,255,0,-2.34375,1955,0,16.5,98.6,6.98,1.46,0,7.05882,0,14.3647,5.075,-9.49289,1,7,0,0,0,0,0,0,2.048
17,18972.360,21.2499,14.7,11.8573,255,0,-2.34375,1949.5,0,15.5,98.6,7.07,1.46,0,7.05882,0,14.3647,4.785,-9.46809,1,7,0,0,0,0,0,0,2.048
18,18972.400,21.1242,14.7,12.0664,255,0,-3.125,1922.25,0,14.5,98.6,7.16,1.46,0,7.05882,0,14.3647,4.64,-9.38536,1,7,0,0,0,0,0,0,2.048
19,18972.440,21.2924,14.7,12.0664,255,0,-3.125,1870,0,13.5,98.6,7.52,1.48,0,7.05882,0,14.3647,4.495,-9.38536,1,7,0,0,0,0,0,0,2.048
20,18972.480,21.0816,14.7,12.248,255,0,-3.125,1829,0,12.5,98.6,7.8,1.48,0,7.05882,0,14.3647,4.35,-9.2285,1,7,0,0,0,0,0,0,2.048
