sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,correction,RPM,load,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,mrp,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,IDC,KNOCK_FLAG
0,3.96,10.17,14.70,13.20,255,0.00,-2.34,,175,1.15720399429387,0,29.5,60.8,3.38,1.24,0.00,10.59,0.00,14.36,14.21,-0.15,-8.99,1,7,0,0,0,0.00,0,0,1.54,0.22432,0
1,4,10.17,14.70,7.41,255,0.00,-2.34,,175,1.05449358059914,0,29.5,60.8,3.08,1.24,0.00,10.59,0.00,14.36,14.07,-0.30,-8.99,1,7,0,0,0,0.00,0,0,1.28,0.186933333333333,0
2,4.04,10.17,14.70,7.41,255,0.00,-2.34,,175,1.05449358059914,0,29.5,60.8,3.08,1.12,0.00,10.59,0.00,14.36,14.07,-0.30,-8.99,1,7,0,0,0,0.00,0,0,1.28,0.186933333333333,0
3,4.08,10.17,14.70,7.41,255,0.00,-2.34,,175,1.05449358059914,0,29.5,60.8,3.08,1.14,0.00,10.59,0.00,14.36,14.07,-0.30,-8.99,1,7,0,0,0,0.00,0,0,1.28,0.186933333333333,0
4,4.12,10.17,14.70,7.41,255,0.00,-2.34,,188,1.07696404793609,0,29.5,60.8,3.37,1.26,0.00,10.59,0.00,14.36,14.07,-0.30,-8.99,1,7,0,0,0,0.00,0,0,26.11,4.08544,0
5,4.16,10.17,14.70,7.41,255,0.00,-2.34,,188,1.07696404793609,0,29.5,60.8,3.37,1.26,0.00,10.59,0.00,14.36,14.07,-0.30,-8.99,1,7,0,0,0,0.00,0,0,26.11,4.08544,0
6,4.2,10.17,14.70,7.41,255,0.00,-2.34,,417,0.590636254501801,0,29.5,60.8,4.1,1.26,0.00,10.59,0.00,14.36,13.20,-1.17,-8.99,1,7,0,0,0,0.00,0,0,19.97,6.93056,0
7,4.24,10.17,14.70,7.41,255,0.00,-2.34,,791,0.334513274336283,0,29.5,60.8,4.41,1.34,0.00,10.59,0.00,14.36,13.05,-1.31,-8.99,1,7,0,0,0,0.00,0,0,19.71,12.9934933333333,0
8,4.28,10.17,14.70,7.41,255,0.00,-2.34,,1074,0.298462971588263,0,28,60.8,5.34,1.44,0.00,10.59,0.00,14.36,11.89,-2.47,-8.99,1,7,0,0,0,0.00,0,0,15.36,13.7408,0
9,4.32,21.46,14.70,7.42,255,0.00,-2.34,,1417,0.302859159901165,0,28,60.8,7.15,1.54,0.00,10.98,0.00,14.36,10.73,-3.63,-8.62,1,7,0,0,0,0.00,0,0,12.03,14.2027733333333,0
10,4.36,21.12,14.70,7.42,255,0.00,-2.34,,1767,0.31778186447871,0,23.5,60.8,9.36,1.62,0.00,10.98,0.00,14.36,9.28,-5.08,-8.62,1,7,0,0,0,0.00,0,0,8.45,12.44144,0
11,4.4,21.34,14.70,7.42,255,0.00,-2.34,,1908,0.318595203774079,0,23,60.8,10.13,1.66,0.00,10.98,0.00,14.36,8.56,-5.81,-9.19,1,7,0,0,0,0.00,0,0,6.66,10.5816533333333,0
12,4.44,21.25,14.70,7.42,255,0.00,-2.34,,2065,0.324881946966945,0,22.5,60.8,11.18,1.7,0.00,10.98,0.00,14.36,7.69,-6.68,-9.19,1,7,0,0,0,0.00,0,0,4.86,8.36912,0
13,4.48,21.08,14.70,7.43,255,0.00,-2.34,,2204,0.320490129339687,0,22,60.8,11.77,1.72,0.00,11.37,0.00,14.36,7.25,-7.11,-9.61,1,7,0,0,0,0.00,0,0,4.10,7.52128,0
14,4.52,21.08,14.70,7.43,255,0.00,-2.34,,2279,0.322737742678513,0,21.5,60.8,12.26,1.74,0.00,11.37,0.00,14.36,6.53,-7.84,-9.61,1,7,0,0,0,0.00,0,0,4.10,7.77984,0
