sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,correction,RPM,load,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,mrp,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,IDC,KNOCK_FLAG
0,0.04,14.93,14.59,14.56,31,-3.13,0.00,,1304,0.361656441717791,0,17,50,7.86,1.5,0.00,7.45,0.00,14.36,5.22,-9.14,-8.68,0,0,0,0,0,0.00,0,0,2.56,2.78,0
1,0.08,14.68,14.47,14.56,31,-3.13,0.00,,1318,0.35977229601518,0,15.5,50,7.9,1.5,0.00,7.45,0.00,14.36,5.22,-9.14,-8.68,1,0,0,0,0,0.00,0,0,2.56,2.81,0
2,0.12,14.34,14.47,14.56,31,-3.13,0.00,-3.13,1318,0.358793397837223,0,15.5,50,7.88,1.5,0.00,7.45,0.00,14.36,5.22,-9.14,-8.68,1,8,0,0,0,0.00,0,0,2.56,2.81,0
3,0.16,14.51,14.47,14.56,31,-3.13,0.00,-3.13,1314,0.36027397260274,0,16,50,7.89,1.52,0.00,7.45,0.00,14.36,5.22,-9.14,-8.68,1,8,0,0,0,0.00,0,0,2.56,2.80,0
4,0.2,14.42,14.47,14.56,31,-3.13,0.00,-3.13,1304,0.363036809815951,0,16.5,50,7.89,1.52,0.00,7.45,0.00,14.36,5.22,-9.14,-8.68,1,8,0,0,0,0.00,0,0,2.56,2.78,0
5,0.24,14.34,14.47,14.56,31,-3.13,0.00,-3.13,1288,0.366220151426907,0,18,50,7.86,1.5,0.00,7.45,0.00,14.36,5.22,-9.14,-8.68,1,8,0,0,0,0.00,0,0,2.56,2.75,0
6,0.28,14.42,14.47,14.56,31,-3.13,0.00,-3.13,1294,0.365449275362319,0,17.5,50,7.88,1.5,0.00,7.45,0.00,14.36,5.22,-9.14,-8.68,1,8,0,0,0,0.00,0,0,2.56,2.76,0
7,0.32,14.47,14.47,14.56,31,-3.13,0.00,-3.13,1298,0.36339818917357,0,17,50,7.86,1.5,0.00,7.45,0.00,14.36,5.22,-9.14,-8.68,1,8,0,0,0,0.00,0,0,2.56,2.77,0
8,0.36,14.34,14.47,14.56,31,-3.13,0.00,-3.13,1302,0.361820626080277,0,17,50,7.85,1.5,0.00,7.45,0.00,14.36,5.22,-9.14,-8.68,1,8,0,0,0,0.00,0,0,2.56,2.78,0
9,0.4,14.38,14.47,14.56,31,-3.13,0.00,-3.13,1307,0.359839357429719,0,16.5,50,7.84,1.5,0.00,7.45,0.00,14.36,5.22,-9.14,-8.68,1,8,0,0,0,0.00,0,0,2.56,2.79,0
