sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,RPM,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,KNOCK_FLAG
0,6.52,10.17,14.7,13.078,255,0,-1.5625,180.75,0,26,53.6,3.28,1.26,0,10.1961,0,14.3647,14.065,-9.02062,1,7,0,0,0,0,0,0,30.976,0
1,6.56,10.17,14.7,13.078,255,0,-1.5625,180.75,0,26,53.6,3.28,1.24,0,10.1961,0,14.3647,14.065,-9.02062,1,7,0,0,0,0,0,0,30.976,0
2,6.6,10.17,14.7,7.19369,255,0,-1.5625,180.75,0,26,53.6,3.28,1.12,0,10.1961,0,14.3647,14.065,-9.02068,1,7,0,0,0,0,0,0,30.976,0
3,6.64,10.17,14.7,7.19369,255,0,-1.5625,180.75,0,26,53.6,3.28,1.16,0,10.1961,0,14.3647,14.065,-9.02068,1,7,0,0,0,0,0,0,30.976,0
4,6.68,10.17,14.7,7.19369,255,0,-1.5625,185.25,0,26,53.6,3.47,1.28,0,10.1961,0,14.3647,14.065,-9.02068,1,7,0,0,0,0,0,0,30.72,0
5,6.72,10.17,14.7,7.19369,255,0,-1.5625,185.25,0,26,53.6,3.47,1.26,0,10.1961,0,14.3647,14.065,-9.02068,1,7,0,0,0,0,0,0,30.72,0
6,6.76,10.17,14.7,7.19369,255,0,-1.5625,400.75,0,26,53.6,4.31,1.28,0,10.1961,0,14.3647,13.195,-9.02068,1,7,0,0,0,0,0,0,30.72,0
7,6.8,10.17,14.7,7.19541,255,0,-1.5625,737,0,26,53.6,4.51,1.34,0,10.5882,0,14.3647,13.05,-9.02068,1,7,0,0,0,0,0,0,21.504,0
8,6.84,10.17,14.7,7.19713,255,0,-1.5625,981.5,0,26,53.6,5.41,1.44,0,10.5882,0,14.3647,11.89,-8.85387,1,7,0,0,0,0,0,0,19.2,0
9,6.88,10.17,14.7,7.19713,255,0,-1.5625,1306.5,0,26,53.6,7.04,1.52,0,10.5882,0,14.3647,10.73,-8.85387,1,7,0,0,0,0,0,0,15.36,0
10,6.92,10.17,14.7,7.19885,255,0,-1.5625,1578,0,24.5,53.6,8.15,1.58,0,10.1961,0,14.3647,9.86,-8.65328,1,7,0,0,0,0,0,0,12.288,0
11,6.96,21.4607,14.7,7.21611,255,0,0,1762.25,0,21.5,53.6,9.53,1.62,0,10.1961,0,14.3647,8.99,-9.05354,1,7,0,0,0,0,0,0,9.984,0
