sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,correction,RPM,load,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,mrp,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,IDC,KNOCK_FLAG,ECT
0,16.64,10.17,14.70,14.49,255,0.00,0.00,,181,0.834349030470914,0,26,66.2,2.51,1.2,0.00,8.24,0.00,14.51,14.07,-0.44,-9.17,1,7,0,0,0,0.00,0,0,11.78,1.77130666666667,0,111.2
1,16.68,10.17,14.70,10.74,255,0.00,0.00,,181,0.834349030470914,0,26,66.2,2.51,1.2,0.00,8.24,0.00,14.51,14.07,-0.44,-9.17,1,7,0,0,0,0.00,0,0,11.78,1.77130666666667,0,111.2
2,16.72,10.17,14.70,10.74,255,0.00,0.00,,181,0.834349030470914,0,26,66.2,2.51,1.08,0.00,8.24,0.00,14.51,14.07,-0.44,-9.17,1,7,0,0,0,0.00,0,0,11.78,1.77130666666667,0,111.2
3,16.76,10.17,14.70,10.74,255,0.00,0.00,,181,0.834349030470914,0,26,66.2,2.51,1.12,0.00,8.24,0.00,14.51,14.07,-0.44,-9.17,1,7,0,0,0,0.00,0,0,11.78,1.77130666666667,0,111.2
4,16.8,10.17,14.70,10.74,255,0.00,0.00,,193,0.938181818181818,0,26,66.2,3.01,1.24,0.00,8.24,0.00,14.51,13.92,-0.59,-9.17,1,7,0,0,0,0.00,0,0,11.52,1.848,0,111.2
5,16.84,10.17,14.70,10.74,255,0.00,0.00,,193,0.938181818181818,0,26,66.2,3.01,1.2,0.00,8.24,0.00,14.51,13.92,-0.59,-9.17,1,7,0,0,0,0.00,0,0,11.52,1.848,0,111.2
6,16.88,10.17,14.70,10.74,255,0.00,0.00,,420,0.52459797498511,0,26,66.2,3.67,1.22,0.00,8.24,0.00,14.51,13.20,-1.31,-9.17,1,7,0,0,0,0.00,0,0,11.52,4.0296,0,111.2
7,16.92,10.17,14.70,10.74,255,0.00,0.00,,766,0.281984334203655,0,26,66.2,3.6,1.26,0.00,8.24,0.00,14.51,13.05,-1.46,-9.17,1,7,0,0,0,0.00,0,0,8.70,5.55605333333333,0,111.2
8,16.96,10.17,14.70,10.77,255,0.00,0.00,,1205,0.231133250311332,0,26,66.2,4.64,1.36,0.00,8.24,0.00,14.51,11.17,-3.34,-8.96,1,7,0,0,0,0.00,0,0,7.17,7.19488,0,111.2
9,17,10.17,14.70,10.80,255,0.00,0.00,,1493,0.24028126569563,0,24,66.2,5.98,1.42,0.00,8.24,0.00,14.51,10.01,-4.50,-8.81,1,7,0,0,0,0.00,0,0,5.89,7.32688,0,111.2
10,17.04,10.17,14.70,10.80,255,0.00,0.00,,1708,0.22489019033675,0,21.5,66.2,6.4,1.46,0.00,8.24,0.00,14.51,9.14,-5.37,-8.81,1,7,0,0,1,0.00,0,0,4.86,6.92106666666667,0,111.2
11,17.08,10.17,14.70,10.81,255,0.00,0.00,,1907,0.231912940867969,0,21,66.2,7.37,1.48,0.00,8.24,0.00,14.51,7.98,-6.53,-9.25,1,7,0,0,2,0.00,0,0,3.58,5.69482666666667,0,111.2
12,17.12,22.72,14.70,10.81,255,0.00,0.00,,1994,0.22871473354232,0,20.5,66.2,7.6,1.5,0.00,8.24,0.00,14.51,7.25,-7.26,-9.25,1,7,0,0,3,0.00,0,0,3.07,5.104,0,111.2
13,17.16,22.43,14.70,10.81,255,0.00,0.00,,2111,0.217716721932733,0,20,66.2,7.66,1.52,0.00,8.63,0.00,14.51,6.82,-7.69,-9.79,1,7,0,0,3,0.00,0,0,2.56,4.50346666666667,0,111.2
14,17.2,22.60,14.70,10.82,255,0.00,0.00,,2173,0.213738350017259,0,19.5,66.2,7.74,1.54,0.00,8.63,0.00,14.51,6.09,-8.42,-9.79,1,7,0,0,4,0.00,0,0,2.56,4.6352,0,111.2
15,17.24,22.56,14.70,10.82,255,0.00,0.00,,2217,0.21439205955335,0,18,66.2,7.92,1.56,0.00,8.63,0.00,14.51,5.66,-8.85,-9.79,1,7,0,0,4,0.00,0,0,2.30,4.25568,0,111.2
16,17.28,22.56,14.70,10.84,255,0.00,0.00,,2230,0.2176437619101,0,17,66.2,8.09,1.56,0.00,8.63,0.00,14.51,5.22,-9.29,-9.79,1,7,0,0,4,0.00,0,0,2.30,4.28208,0,111.2
17,17.32,22.64,14.70,10.98,255,0.00,0.00,,2246,0.220950684626517,0,15.5,66.2,8.27,1.56,0.00,8.63,0.00,14.51,4.93,-9.58,-9.79,1,7,0,0,4,0.00,0,0,2.30,4.31184,0,111.2
18,17.36,22.60,14.70,10.98,255,0.00,0.00,,2235,0.214813157305885,0,14.5,66.2,8,1.56,0.00,8.63,0.00,14.51,4.79,-9.72,-9.79,1,7,0,0,4,0.00,0,0,2.30,4.29024,0,111.2
19,17.4,22.56,14.70,10.99,255,0.00,0.00,,2228,0.222735944338458,0,13,66.2,8.27,1.56,0.00,8.63,0.00,14.51,4.64,-9.87,-9.79,1,7,0,0,4,0.00,0,0,2.30,4.27728,0,111.2
20,17.44,22.60,14.70,11.13,255,0.00,0.00,,2198,0.23041747241497,0,12,66.2,8.44,1.56,0.00,8.63,0.00,14.51,4.50,-10.01,-9.79,1,7,0,0,4,0.00,0,0,2.30,4.21968,0,111.2
21,17.48,22.60,14.70,11.13,255,0.00,0.00,,2184,0.231921227387222,0,11,66.2,8.44,1.56,0.00,8.63,0.00,14.51,4.35,-10.16,-9.79,1,7,0,0,4,0.00,0,0,2.30,4.19232,0,111.2
22,17.52,22.64,14.70,11.14,255,0.00,0.00,,2137,0.234749034749035,0,10,66.2,8.36,1.56,0.00,8.63,0.00,14.51,4.35,-10.16,-9.79,1,7,0,0,4,0.00,0,0,2.30,4.10256,0,111.2
23,17.56,22.64,14.70,11.14,255,0.00,0.00,,2112,0.247501775988634,0,10,66.2,8.71,1.58,0.00,9.02,0.00,14.51,4.35,-10.16,-9.79,1,7,0,0,4,0.00,0,0,2.30,4.05408,0,111.2
24,17.6,22.51,14.70,11.27,255,0.00,0.00,,2093,0.252269469660774,0,9.5,66.2,8.8,1.58,0.00,9.02,0.00,14.51,4.35,-10.16,-9.79,1,7,0,0,4,0.00,0,0,2.30,4.01856,0,111.2
25,17.64,22.56,14.70,11.28,255,0.00,0.00,,2038,0.269348705997792,0,9.5,66.2,9.15,1.58,0.00,9.02,0.00,14.51,4.35,-10.16,-9.79,1,7,0,0,4,0.00,0,0,2.30,3.91344,0,111.2
26,17.68,22.56,14.70,11.28,255,0.00,0.00,,2009,0.267927815805849,0,9.5,66.2,8.97,1.58,0.00,9.02,0.00,14.51,4.35,-10.16,-9.79,1,7,0,0,4,0.00,0,0,2.30,3.8568,0,111.2
27,17.72,22.56,14.70,11.40,255,0.00,0.00,,1983,0.276888160383306,0,9.5,66.2,9.15,1.58,0.00,9.02,0.00,14.51,4.35,-10.16,-9.76,1,7,0,0,4,0.00,0,0,2.30,3.80688,0,111.2
28,17.76,22.64,14.70,11.51,255,0.00,0.00,,1928,0.28195020746888,0,9.5,66.2,9.06,1.58,0.00,9.02,0.00,14.51,4.35,-10.16,-9.61,1,7,0,0,4,0.00,0,0,2.30,3.70176,0,111.2
29,17.8,22.51,14.70,11.51,255,0.00,0.00,,1887,0.296700675765205,0,9,66.2,9.33,1.58,0.00,9.02,0.00,14.51,4.50,-10.01,-9.61,1,7,0,0,4,0.00,0,0,2.56,4.02506666666667,0,111.2
30,17.84,22.56,14.70,11.52,255,0.00,0.00,,1856,0.298706896551724,0,9,66.2,9.24,1.58,0.00,9.02,0.00,14.51,4.50,-10.01,-9.45,1,7,0,0,4,0.00,0,0,2.56,3.95946666666667,0,111.2
31,17.88,22.60,14.70,11.52,255,0.00,0.00,,1813,0.30574934509858,0,9,66.2,9.24,1.6,0.00,9.02,0.00,14.51,4.50,-10.01,-9.45,1,7,0,0,4,0.00,0,0,2.56,3.86826666666667,0,111.2
32,17.92,22.60,14.70,11.62,255,0.00,0.00,,1783,0.313921211271555,0,9,66.2,9.33,1.58,0.00,9.02,0.00,14.51,4.64,-9.87,-9.33,1,7,0,0,4,0.00,0,0,2.56,3.80426666666667,0,111.2
33,17.96,22.56,14.70,11.64,255,0.00,0.00,,1763,0.317617021276596,0,9,66.2,9.33,1.6,0.00,9.02,0.00,14.51,4.64,-9.87,-9.21,1,7,0,0,4,0.00,0,0,2.56,3.76,0,111.2
34,18,22.64,14.70,11.64,255,0.00,0.00,,1729,0.317524580682475,0,8.5,66.2,9.15,1.6,0.00,9.02,0.00,14.51,4.79,-9.72,-9.21,1,7,0,0,4,0.00,0,0,2.56,3.68853333333333,0,111.2
35,18.04,22.60,14.70,11.64,255,0.00,0.00,,1703,0.328665785997358,0,8.5,66.2,9.33,1.58,0.00,9.02,0.00,14.51,4.79,-9.72,-9.12,1,7,0,0,4,0.00,0,0,2.56,3.6336,0,111.2
36,18.08,22.64,14.70,11.74,255,0.00,0.00,,1672,0.331628532974428,0,8.5,66.2,9.24,1.58,0.00,9.02,0.00,14.51,4.79,-9.72,-8.98,1,7,0,0,4,0.00,0,0,2.82,3.92304,0,111.2
37,18.12,23.86,14.70,11.74,255,0.00,0.00,,1655,0.328409605799728,0,8.5,66.2,9.06,1.58,0.00,9.02,0.00,14.51,4.93,-9.58,-8.98,1,7,0,0,4,0.00,0,0,2.82,3.88432,0,111.2
38,18.16,23.78,14.70,11.75,255,0.00,0.00,,1564,0.344062649832188,0,9,66.2,8.97,1.58,0.00,9.02,0.00,14.51,4.93,-9.58,-8.88,1,7,0,0,4,0.00,0,0,2.82,3.67077333333333,0,111.2
39,18.2,23.69,14.70,11.75,255,0.00,0.00,,1507,0.367822192735114,0,10,66.2,9.24,1.58,0.00,9.02,0.00,14.51,5.08,-9.43,-8.88,1,7,0,0,4,0.00,0,0,2.82,3.53701333333333,0,111.2
40,18.24,23.82,14.70,11.84,255,0.00,0.00,,1483,0.370195549561699,0,10.5,66.2,9.15,1.6,0.00,9.02,0.00,14.51,5.08,-9.43,-8.81,1,7,0,0,4,0.00,0,0,2.82,3.48010666666667,0,111.2
41,18.28,23.86,14.70,11.84,255,0.00,0.00,,1483,0.370320404721754,0,10,66.2,9.15,1.6,0.00,9.02,0.00,14.51,5.08,-9.43,-8.81,1,7,0,0,4,0.00,0,0,2.82,3.47893333333333,0,111.2
42,18.32,23.82,14.70,11.84,255,0.00,0.00,,1478,0.378819150735916,0,10,66.2,9.33,1.6,0.00,9.02,0.00,14.51,5.22,-9.29,-8.81,1,7,0,0,4,0.00,0,0,2.82,3.46778666666667,0,111.2
43,18.36,23.82,14.70,11.92,255,0.00,0.00,,1470,0.380816326530612,0,10.5,66.2,9.33,1.6,0.00,9.02,0.00,14.51,5.22,-9.29,-8.81,1,7,0,0,4,0.00,0,0,3.07,3.7632,0,111.2
