sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,correction,RPM,load,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,mrp,Trgt_Boost,BOOST ERROR,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,IDC,KNOCK_FLAG,ECT
2,0.12,14.13,14.24,14.36,31,-0.78,-10.94,-11.72,799,0.329014084507042,0,12.5,87.8,4.38,1.26,0.00,0.39,0.00,14.22,5.08,-9.14,-8.90,0.25,1,8,0,0,0,0.00,0,0,2.30,1.5336,0,179.6
3,0.16,14.05,14.24,14.36,31,-0.78,-10.94,-11.72,795,0.330462118830556,0,12,87.8,4.38,1.26,0.00,0.39,0.00,14.22,5.08,-9.14,-8.90,0.25,1,8,0,0,0,0.00,0,0,2.05,1.35722666666667,0,179.6
4,0.2,14.09,14.24,14.36,31,-0.78,-10.94,-11.72,810,0.324344338167232,0,11,87.8,4.38,1.28,0.00,0.39,0.00,14.22,5.08,-9.14,-8.90,0.25,1,8,0,0,0,0.00,0,0,2.30,1.55568,0,179.6
5,0.24,14.21,14.24,14.36,31,-0.78,-10.94,-11.72,801,0.328089887640449,0,11.5,87.8,4.38,1.28,0.00,0.39,0.00,14.22,5.08,-9.14,-8.90,0.25,1,8,0,0,0,0.00,0,0,2.30,1.53792,0,179.6
6,0.28,14.13,14.24,14.36,31,-0.78,-10.94,-11.72,803,0.327272727272727,0,11.5,87.8,4.38,1.28,0.00,0.39,0.00,14.22,5.08,-9.14,-8.90,0.25,1,8,0,0,0,0.00,0,0,2.05,1.37045333333333,0,179.6
7,0.32,14.13,14.24,14.36,31,-0.78,-10.94,-11.72,797,0.329736511919699,0,12,87.8,4.38,1.28,0.00,0.39,0.00,14.22,5.08,-9.14,-8.89,0.25,1,8,0,0,0,0.00,0,0,2.05,1.36021333333333,0,179.6
8,0.36,14.17,14.24,14.36,31,-0.78,-10.94,-11.72,793,0.331504257332072,0,12.5,87.8,4.38,1.28,0.00,0.39,0.00,14.22,5.08,-9.14,-8.89,0.25,1,8,0,0,0,0.00,0,0,2.30,1.52208,0,179.6
9,0.4,14.13,14.24,14.36,31,-0.78,-10.94,-11.72,783,0.335525055857006,0,13.5,87.8,4.38,1.28,0.00,0.39,0.00,14.22,5.08,-9.14,-8.90,0.25,1,8,0,0,0,0.00,0,0,2.05,1.33674666666667,0,179.6
10,0.44,14.21,14.24,14.36,31,-0.78,-10.94,-11.72,799,0.328911138923655,0,12,87.8,4.38,1.28,0.00,0.39,0.00,14.22,5.08,-9.14,-8.90,0.25,1,8,0,0,0,0.00,0,0,2.30,1.53408,0,179.6
11,0.48,14.34,14.24,14.36,31,-0.78,-10.94,-11.72,801,0.328089887640449,0,11.5,87.8,4.38,1.28,0.00,0.39,0.00,14.22,5.08,-9.14,-8.90,0.25,1,8,0,0,0,0.00,0,0,2.05,1.36704,0,179.6
12,0.52,14.30,14.24,14.36,31,-0.78,-10.94,-11.72,803,0.327170868347339,0,11.5,87.8,4.38,1.28,0.00,0.39,0.00,14.22,5.08,-9.14,-8.89,0.25,1,8,0,0,0,0.00,0,0,2.05,1.37088,0,179.6
13,0.56,14.47,14.24,14.36,31,-0.78,-10.94,-11.72,785,0.334777070063694,0,13,87.8,4.38,1.28,0.00,0.39,0.00,14.22,5.08,-9.14,-8.89,0.25,1,8,0,0,0,0.00,0,0,2.05,1.33973333333333,0,179.6
14,0.6,14.30,14.24,14.36,31,-0.78,-10.94,-11.72,788,0.333396764985728,0,13,87.8,4.38,1.26,0.00,0.39,0.00,14.22,5.08,-9.14,-8.90,0.25,1,8,0,0,0,0.00,0,0,2.05,1.34528,0,179.6
15,0.64,14.21,14.24,14.36,31,-0.78,-10.94,-11.72,783,0.335632183908046,0,13.5,87.8,4.38,1.26,0.00,0.39,0.00,14.22,5.08,-9.14,-8.90,0.25,1,8,0,0,0,0.00,0,0,2.05,1.33632,0,179.6
16,0.68,14.30,14.24,14.36,31,-0.78,-10.94,-11.72,780,0.337031099711446,0,13.5,87.8,4.38,1.26,0.00,0.39,0.00,14.22,5.08,-9.14,-8.90,0.25,1,8,0,0,0,0.00,0,0,2.30,1.49712,0,179.6
17,0.72,14.26,14.24,14.36,31,-0.78,-10.94,-11.72,769,0.341964866623292,0,15,87.8,4.38,1.26,0.00,0.39,0.00,14.22,5.08,-9.14,-8.90,0.25,1,8,0,0,0,0.00,0,0,2.30,1.47552,0,179.6
18,0.76,14.13,14.24,14.36,31,-0.78,-10.94,-11.72,779,0.33757225433526,0,13.5,87.8,4.38,1.26,0.00,0.39,0.00,14.22,5.08,-9.14,-8.90,0.25,1,8,0,0,0,0.00,0,0,2.30,1.49472,0,179.6
19,0.8,14.30,14.24,14.36,31,-0.78,-10.94,-11.72,782,0.336168851934762,0,13,87.8,4.38,1.26,0.00,0.39,0.00,14.22,5.08,-9.14,-8.90,0.25,1,8,0,0,0,0.00,0,0,2.30,1.50096,0,179.6
20,0.84,14.30,14.24,14.36,31,-0.78,-10.94,-11.72,789,0.333291058972733,0,12.5,87.8,4.38,1.26,0.00,0.39,0.00,14.22,5.08,-9.14,-8.90,0.25,1,8,0,0,0,0.00,0,0,2.30,1.51392,0,179.6
21,0.88,14.38,14.36,14.36,31,-0.78,-10.94,-11.72,771,0.341077222582739,0,14.5,87.8,4.38,1.26,0.00,0.39,0.00,14.22,5.08,-9.14,-8.90,0.25,1,8,0,0,0,0.00,0,0,2.30,1.47936,0,179.6
22,0.92,14.26,14.36,14.37,31,-0.78,-10.94,-11.72,784,0.335204081632653,0,13.5,87.8,4.38,1.26,0.00,0.39,0.00,14.22,5.08,-9.14,-8.90,0.25,1,8,0,0,0,0.00,0,0,2.30,1.50528,0,179.6
23,0.96,14.30,14.36,14.37,31,-0.78,-10.94,-11.72,800,0.330103157236636,0,11.5,87.8,4.4,1.26,0.00,0.39,0.00,14.22,5.08,-9.14,-8.90,0.25,1,8,0,0,0,0.00,0,0,2.30,1.53552,0,179.6
24,1,14.26,14.36,14.37,31,-0.78,-10.94,-11.72,796,0.330150753768844,0,11.5,87.8,4.38,1.28,0.00,0.39,0.00,14.22,5.08,-9.14,-8.90,0.25,1,8,0,0,0,0.00,0,0,2.30,1.52832,0,179.6
25,1.04,14.13,14.36,14.37,31,-0.78,-10.94,-11.72,793,0.33139974779319,0,12,87.8,4.38,1.28,0.00,0.39,0.00,14.22,5.08,-9.14,-8.90,0.25,1,8,0,0,0,0.00,0,0,2.30,1.52256,0,179.6
26,1.08,14.34,14.36,14.37,31,-0.78,-10.94,-11.72,787,0.334138588684043,0,12.5,87.8,4.38,1.28,0.00,0.39,0.00,14.22,5.08,-9.14,-8.90,0.25,1,8,0,0,0,0.00,0,0,2.30,1.51008,0,179.6
27,1.12,14.38,14.36,14.37,31,-0.78,-10.94,-11.72,798,0.329426512065183,0,11.5,87.8,4.38,1.28,0.00,0.39,0.00,14.22,5.08,-9.14,-8.90,0.25,1,8,0,0,0,0.00,0,0,2.30,1.53168,0,179.6
28,1.16,14.30,14.36,14.37,31,-0.78,-10.94,-11.72,796,0.330047095761381,0,11.5,87.8,4.38,1.28,0.00,0.39,0.00,14.22,5.08,-9.14,-8.90,0.25,1,8,0,0,0,0.00,0,0,2.30,1.5288,0,179.6
29,1.2,14.38,14.36,14.37,31,-0.78,-10.94,-11.72,810,0.324644842495368,0,10.5,87.8,4.38,1.28,0.00,0.39,0.00,14.22,5.08,-9.14,-8.90,0.25,1,8,0,0,0,0.00,0,0,2.30,1.55424,0,179.6
30,1.24,14.38,14.36,14.37,31,-0.78,-10.94,-11.72,812,0.323844731977819,0,10.5,87.8,4.38,1.28,0.00,0.39,0.00,14.22,5.08,-9.14,-8.89,0.26,1,8,0,0,0,0.00,0,0,2.05,1.38496,0,179.6
31,1.28,14.38,14.36,14.37,31,-0.78,-10.94,-11.72,815,0.322552930346732,0,10,87.8,4.38,1.28,0.00,0.39,0.00,14.22,5.08,-9.14,-8.88,0.26,1,8,0,0,0,0.00,0,0,2.05,1.39050666666667,0,179.6
32,1.32,14.38,14.36,14.37,31,-0.78,-10.94,-11.72,803,0.327170868347339,0,11,87.8,4.38,1.26,0.00,0.39,0.00,14.22,5.08,-9.14,-8.88,0.26,1,8,0,0,0,0.00,0,0,2.05,1.37088,0,179.6
33,1.36,14.38,14.36,14.36,31,-0.78,-10.94,-11.72,807,0.325549705791267,0,11,87.8,4.38,1.26,0.00,0.39,0.00,14.22,5.08,-9.14,-8.89,0.25,1,8,0,0,0,0.00,0,0,2.05,1.37770666666667,0,179.6
34,1.4,14.34,14.36,14.36,31,-0.78,-10.94,-11.72,806,0.32605459057072,0,11,87.8,4.38,1.26,0.00,0.39,0.00,14.22,5.08,-9.14,-8.89,0.25,1,8,0,0,0,0.00,0,0,2.05,1.37557333333333,0,179.6
35,1.44,14.85,14.36,14.36,31,-0.78,-10.94,-11.72,820,0.319024390243902,0,9.5,87.8,4.36,1.26,0.00,0.39,0.00,14.22,5.08,-9.14,-8.89,0.25,1,8,0,0,0,0.00,0,0,2.05,1.39946666666667,0,179.6
36,1.48,14.80,14.36,14.36,31,-0.78,-10.94,-11.72,817,0.320391916717698,0,10,87.8,4.36,1.26,0.00,0.39,0.00,14.22,5.08,-9.14,-8.88,0.26,1,8,0,0,0,0.00,0,0,2.05,1.39349333333333,0,179.6
37,1.52,14.72,14.36,14.36,31,-0.78,-10.94,-11.72,817,0.320097889262772,0,10,87.8,4.36,1.26,0.00,0.39,0.00,14.22,5.08,-9.14,-8.88,0.26,1,8,0,0,0,0.00,0,0,2.05,1.39477333333333,0,179.6
38,1.56,14.59,14.36,14.36,31,-0.78,-10.94,-11.72,823,0.317861482381531,0,9.5,87.8,4.36,1.28,0.00,0.39,0.00,14.22,5.08,-9.14,-8.88,0.26,1,8,0,0,0,0.00,0,0,2.05,1.40458666666667,0,179.6
39,1.6,14.80,14.36,14.36,31,-0.78,-10.94,-11.72,815,0.320245398773006,0,10.5,87.8,4.35,1.28,0.00,0.39,0.00,14.22,4.93,-9.29,-8.87,0.41,1,8,0,0,0,0.00,0,0,2.05,1.39093333333333,0,179.6
40,1.64,14.85,14.36,14.36,31,-0.78,-10.94,-11.72,814,0.321277249002149,0,10.5,87.8,4.36,1.28,0.00,0.39,0.00,14.22,4.93,-9.29,-8.87,0.41,1,8,0,0,0,0.00,0,0,2.05,1.38965333333333,0,179.6
41,1.68,14.80,14.36,14.35,31,-0.78,-10.94,-11.72,809,0.322620519159456,0,11,87.8,4.35,1.28,0.00,0.39,0.00,14.22,4.93,-9.29,-8.88,0.41,1,8,0,0,0,0.00,0,0,2.05,1.38069333333333,0,179.6
42,1.72,14.80,14.36,14.35,31,-0.78,-10.94,-11.72,815,0.320981595092025,0,10.5,87.8,4.36,1.28,0.00,0.39,0.00,14.22,4.93,-9.29,-8.88,0.41,1,8,0,0,0,0.00,0,0,2.05,1.39093333333333,0,179.6
43,1.76,14.80,14.36,14.35,31,-0.78,-10.94,-11.72,799,0.326556146387238,0,12,87.8,4.35,1.26,0.00,0.39,0.00,14.22,4.93,-9.29,-8.88,0.41,1,8,0,0,0,0.00,0,0,2.05,1.36405333333333,0,179.6
