sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,correction,RPM,load,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,mrp,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,IDC,KNOCK_FLAG,ECT
0,3.8,10.17,14.70,7.58,255,0.00,-12.50,,178,1.08354430379747,0,28.5,66.2,3.21,1.26,0.00,10.59,0.00,14.07,13.92,-0.15,-8.76,1,7,0,0,0,0.00,0,0,23.55,3.48864,0,69.8
1,3.84,10.17,14.70,7.58,255,0.00,-12.50,,178,1.08354430379747,0,28.5,66.2,3.21,1.26,0.00,10.59,0.00,14.07,13.92,-0.15,-8.76,1,7,0,0,0,0.00,0,0,23.55,3.48864,0,69.8
2,3.88,10.17,14.70,7.58,255,0.00,-12.50,,178,1.08354430379747,0,28.5,66.2,3.21,1.16,0.00,10.59,0.00,14.07,13.92,-0.15,-8.76,1,7,0,0,0,0.00,0,0,23.55,3.48864,0,69.8
3,3.92,10.17,14.70,7.58,255,0.00,-12.50,,178,1.08354430379747,0,28.5,66.2,3.21,1.18,0.00,10.59,0.00,14.07,13.92,-0.15,-8.76,1,7,0,0,0,0.00,0,0,23.55,3.48864,0,69.8
4,3.96,10.17,14.70,7.58,255,0.00,-12.50,,197,1.10534351145038,0,28.5,66.2,3.62,1.28,0.00,10.59,0.00,14.07,13.78,-0.30,-8.76,1,7,0,0,0,0.00,0,0,23.30,3.81472,0,69.8
5,4,10.17,14.70,7.59,255,0.00,-12.50,,197,1.10534351145038,0,28.5,66.2,3.62,1.26,0.00,10.59,0.00,14.07,13.78,-0.30,-8.76,1,7,0,0,0,0.00,0,0,23.30,3.81472,0,69.8
6,4.04,10.17,14.70,7.59,255,0.00,-12.50,,398,0.660301507537689,0,28.5,68,4.38,1.3,0.00,10.59,0.00,14.07,13.05,-1.02,-8.76,1,7,0,0,0,0.00,0,0,18.18,6.02837333333333,0,69.8
7,4.08,10.17,14.70,7.59,255,0.00,-12.50,,624,0.476732078494193,0,28.5,68,4.96,1.38,0.00,10.59,0.00,14.07,12.91,-1.17,-8.76,1,7,0,0,0,0.00,0,0,18.18,9.45530666666667,0,69.8
8,4.12,22.51,14.70,7.59,255,0.00,-12.50,,821,0.447259439707674,0,28.5,68,6.12,1.48,0.00,10.59,0.00,14.07,12.04,-2.04,-8.76,1,7,0,0,0,0.00,0,0,14.08,9.63306666666667,0,69.8
9,4.16,22.43,14.70,7.59,255,0.00,-12.50,,949,0.454071146245059,0,28.5,68,7.18,1.56,0.00,10.59,0.00,14.07,11.60,-2.47,-8.74,1,7,0,0,0,0.00,0,0,12.54,9.9176,0,69.8
