sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,correction,RPM,load,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,mrp,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,IDC,KNOCK_FLAG,ECT
0,7.68,10.17,14.70,7.44,255,0.00,0.00,,161,0.838509316770186,0,28,64.4,2.25,1.18,0.00,9.80,0.00,14.36,14.07,-0.30,-8.97,1,7,0,0,0,0.00,0,0,25.86,3.46901333333333,0,66.2
1,7.72,10.17,14.70,7.44,255,0.00,0.00,,161,0.838509316770186,0,28,64.4,2.25,1.08,0.00,9.80,0.00,14.36,14.07,-0.30,-8.97,1,7,0,0,0,0.00,0,0,25.86,3.46901333333333,0,66.2
2,7.76,10.17,14.70,7.44,255,0.00,0.00,,161,0.838509316770186,0,28,64.4,2.25,1.04,0.00,9.80,0.00,14.36,14.07,-0.30,-8.97,1,7,0,0,0,0.00,0,0,25.86,3.46901333333333,0,66.2
3,7.8,10.17,14.70,7.44,255,0.00,0.00,,161,0.838509316770186,0,28,64.4,2.25,1.14,0.00,9.80,0.00,14.36,14.07,-0.30,-8.97,1,7,0,0,0,0.00,0,0,25.86,3.46901333333333,0,66.2
4,7.84,10.17,14.70,7.44,255,0.00,0.00,,180,0.862135922330097,0,28,64.4,2.59,1.22,0.00,9.80,0.00,14.36,14.07,-0.30,-8.97,1,7,0,0,0,0.00,0,0,25.86,3.88378666666667,0,66.2
5,7.88,10.17,14.70,7.44,255,0.00,0.00,,180,0.862135922330097,0,28,64.4,2.59,1.14,0.00,9.80,0.00,14.36,14.07,-0.30,-8.97,1,7,0,0,0,0.00,0,0,25.86,3.88378666666667,0,66.2
6,7.92,10.17,14.70,7.44,255,0.00,0.00,,399,0.472476489028213,0,28,64.4,3.14,1.2,0.00,9.80,0.00,14.36,13.20,-1.17,-8.97,1,7,0,0,0,0.00,0,0,19.97,6.6352,0,66.2
7,7.96,10.17,14.70,7.44,255,0.00,0.00,,1036,0.243301955104996,0,28,64.4,4.2,1.3,0.00,9.80,0.00,14.36,11.89,-2.47,-8.97,1,7,0,0,0,0.00,0,0,19.97,17.23488,0,66.2
8,8,10.17,14.70,7.44,255,0.00,0.00,,1233,0.243795620437956,0,28.5,64.4,5.01,1.42,0.00,9.80,0.00,14.36,11.17,-3.20,-8.97,1,7,0,0,0,0.00,0,0,13.57,13.94112,0,66.2
9,8.04,10.17,14.70,7.44,255,0.00,0.00,,1525,0.254640865857658,0,27.5,64.4,6.47,1.48,0.00,9.80,0.00,14.36,10.15,-4.21,-8.61,1,7,0,0,0,0.00,0,0,10.75,13.65952,0,66.2
10,8.08,10.17,14.70,7.44,255,0.00,0.00,,1828,0.253789329685363,0,23.5,64.4,7.73,1.54,0.00,9.80,0.00,14.36,8.70,-5.66,-8.96,1,7,0,0,1,0.00,0,0,7.42,11.3061333333333,0,66.2
11,8.12,10.17,14.70,7.44,255,0.00,0.00,,1955,0.253843202455557,0,23,64.4,8.27,1.58,0.00,9.80,0.00,14.36,7.98,-6.39,-8.96,1,7,0,0,2,0.00,0,0,5.89,9.59130666666667,0,66.2
12,8.16,10.17,14.70,7.45,255,0.00,0.00,,2076,0.271354605659241,0,22.5,64.4,9.39,1.62,0.00,9.80,0.00,14.36,7.11,-7.26,-9.58,1,7,0,0,2,0.00,0,0,4.35,7.52986666666667,0,66.2
13,8.2,21.50,14.70,7.45,255,0.00,0.00,,2190,0.266331773033451,0,22,64.4,9.72,1.62,0.00,10.20,0.00,14.36,6.67,-7.69,-9.59,1,7,0,0,3,0.00,0,0,3.58,6.54005333333333,0,66.2
14,8.24,21.50,14.70,7.45,255,0.00,0.00,,2255,0.268529607451763,0,21.5,64.4,10.09,1.66,0.00,10.59,0.00,14.36,6.09,-8.27,-9.59,1,7,0,0,3,0.00,0,0,3.58,6.73344,0,66.2
15,8.28,21.29,14.70,7.46,255,0.00,0.00,,2313,0.27234410461472,0,24.5,64.4,10.5,1.66,0.00,10.59,0.00,14.36,5.80,-8.56,-9.59,1,7,0,0,3,0.00,0,0,3.58,6.90890666666667,0,66.2
16,8.32,21.46,14.70,7.46,255,0.00,0.00,,2336,0.271489726027397,0,22.5,64.4,10.57,1.66,0.00,10.59,0.00,14.36,5.37,-9.00,-9.59,1,7,0,0,3,0.00,0,0,3.58,6.97685333333333,0,66.2
