sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,RPM,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,KNOCK_FLAG,ECT
0,167378.880,10.17,14.7,11.052,255,0,.78125,183,0,13.5,113,2.33,1.16,0,6.66667,0,14.5098,13.92,-9.14531,1,7,0,0,0,0,0,0,1.28,0,177.8
1,167378.920,10.17,14.7,7.61589,255,0,.78125,183,0,13.5,113,2.33,1.2,0,6.66667,0,14.5098,13.92,-9.14531,1,7,0,0,0,0,0,0,1.28,0,177.8
2,167378.960,10.17,14.7,7.61589,255,0,.78125,183,0,13.5,113,2.33,1.08,0,6.66667,0,14.5098,13.92,-9.14531,1,7,0,0,0,0,0,0,1.28,0,177.8
3,167379.000,10.17,14.7,7.61589,255,0,.78125,183,0,13.5,113,2.33,1.1,0,6.66667,0,14.5098,13.92,-9.14531,1,7,0,0,0,0,0,0,1.28,0,177.8
4,167379.040,10.17,14.7,7.61589,255,0,.78125,189.75,0,13.5,113,2.55,1.2,0,6.66667,0,14.5098,13.775,-9.14531,1,7,0,0,0,0,0,0,6.144,0,177.8
5,167379.080,10.17,14.7,7.61589,255,0,.78125,189.75,0,13.5,113,2.55,1.22,0,6.66667,0,14.5098,13.775,-9.14531,1,7,0,0,0,0,0,0,5.888,0,177.8
6,167379.120,22.5147,14.7,7.61589,255,0,.78125,390.5,0,13.5,113,3.16,1.18,0,6.66667,0,14.5098,13.34,-9.14531,1,7,0,0,0,0,0,0,5.632,0,177.8
7,167379.160,22.6404,14.7,7.61589,255,0,.78125,701.25,0,20.5,113,2.95,1.22,0,6.66667,0,14.5098,12.47,-9.14531,1,7,0,0,0,0,0,0,5.376,0,177.8
8,167379.200,22.4722,14.7,7.61589,255,0,.78125,924.5,0,18.5,113,3.42,1.28,0,6.66667,0,14.5098,11.89,-9.14531,1,7,0,0,0,0,0,0,4.608,0,177.8
9,167379.240,22.7661,14.7,7.70161,255,0,.78125,1254,0,17.5,113,4.34,1.32,0,6.66667,0,14.5098,10.585,-9.14531,1,7,0,0,0,0,0,0,3.84,0,177.8
10,167379.280,22.7661,14.7,7.70161,255,0,.78125,1475.75,0,17.5,114.8,5.19,1.36,0,6.66667,0,14.5098,9.57,-8.77791,1,7,0,0,0,0,0,0,3.584,0,177.8
11,167379.320,22.5147,14.7,7.70358,255,0,.78125,1621.5,0,17.5,114.8,5.62,1.4,0,6.66667,0,14.5098,8.555,-8.77791,1,7,0,0,0,0,0,0,3.328,0,177.8
12,167379.360,22.5553,14.7,7.70358,255,0,.78125,1728,0,17.5,114.8,5.92,1.42,0,6.66667,0,14.5098,7.975,-8.77791,1,7,0,0,0,0,0,0,3.072,0,177.8
13,167379.400,22.683,14.7,7.70555,255,0,.78125,1820.5,0,17.5,114.8,6.07,1.44,0,6.66667,0,14.5098,7.395,-9.09321,1,7,0,0,0,0,0,0,3.072,0,177.8
14,167379.440,22.683,14.7,7.70753,255,0,.78125,1913,0,17.5,114.8,6.18,1.44,0,6.66667,0,14.5098,6.815,-9.45793,1,7,0,0,0,0,0,0,3.072,0,177.8
15,167379.480,22.3871,14.7,7.70753,255,0,.78125,1958.5,0,17.5,114.8,6.25,1.44,0,6.66667,0,14.5098,6.38,-9.45793,1,7,0,0,0,0,0,0,2.816,0,177.8
16,167379.520,22.6404,14.7,7.91836,255,0,.78125,1992.5,0,16.5,114.8,6.33,1.44,0,6.66667,0,14.5098,5.8,-9.7372,1,7,0,0,0,0,0,0,2.816,0,177.8
17,167379.560,22.5979,14.7,7.91836,255,0,.78125,2036,0,15.5,114.8,6.33,1.44,0,6.66667,0,14.5098,5.365,-9.7372,1,7,0,0,1,0,0,0,2.56,0,177.8
18,167379.600,22.2614,14.7,8.30958,255,0,.78125,2042.5,0,14.5,114.8,6.33,1.44,0,6.66667,0,14.5098,5.075,-9.76409,1,7,0,0,1,0,0,0,2.56,0,177.8
19,167379.640,22.5979,14.7,8.65601,255,0,.78125,2041.75,0,13.5,114.8,6.37,1.44,0,6.66667,0,14.5098,4.785,-9.76409,1,7,0,0,1,0,0,0,2.56,0,177.8
20,167379.680,22.683,14.7,8.65601,255,0,-1.5625,2042,0,12.5,114.8,6.4,1.46,0,6.66667,0,14.5098,4.495,-9.76409,1,7,0,0,1,0,0,0,2.304,0,177.8
