sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,RPM,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,KNOCK_FLAG,ECT
0,28069.280,10.17,14.7,14.2884,255,0,-4.6875,188,0,13,96.8,2.05,1.12,0,5.09804,0,14.2196,13.63,-8.92721,1,7,0,0,0,0,0,0,1.28,0,172.4
1,28069.320,10.17,14.7,14.2884,255,0,-4.6875,188,0,13,96.8,2.05,1.16,0,5.09804,0,14.2196,13.63,-8.92721,1,7,0,0,0,0,0,0,1.28,0,172.4
2,28069.360,10.17,14.7,9.92274,255,0,-4.6875,188,0,13,96.8,2.05,1.04,0,5.09804,0,14.2196,13.63,-8.92721,1,7,0,0,0,0,0,0,1.28,0,172.4
3,28069.400,10.17,14.7,9.92274,255,0,-4.6875,188,0,13,96.8,2.05,1.08,0,5.09804,0,14.2196,13.63,-8.92721,1,7,0,0,0,0,0,0,1.28,0,172.4
4,28069.440,10.17,14.7,9.92274,255,0,-4.6875,200.5,0,13,96.8,2.2,1.18,0,5.09804,0,14.2196,13.485,-8.92721,1,7,0,0,0,0,0,0,6.4,0,172.4
5,28069.480,10.17,14.7,9.92274,255,0,-4.6875,200.5,0,13,96.8,2.2,1.14,0,5.09804,0,14.2196,13.485,-8.92721,1,7,0,0,0,0,0,0,6.4,0,172.4
6,28069.520,10.17,14.7,9.92274,255,0,-4.6875,410,0,13,96.8,2.64,1.14,0,5.4902,0,14.2196,13.05,-8.92721,1,7,0,0,0,0,0,0,5.888,0,172.4
7,28069.560,10.17,14.7,9.90642,255,0,-4.6875,719,0,21.5,96.8,2.39,1.16,0,5.4902,0,14.2196,12.18,-8.92721,1,7,0,0,0,0,0,0,5.888,0,168.8
8,28069.600,10.17,14.7,9.9424,255,0,-4.6875,1098,0,19,96.8,2.91,1.18,0,5.4902,0,14.2196,10.875,-8.81211,1,7,0,0,0,0,0,0,4.352,0,168.8
9,28069.640,10.17,14.7,9.9424,255,0,-4.6875,1358.25,0,19,96.8,3.6,1.24,0,5.4902,0,14.2196,9.715,-8.81211,1,7,0,0,0,0,0,0,4.096,0,168.8
10,28069.680,21.5032,14.7,10.0452,255,0,-4.6875,1537.75,0,19,96.8,3.89,1.28,0,5.4902,0,14.2196,8.7,-8.55981,1,7,0,0,0,0,0,0,3.328,0,168.8
11,28069.720,21.5032,14.7,10.0486,255,0,-4.6875,1679.75,0,19,96.8,4.29,1.3,0,5.4902,0,14.2196,7.975,-8.56692,1,7,0,0,0,0,0,0,2.56,0,168.8
12,28069.760,21.4181,14.7,10.0486,255,0,-4.6875,1756.5,0,19,96.8,4.56,1.32,0,5.09804,0,14.2196,7.25,-8.56692,1,7,0,0,0,0,0,0,2.304,0,168.8
13,28069.800,21.3756,14.7,10.052,255,0,-4.6875,1796.25,0,19,96.8,4.69,1.32,0,5.09804,0,14.2196,6.525,-8.97331,1,7,0,0,0,0,0,0,2.048,0,168.8
14,28069.840,21.5032,14.7,10.052,255,0,-4.6875,1783.5,0,18.5,96.8,4.81,1.34,0,5.09804,0,14.2196,6.09,-8.97331,1,7,0,0,0,0,0,0,2.048,0,168.8
15,28069.880,21.5439,14.7,10.0553,255,0,-4.6875,1733,0,18,96.8,4.97,1.34,0,5.09804,0,14.2196,5.8,-9.01218,1,7,0,0,0,0,0,0,2.048,0,168.8
16,28069.920,21.5032,14.7,10.5412,255,0,-4.6875,1695,0,17.5,96.8,5.09,1.36,0,5.09804,0,14.2196,5.365,-8.81225,1,7,0,0,0,0,0,0,2.048,0,168.8
17,28069.960,21.4607,14.7,10.5412,255,0,-4.6875,1649.5,0,16.5,96.8,5.21,1.36,0,5.09804,0,14.2196,5.075,-8.81225,1,7,0,0,0,0,0,0,2.048,0,168.8
18,28070.000,21.3756,14.7,10.7635,255,0,-4.6875,1612,0,15.5,96.8,5.21,1.36,0,5.09804,0,14.2196,4.93,-8.68158,1,7,0,0,1,0,0,0,1.792,0,168.8
19,28070.040,21.4181,14.7,11.1626,255,0,-4.6875,1559.5,0,15,96.8,5.29,1.36,0,5.09804,0,14.2196,4.785,-8.55981,1,7,0,0,1,0,0,0,1.792,0,168.8
20,28070.080,21.3756,14.7,11.1626,255,0,-4.6875,1514,0,14,96.8,5.29,1.36,0,5.09804,0,14.2196,4.64,-8.55981,1,7,0,0,1,0,0,0,2.048,0,168.8
