sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,RPM,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,KNOCK_FLAG,ECT
0,13725.560,10.17,14.7,7.61589,255,0,-1.5625,181.5,0,13.5,129.2,2.25,1.2,0,6.27451,0,14.3647,13.775,-9.03626,1,7,0,0,0,0,0,0,5.888,0,177.8
1,13725.600,10.17,14.7,7.61589,255,0,-1.5625,181.5,0,13.5,129.2,2.25,1.14,0,6.27451,0,14.3647,13.775,-9.03626,1,7,0,0,0,0,0,0,5.888,0,177.8
2,13725.640,10.17,14.7,7.61589,255,0,-1.5625,181.5,0,13.5,129.2,2.25,1.08,0,6.27451,0,14.3647,13.775,-9.03626,1,7,0,0,0,0,0,0,5.888,0,177.8
3,13725.680,10.17,14.7,7.61589,255,0,-1.5625,181.5,0,13.5,129.2,2.25,1.16,0,6.27451,0,14.3647,13.775,-9.03626,1,7,0,0,0,0,0,0,5.888,0,177.8
4,13725.720,10.17,14.7,7.61589,255,0,-1.5625,198.5,0,13.5,129.2,2.56,1.24,0,6.27451,0,14.3647,13.63,-9.03626,1,7,0,0,0,0,0,0,5.888,0,177.8
5,13725.760,10.17,14.7,7.61589,255,0,-1.5625,405,0,13.5,129.2,3.17,1.18,0,6.27451,0,14.3647,13.05,-9.03626,1,7,0,0,0,0,0,0,5.888,0,177.8
6,13725.800,10.17,14.7,7.61589,255,0,-1.5625,405,0,13.5,129.2,3.17,1.18,0,6.66667,0,14.3647,13.05,-9.03626,1,7,0,0,0,0,0,0,5.888,0,177.8
7,13725.840,10.17,14.7,7.61589,255,0,-1.5625,908.5,0,18,129.2,3.3,1.24,0,6.66667,0,14.3647,11.745,-9.03626,1,7,0,0,0,0,0,0,4.608,0,177.8
8,13725.880,10.17,14.7,7.63714,255,0,-1.5625,1090.75,0,17.5,129.2,3.77,1.3,0,6.66667,0,14.3647,10.875,-8.93658,1,7,0,0,0,0,0,0,4.096,0,177.8
9,13725.920,22.7661,14.7,7.63714,255,0,-1.5625,1366.25,0,12,129.2,4.41,1.32,0,6.66667,0,14.3647,9.86,-8.93658,1,7,0,0,0,0,0,0,3.584,0,177.8
10,13725.960,22.6404,14.7,7.70161,255,0,-1.5625,1514,0,17.5,129.2,5.17,1.38,0,6.66667,0,14.3647,8.845,-8.66886,1,7,0,0,0,0,0,0,3.328,0,177.8
11,13726.000,22.8087,14.7,7.70555,255,0,-1.5625,1644.25,0,17.5,129.2,5.52,1.4,0,6.66667,0,14.3647,8.12,-8.66886,1,7,0,0,0,0,0,0,3.328,0,177.8
12,13726.040,22.5979,14.7,7.70555,255,0,-1.5625,1722.75,0,17.5,129.2,5.85,1.42,0,6.66667,0,14.3647,7.105,-8.66886,1,7,0,0,0,0,0,0,3.072,0,177.8
13,13726.080,22.5147,14.7,7.70753,255,0,-1.5625,1778.75,0,17.5,129.2,5.92,1.42,0,6.66667,0,14.3647,6.96,-8.97119,1,7,0,0,0,0,0,0,3.072,0,177.8
14,13726.120,22.5147,14.7,7.7095,255,0,-1.5625,1810.5,0,17.5,129.2,6.03,1.44,0,6.66667,0,14.3647,6.38,-9.1879,1,7,0,0,0,0,0,0,3.072,0,177.8
15,13726.160,22.7661,14.7,7.7095,255,0,-1.5625,1866.5,0,16.5,129.2,6.14,1.44,0,6.66667,0,14.3647,5.8,-9.1879,1,7,0,0,0,0,0,0,3.072,0,177.8
16,13726.200,22.683,14.7,8.12129,255,0,-1.5625,1887.5,0,15.5,129.2,6.18,1.44,0,6.66667,0,14.3647,5.51,-9.32543,1,7,0,0,0,0,0,0,2.816,0,177.8
17,13726.240,22.683,14.7,8.49002,255,0,-1.5625,1885,0,14.5,129.2,6.11,1.42,0,6.66667,0,14.3647,5.075,-9.37162,1,7,0,0,0,0,0,0,2.56,0,177.8
18,13726.280,22.683,14.7,8.49002,255,0,-1.5625,1886.75,0,14,129.2,6.11,1.44,0,6.66667,0,14.3647,4.93,-9.37162,1,7,0,0,0,0,0,0,2.56,0,177.8
