sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,correction,RPM,load,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,mrp,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,IDC,KNOCK_FLAG,ECT,src,seam
156692,31258.32,11.3478,11.1398,14.2748,31,-12.5,0,-25.7935458855461,2879.75,0.109384495181873,73.3218,21.5,78.8,5.25,1.38,7.45098,6.27451,54.3067,14.3647,3.625,-10.7397,-9.36,1,10,0,0,2,0,0,0,1.536,3.68608,0,177.8,log0014.csv,
156693,31258.36,11.6863,11.4844,14.2748,31,-12.5,0,-22.1498677939126,2822.5,0.151780336581045,73.3218,22.5,78.8,7.14,1.66,27.8431,16.0784,271.252,14.3647,3.625,-10.7397,1.36515,1,10,0,0,2,74.902,0,0,1.536,3.6128,0,177.8,log0014.csv,
156694,31258.4,12.7809,11.8289,14.2748,31,-12.5,0,-11.6885352361727,2747.25,0.805023205023205,72.7004,23,78.8,36.86,2.58,50.1961,32.9412,310.61,14.3647,7.54,-6.8247,1.36515,1,10,0,0,4,74.902,0,0,2.56,5.8608,0,177.8,log0014.csv,
156695,31258.44,13.6667,12.1734,8.69099,31,-4.6875,0,36.4075453474504,2811.25,1.80538906180525,72.7004,23,78.8,84.59,3.04,67.0588,44.3137,320.398,14.3647,13.195,-1.1697,13.8262,1,10,0,0,6,80,0,15.3137,4.608,10.7952,0,177.8,log0014.csv,
156696,31258.48,14.0457,12.518,11.2967,31,-4.6875,0,19.5718262528745,2767,1.80346946151066,72.7004,18.5,78.8,83.17,2.9,66.6667,51.3725,319.271,14.3647,15.66,1.2953,15.1394,1,10,0,0,9,80,0,15.3137,6.656,15.3476266666667,0,177.8,log0014.csv,
156697,31258.52,16.4458,12.8625,11.2967,31,0,0,31.3095136752241,2785.5,1.54464189553043,72.7004,18,78.8,71.71,2.8,44.7059,49.4118,307.662,14.3647,15.805,1.4403,15.1394,1,10,0,0,12,80,0,15.3137,7.936,18.42144,0,177.8,log0014.csv,
156698,31258.56,19.9019,13.207,12.238,31,0,0,38.5083836216643,3132.25,1.28399712666613,72.7004,17,78.8,67.03,2.78,10.9804,37.2549,91.1896,14.3647,15.805,1.4403,11.9012,1,10,0,0,13,74.1176,0,0,8.448,22.05104,0,177.8,log0014.csv,
156699,31258.6,16.5735,13.6664,13.3093,31,0,0,19.6952967086011,3482.5,0.838190954773869,72.7004,18,78.8,48.65,2.44,0,16.0784,0,14.3647,13.775,-0.589699999999999,-8.74402,1,10,0,0,13,0,0,0,7.68,22.288,0,177.8,log0014.csv,
156700,31258.64,11.812,14.0109,13.3093,31,0,0,-12.6760921097189,3746.25,0.367247247247247,72.7004,0.5,78.8,22.93,2.28,0,9.01961,0,14.3647,9.425,-4.9397,-8.74402,1,10,0,0,14,0,0,0,5.632,17.5824,0,177.8,log0014.csv,
156701,31258.68,10.7579,13.7813,16.0136,31,0,0,-48.8543303061007,3925.25,0.39620406343545,72.7004,21,78.8,25.92,2.2,22.7451,12.1569,215.563,14.3647,6.815,-7.5497,-4.96541,1,10,0,0,13,70.5882,0,0,4.352,14.2355733333333,0,177.8,log0014.csv,
156702,31258.72,10.17,13.4367,16.0136,31,-0.78125,0,-57.4591937069813,4090,0.622738386308068,72.0791,12,78.8,42.45,2.62,43.1373,31.3725,305.051,14.3647,6.96,-7.4047,-4.96541,1,10,0,0,11,70.5882,0,0,4.608,15.7056,0,177.8,log0014.csv,
156703,31258.76,10.9281,12.9773,9.25188,31,0,0,15.3386224503802,4547.75,1.45219064372492,72.0791,10,78.8,110.07,3.18,44.7059,43.9216,305.154,14.3647,12.76,-1.6047,17.9251,1,10,0,0,11,69.8039,0,15.3137,6.4,24.2546666666667,0,177.8,log0014.csv,
156704,31258.8,12.9085,12.6328,12.6601,31,0,0,1.92431343688267,4713.75,1.59503579952267,72.0791,9.5,78.8,125.31,3.26,43.1373,46.2745,302.117,14.3647,14.065,-0.2997,17.8527,1,10,0,0,12,69.8039,0,15.3137,7.68,30.168,0,177.8,log0014.csv,
156705,31258.84,15.0572,12.518,12.6601,31,0,0,15.919958558032,4571,1.68225771166047,72.0791,20.5,78.8,128.16,3.3,40,44.7059,295.647,14.3647,14.79,0.4253,17.8527,1,10,0,0,12,69.8039,0,15.3137,8.448,32.17984,0,177.8,log0014.csv,
156706,31258.88,13.8775,12.8625,12.544,31,0,0,9.60907944514501,4471.75,1.71959523676413,72.7004,20,78.8,128.16,3.28,38.8235,42.3529,294.581,14.3647,15.225,0.860300000000001,17.2884,1,10,0,0,11,69.8039,0,15.3137,9.216,34.34304,0,177.8,log0014.csv,
156707,31258.92,13.0343,13.207,12.492,31,0,0,4.16056098141058,4436.5,1.73325819903077,72.7004,19.5,78.8,128.16,3.28,40.3922,42.3529,297.631,14.3647,15.515,1.1503,17.5906,1,10,0,0,10,69.8039,0,15.3137,9.728,35.9652266666667,0,177.8,log0014.csv,
156708,31258.96,12.9917,12.8625,12.492,31,0,0,3.84630186965523,4523.25,1.73928038467916,72.7004,19.5,78.8,131.12,3.32,42.7451,44.3137,301.646,14.3647,16.095,1.7303,17.5906,1,10,0,0,11,69.8039,0,15.3137,10.24,38.5984,0,177.8,log0014.csv,
156709,31259,12.3187,12.518,12.248,31,0,0,0.573924196546716,4524.75,1.81455329023703,72.7004,19.5,78.8,136.84,3.4,45.4902,47.0588,304.923,14.3647,16.82,2.4553,17.8748,1,10,0,0,11,69.8039,0,15.3137,10.496,39.57648,0,177.8,log0014.csv,
156710,31259.04,11.5586,12.1734,12.248,31,0,0,-5.96439015105634,4476,1.9739946380697,73.3218,18.5,78.8,147.26,3.44,47.451,48.6275,306.044,14.3647,17.835,3.4703,17.8748,1,10,0,0,11,69.8039,0,15.3137,11.008,41.05984,0,177.8,log0014.csv,
156711,31259.08,12.2761,11.8289,12.0278,31,0,0,2.02262933667859,4529.5,2.07307649850977,73.3218,18,78.8,156.5,3.5,48.6275,49.4118,306.395,14.3647,18.56,4.1953,17.9195,1,10,0,0,11,69.8039,0,15.3137,11.776,44.4494933333333,0,177.8,log0014.csv,
156712,31259.12,14.3823,11.4844,11.9799,31,0,0,16.7038651676018,4546.25,2.17629914764916,73.3218,17.5,78.8,164.9,3.54,50.9804,50.1961,307.258,14.3647,19.43,5.0653,17.9432,1,10,0,0,12,69.8039,0,15.3137,12.544,47.5234666666667,0,177.8,log0014.csv,
156713,31259.16,12.1079,11.2547,11.9799,31,0,0,1.05716102709801,4513.25,2.27277460809838,73.3218,16.5,78.8,170.96,3.6,54.5098,50.9804,310.161,14.3647,20.3,5.9353,17.9432,1,10,0,0,11,69.8039,0,15.3137,13.312,50.0669866666667,0,177.8,log0014.csv,
156714,31259.2,12.2336,11.1398,11.6643,31,0,0,4.65357703374312,4539,2.30812954395241,73.3218,16,78.8,174.61,3.66,60,52.9412,314.611,14.3647,21.315,6.9503,18.0659,1,10,0,0,11,69.8039,0,15.3137,13.824,52.28928,0,177.8,log0014.csv,
156715,31259.24,12.1079,11.1398,11.3821,31,0,0,5.9944333864667,4593.75,2.35598367346939,73.3218,16,78.8,180.38,3.74,64.7059,56.4706,318.712,14.3647,22.62,8.2553,18.2376,1,10,0,0,11,69.8039,0,15.3137,14.336,54.88,0,177.8,log0014.csv,
156716,31259.28,11.3904,11.1398,11.3821,31,0,0,0.0728683803905006,4588.25,2.6208685228573,73.9432,15.5,78.8,200.42,3.82,67.0588,60,320.822,14.3647,23.78,9.4153,18.2376,1,10,0,0,11,69.8039,0,15.3137,15.616,59.7084266666667,0,177.8,log0014.csv,
156717,31259.32,11.1795,11.1398,11.0156,31,0,0,1.46607630037123,4608.25,2.80805077849509,73.9432,14.5,78.8,215.67,3.88,67.0588,61.5686,321.043,14.3647,25.085,10.7203,18.2905,1,10,0,0,11,69.8039,0,15.3137,16.896,64.88416,0,177.8,log0014.csv,
156718,31259.36,11.5586,11.1398,11.0156,31,0,0,4.69780077171976,4614,2.93966189856957,74.5645,14,78.8,226.06,3.94,67.0588,62.3529,321.025,14.3647,26.39,12.0253,18.2905,1,10,0,0,10,69.8039,0,15.3137,17.92,68.9024,0,177.8,log0014.csv,
156719,31259.4,11.6437,11.1398,10.8022,31,0,0,7.22708417427451,4641.75,3.06931652932622,74.5645,13,78.8,237.45,4,67.0588,62.3529,321.013,14.3647,27.55,13.1853,18.2954,1,10,0,0,10,69.8039,0,13.5586,19.2,74.268,0,177.8,log0014.csv,
156720,31259.44,11.5586,11.1398,10.6155,31,0,0,8.15929264789853,4648.75,3.21415434256521,74.5645,12,78.8,249.03,4.02,67.0588,62.3529,320.97,14.3647,28.855,14.4903,18.2945,1,10,0,0,10,69.8039,0,11.6017,20.224,78.3469333333333,0,177.8,log0014.csv,
156721,31259.48,11.3478,11.1398,10.6155,31,0,0,6.4532332258235,4652.75,3.333641394874,74.5645,11.5,78.8,258.51,4.08,67.0588,62.7451,320.727,14.3647,30.16,15.7953,18.2945,1,10,0,0,10,69.8039,0,11.6017,21.504,83.37728,0,177.8,log0014.csv,
156722,31259.52,11.2646,11.1398,10.4497,31,0,0,7.23416721410436,4661.25,3.50596942880129,75.1859,11,78.8,272.37,4.14,67.0588,62.3529,320.953,14.3647,32.045,17.6803,18.2945,1,10,0,0,9,69.4118,0,8.17227,23.04,89.496,0,177.8,log0014.csv,
156723,31259.56,11.1389,11.1398,10.24,31,0,0,8.06991713723976,4683,3.65727098014094,75.1859,10.5,78.8,285.45,4.18,67.451,62.7451,321.153,14.3647,32.77,18.4053,18.2993,1,10,0,0,9,60.7843,-0.0270852,-0.335356,23.552,91.91168,0,177.8,log0014.csv,
156724,31259.6,10.8005,11.1398,10.24,31,0,0,5.18957455673348,4674,3.73735558408216,75.8073,10,78.8,291.14,4.24,68.2353,63.5294,321.888,14.3647,33.93,19.5653,18.2993,1,10,0,0,9,60.7843,-0.0270852,-0.335356,24.576,95.72352,0,177.8,log0014.csv,
156725,31259.64,10.4214,11.1398,10.0856,31,0,0,3.22221582512907,4696.75,3.83512002980785,75.8073,10,78.8,300.21,4.26,68.6274,63.9216,322.369,14.3647,35.09,20.7253,18.33,1,10,0,0,9,54.1176,-0.316926,-6.8644,25.6,100.197333333333,0,177.8,log0014.csv,
156726,31259.68,10.5065,11.1398,10.0856,31,0,0,4.00609146718699,4741.5,3.7416007592534,76.4287,10,78.8,295.68,4.24,69.0196,64.7059,322.596,14.3647,35.815,21.4503,18.33,1,10,0,0,9,54.1176,-0.316926,-6.8644,26.112,103.17504,0,177.8,log0014.csv,
156727,31259.72,10.17,11.1398,10.0721,31,0,0,0.962635201573248,4741,3.81375237291711,76.4287,10,78.8,301.35,4.26,68.6274,65.098,322.344,14.3647,36.105,21.7403,18.3353,,10,0,0,8,49.8039,-0.895863,-10.6364,26.368,104.175573333333,0,177.8,log0014.csv,
156728,31259.76,10.17,11.1398,10.0992,31,0,0,0.696165191740417,4746.5,3.68026967239018,77.05,10,78.8,291.14,4.22,67.8431,64.7059,321.6,14.3647,36.25,21.8853,18.3171,1,10,0,0,8,48.2353,-1.56215,-11.6832,26.368,104.296426666667,0,177.8,log0014.csv,
156729,31259.8,10.2532,11.1398,10.0992,31,0,0,1.50197011664651,4759.75,3.60548348127528,77.05,10,78.8,286.02,4.2,67.451,63.5294,321.09,14.3647,35.815,21.4503,18.3171,1,10,0,0,7,48.2353,-1.56215,-11.6832,25.6,101.541333333333,0,177.8,log0014.csv,
156730,31259.84,10.5897,11.1398,10.2226,31,0,0,3.46657601254049,4781.75,3.46755894808386,77.05,10,78.8,276.35,4.16,66.6667,62.7451,320.324,14.3647,35.525,21.1603,18.2914,1,10,0,0,7,49.0196,-2.12086,-10.3941,25.088,99.9704533333333,0,177.8,log0014.csv,
156731,31259.88,10.7173,11.1398,10.4461,31,0,0,2.53048808935087,4816.25,3.33645471061511,77.05,10.5,78.8,267.82,4.12,66.2745,62.3529,319.823,14.3647,34.945,20.5803,18.2662,1,10,0,0,7,50.9804,-2.46966,-7.84789,24.064,96.5818666666667,0,177.8,log0014.csv,
156732,31259.92,10.5491,11.1398,10.4461,31,0,0,0.976386611180102,4819.75,3.27776336946937,77.6714,10.5,78.8,263.3,4.12,65.8824,61.9608,319.567,14.3647,34.365,20.0003,18.2662,1,10,0,0,7,50.9804,-2.46966,-7.84789,23.552,94.5956266666667,0,177.8,log0014.csv,
156733,31259.96,10.9687,11.1398,10.5338,31,0,0,3.96491835860221,4821.75,3.27640379530254,77.6714,11,78.8,263.3,4.12,64.7059,61.5686,318.527,14.3647,33.785,19.4203,18.2416,1,10,0,0,7,53.7255,-2.66633,-4.97518,22.784,91.54896,0,177.8,log0014.csv,
156734,31260,10.5897,11.1398,10.5338,31,0,0,0.527871422231052,4850.5,3.28617668281621,78.2928,11,78.8,265.66,4.14,63.9216,60.3922,317.442,14.3647,33.35,18.9853,18.2416,1,10,0,0,6,53.7255,-2.66633,-4.97518,22.272,90.02528,0,177.8,log0014.csv,
