sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,correction,RPM,load,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,mrp,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,IDC,KNOCK_FLAG,ECT,src,seam
0,6.12,10.17,14.7,13.1696,255,0.0,0.0,,182.75,1.1261285909712724,0.0,27.5,66.2,3.43,1.3,0.0,9.80392,0.0,14.2196,13.63,-0.589599999999999,-8.95836,1,7,0,0.0,0,0.0,0.0,0.0,26.88,4.0935999999999995,0,62.6,log0001.csv,1
1,6.16,10.17,14.7,7.3518,255,0.0,0.0,,182.75,1.1261285909712724,0.0,27.5,66.2,3.43,1.24,0.0,9.80392,0.0,14.2196,13.63,-0.589599999999999,-8.95836,1,7,0,0.0,0,0.0,0.0,0.0,26.88,4.0935999999999995,0,62.6,log0001.csv,0
2,6.2,10.17,14.7,7.3518,255,0.0,0.0,,182.75,1.1261285909712724,0.0,27.5,66.2,3.43,1.14,0.0,10.1961,0.0,14.2196,13.63,-0.589599999999999,-8.95836,1,7,0,0.0,0,0.0,0.0,0.0,26.88,4.0935999999999995,0,62.6,log0001.csv,0
3,6.24,10.17,14.7,7.3518,255,0.0,0.0,,182.75,1.1261285909712724,0.0,27.5,66.2,3.43,1.2,0.0,9.80392,0.0,14.2196,13.63,-0.589599999999999,-8.95836,1,7,0,0.0,0,0.0,0.0,0.0,26.88,4.0935999999999995,0,62.6,log0001.csv,0
4,6.28,10.17,14.7,7.3518,255,0.0,0.0,,187.75,1.0865512649800266,0.0,27.5,66.2,3.4,1.28,0.0,9.80392,0.0,14.2196,13.775,-0.44459999999999944,-8.95836,1,7,0,0.0,0,0.0,0.0,0.0,26.624,4.165546666666667,0,62.6,log0001.csv,0
5,6.32,10.17,14.7,7.3518,255,0.0,0.0,,187.75,1.0865512649800266,0.0,27.5,66.2,3.4,1.22,0.0,9.80392,0.0,14.2196,13.775,-0.44459999999999944,-8.95836,1,7,0,0.0,0,0.0,0.0,0.0,26.624,4.165546666666667,0,62.6,log0001.csv,0
6,6.36,10.17,14.7,7.3518,255,0.0,0.0,,399.75,0.573358348968105,0.0,27.5,66.2,3.82,1.26,0.0,9.80392,0.0,14.2196,13.775,-0.44459999999999944,-8.95836,1,7,0,0.0,0,0.0,0.0,0.0,26.624,8.869119999999999,0,62.6,log0001.csv,0
7,6.4,10.17,14.7,7.3518,255,0.0,0.0,,704.0,0.3247159090909091,0.0,27.5,66.2,3.81,1.34,0.0,9.80392,0.0,14.2196,13.63,-0.589599999999999,-8.95836,1,7,0,0.0,0,0.0,0.0,0.0,18.688,10.963626666666666,0,62.6,log0001.csv,0
8,6.44,10.17,14.7,7.3518,255,0.0,0.0,,1148.0,0.2858885017421603,0.0,27.5,66.2,5.47,1.42,0.0,9.80392,0.0,14.2196,12.18,-2.0396,-8.81217,1,7,0,0.0,0,0.0,0.0,0.0,14.592,13.959680000000002,0,62.6,log0001.csv,0
9,6.48,10.17,14.7,7.35719,255,0.0,0.0,,1453.75,0.30005159071367155,0.0,27.5,66.2,7.27,1.5,0.0,9.80392,0.0,14.2196,10.585,-3.634599999999999,-8.59096,1,7,0,0.0,0,0.0,0.0,0.0,13.056,15.8168,0,62.6,log0001.csv,0
10,6.52,10.17,14.7,7.35719,255,0.0,0.0,,1686.75,0.29097376611827475,0.0,23.5,66.2,8.18,1.56,0.0,9.80392,0.0,14.2196,9.715,-4.5046,-8.59096,1,7,0,0.0,0,0.0,0.0,0.0,8.96,12.5944,0,62.6,log0001.csv,0
11,6.56,10.17,14.7,7.36619,255,0.0,0.0,,1837.25,0.29163151449176755,0.0,22.5,66.2,8.93,1.6,0.0,9.80392,0.0,14.2196,8.99,-5.2296,-8.97996,1,7,0,0.0,2,0.0,0.0,0.0,7.168,10.974506666666667,0,62.6,log0001.csv,0
12,6.6,10.17,14.7,7.36619,255,0.0,0.0,,1981.75,0.28338589630377187,0.0,22.0,66.2,9.36,1.6,0.0,10.1961,0.0,14.2196,7.975,-6.2446,-8.97996,1,7,0,0.0,2,0.0,0.0,0.0,5.12,8.455466666666666,0,62.6,log0001.csv,0
13,6.64,10.17,14.7,7.3716,255,0.0,0.0,,2111.0,0.2788252013263856,0.0,21.5,66.2,9.81,1.64,0.0,10.1961,0.0,14.2196,7.395,-6.8246,-9.53195,1,7,0,0.0,3,0.0,0.0,0.0,4.096,7.205546666666668,0,62.6,log0001.csv,0
14,6.68,10.17,14.7,7.37521,255,0.0,0.0,,2161.5,0.2836918806384455,0.0,21.5,66.2,10.22,1.66,0.0,10.5882,0.0,14.2196,6.96,-7.2596,-9.57714,1,7,0,0.0,3,0.0,0.0,0.0,3.84,6.9168,0,62.6,log0001.csv,0
15,6.72,21.4181,14.7,7.37521,255,0.0,0.0,,2211.25,0.2965743357829282,0.0,20.0,66.2,10.93,1.68,0.0,10.5882,0.0,14.2196,6.38,-7.8396,-9.57714,1,7,0,0.0,3,0.0,0.0,0.0,3.84,7.075999999999999,0,62.6,log0001.csv,0
16,6.76,21.5032,14.7,7.38063,255,0.0,0.0,,2260.0,0.29548672566371686,0.0,18.5,66.2,11.13,1.68,0.0,10.5882,0.0,14.2196,5.945,-8.2746,-9.57714,1,7,0,0.0,3,0.0,0.0,0.0,3.84,7.231999999999999,0,62.6,log0001.csv,0
17,6.8,21.5032,14.7,7.38788,255,0.0,0.0,,2252.5,0.29567147613762484,0.0,17.0,66.2,11.1,1.68,0.0,10.5882,0.0,14.2196,5.655,-8.564599999999999,-9.57714,1,7,0,0.0,3,0.0,0.0,0.0,3.84,7.208,0,62.6,log0001.csv,0
18,6.84,21.5032,14.7,7.38788,255,0.0,0.0,,2236.25,0.3029178311906093,0.0,16.0,66.2,11.29,1.7,0.0,10.5882,0.0,14.2196,5.51,-8.7096,-9.57714,1,7,0,0.0,3,0.0,0.0,0.0,3.84,7.155999999999999,0,62.6,log0001.csv,0
19,6.88,21.3756,14.7,7.39151,255,0.0,0.0,,2199.25,0.3080140957144481,0.0,14.5,66.2,11.29,1.7,0.0,10.5882,0.0,14.2196,5.22,-8.999600000000001,-9.57714,1,7,0,0.0,3,0.0,0.0,0.0,3.84,7.037599999999999,0,62.6,log0001.csv,0
20,6.92,21.2924,14.7,7.39151,255,0.0,0.0,,2180.25,0.31152390780873757,0.0,13.5,66.2,11.32,1.7,0.0,10.5882,0.0,14.2196,5.22,-8.999600000000001,-9.57714,1,7,0,0.0,3,0.0,0.0,0.0,3.584,6.51168,0,62.6,log0001.csv,0
21,6.96,21.4181,14.7,7.61781,255,0.0,0.0,,2094.25,0.3286140623134774,0.0,13.0,66.2,11.47,1.7,0.0,10.5882,0.0,14.2196,5.075,-9.1446,-9.57714,1,7,0,0.0,3,0.0,0.0,0.0,3.584,6.254826666666667,0,62.6,log0001.csv,0
22,7.0,21.335,14.7,7.6236,255,0.0,0.0,,2068.0,0.3293036750483559,0.0,13.0,66.2,11.35,1.7,0.0,10.5882,0.0,14.2196,5.075,-9.1446,-9.57714,1,7,0,0.0,3,0.0,0.0,0.0,3.84,6.6175999999999995,0,62.6,log0001.csv,0
23,7.04,21.335,14.7,7.6236,255,0.0,0.0,,2014.5,0.3389426656738645,0.0,13.0,66.2,11.38,1.7,0.0,10.5882,0.0,14.2196,4.93,-9.2896,-9.57714,1,7,0,0.0,3,0.0,0.0,0.0,3.84,6.4464,0,62.6,log0001.csv,0
24,7.08,21.4607,14.7,7.6294,255,0.0,0.0,,1988.75,0.3424261470773099,0.0,13.0,66.2,11.35,1.7,0.0,10.5882,0.0,14.2196,4.93,-9.2896,-9.57714,1,7,0,0.0,3,0.0,0.0,0.0,3.84,6.363999999999999,0,62.6,log0001.csv,0
25,7.12,21.4607,14.7,7.6352,255,0.0,0.0,,1948.5,0.3494996150885296,0.0,13.0,66.2,11.35,1.7,0.0,10.5882,0.0,14.2196,4.93,-9.2896,-9.47084,1,7,0,0.0,3,0.0,0.0,0.0,3.84,6.2352,0,62.6,log0001.csv,0
26,7.16,21.4607,14.7,7.6352,255,0.0,0.0,,1924.25,0.35109783032350267,0.0,12.5,66.2,11.26,1.68,0.0,10.5882,0.0,14.2196,5.075,-9.1446,-9.47084,1,7,0,0.0,3,0.0,0.0,0.0,3.84,6.1575999999999995,0,62.6,log0001.csv,0
27,7.2,21.3756,14.7,7.85022,255,0.0,0.0,,1872.5,0.35246995994659547,0.0,12.5,66.2,11.0,1.68,0.0,10.5882,0.0,14.2196,5.075,-9.1446,-9.32407,1,7,0,0.0,3,0.0,0.0,0.0,3.84,5.992,0,62.6,log0001.csv,0
