sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,RPM,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW
0,56769.040,10.17,14.7,6.58766,255,0,0,167,0,24.5,39.2,3.27,1.28,0,10.9804,0,14.2196,13.92,-8.92721,1,7,0,0,0,0,0,0,36.352
1,56769.080,10.17,14.7,6.5891,255,0,0,167,0,24.5,39.2,3.27,1.26,0,10.9804,0,14.2196,13.92,-8.92727,1,7,0,0,0,0,0,0,36.352
2,56769.120,10.17,14.7,6.5891,255,0,0,167,0,24.5,39.2,3.27,1.12,0,10.9804,0,14.2196,13.92,-8.92727,1,7,0,0,0,0,0,0,36.352
3,56769.160,10.17,14.7,6.5891,255,0,0,167,0,24.5,39.2,3.27,1.14,0,10.9804,0,14.2196,13.92,-8.92727,1,7,0,0,0,0,0,0,36.352
4,56769.200,10.17,14.7,6.5891,255,0,0,167,0,24.5,39.2,3.27,1.26,0,10.9804,0,14.2196,13.92,-8.92727,1,7,0,0,0,0,0,0,36.352
5,56769.240,10.17,14.7,6.5891,255,0,0,172,0,24.5,39.2,3.59,1.28,0,10.9804,0,14.2196,13.92,-8.92727,1,7,0,0,0,0,0,0,36.352
6,56769.280,10.17,14.7,6.59632,255,0,0,427.75,0,24.5,39.2,4.44,1.26,0,10.9804,0,14.2196,13.05,-8.92721,1,7,0,0,0,0,0,0,29.696
7,56769.320,10.17,14.7,6.59632,255,0,0,798.75,0,24.5,39.2,4.68,1.34,0,10.9804,0,14.2196,13.05,-8.92721,1,7,0,0,0,0,0,0,29.696
8,56769.360,10.17,14.7,6.59777,255,0,0,1090,0,24.5,39.2,5.67,1.44,0,10.9804,0,14.2196,11.745,-8.92721,1,7,0,0,0,0,0,0,29.696
9,56769.400,10.17,14.7,6.59777,255,0,0,1451.75,0,24.5,39.2,7.29,1.54,0,10.9804,0,14.2196,10.585,-8.55981,1,7,0,0,0,0,0,0,19.712
10,56769.440,22.6404,14.7,6.59777,255,0,0,1657,0,22,39.2,8.57,1.62,0,10.9804,0,14.2196,9.57,-8.55981,1,7,0,0,0,0,0,0,16.128
11,56769.480,22.3445,14.7,6.60935,255,0,-.78125,1674.75,0,21.5,39.2,10.3,1.66,0,10.9804,0,14.2196,8.555,-8.84907,1,7,0,0,0,0,0,0,11.776
12,56769.520,22.4296,14.7,6.61662,255,0,-.78125,1757.25,0,19.5,39.2,11.23,1.7,0,10.9804,0,14.2196,8.41,-8.94759,1,7,0,0,0,0,0,0,9.728
