sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,correction,RPM,load,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,mrp,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,IDC,KNOCK_FLAG
0,37841.96,10.17,14.7,7.90588,255,0,-1.5625,,180.5,1.03379501385042,0,28.5,77,3.11,1.28,0,10.5882,0,14.5098,14.21,-0.299799999999999,-9.08299,1,7,0,0,0,0,0,0,21.76,3.27,0
1,37842,10.17,14.7,7.90796,255,0,-1.5625,,180.5,1.03379501385042,0,28.5,77,3.11,1.18,0,10.5882,0,14.5098,14.21,-0.299799999999999,-9.08299,1,7,0,0,0,0,0,0,21.76,3.27,0
2,37842.04,10.17,14.7,7.90796,255,0,-1.5625,,180.5,1.03379501385042,0,28.5,77,3.11,1.14,0,10.5882,0,14.5098,14.21,-0.299799999999999,-9.08306,1,7,0,0,0,0,0,0,21.76,3.27,0
3,37842.08,10.17,14.7,7.90796,255,0,-1.5625,,180.5,1.03379501385042,0,28.5,77,3.11,1.22,0,10.5882,0,14.5098,14.21,-0.299799999999999,-9.08306,1,7,0,0,0,0,0,0,21.76,3.27,0
4,37842.12,10.17,14.7,7.90796,255,0,-1.5625,,192.5,1.07532467532468,0,28.5,77,3.45,1.28,0,10.5882,0,14.5098,14.065,-0.444800000000001,-9.08306,1,7,0,0,0,0,0,0,21.76,3.49,0
5,37842.16,10.17,14.7,7.92253,255,0,-1.5625,,192.5,1.07532467532468,0,28.5,77,3.45,1.24,0,10.5882,0,14.5098,14.065,-0.444800000000001,-9.08299,1,7,0,0,0,0,0,0,21.76,3.49,0
6,37842.2,10.17,14.7,7.92253,255,0,-1.5625,,429.75,0.582198952879581,0,28.5,77,4.17,1.3,0,10.5882,0,14.5098,13.195,-1.3148,-9.08299,1,7,0,0,0,0,0,0,16.384,5.87,0
7,37842.24,10.17,14.7,7.92253,255,0,-1.5625,,1086.75,0.286542443064182,0,28.5,77,5.19,1.42,0,10.5882,0,14.5098,11.89,-2.6198,-9.08312,1,7,0,0,0,0,0,0,16.384,14.84,0
8,37842.28,10.17,14.7,7.92253,255,0,-1.5625,,1432,0.297486033519553,0,28.5,77,7.1,1.5,0,10.5882,0,14.5098,10.73,-3.7798,-9.08312,1,7,0,0,0,0,0,0,9.728,11.61,0
9,37842.32,10.17,14.7,7.92044,255,0,-1.5625,,1670.75,0.298428849319168,0,24.5,77,8.31,1.58,0,10.5882,0,14.5098,9.715,-4.7948,-8.7156,1,7,0,0,0,0,0,0,7.68,10.69,0
10,37842.36,10.17,14.7,7.92461,255,0,-1.5625,,1895.75,0.310167479889226,0,23.5,77,9.8,1.64,0,10.5882,0,14.5098,8.555,-5.9548,-9.29594,1,7,0,0,0,0,0,0,6.144,9.71,0
11,37842.4,22.2614,14.7,7.92461,255,0,-3.90625,,2009.5,0.307240607116198,0,23,77,10.29,1.66,0,10.9804,0,14.5098,7.975,-6.5348,-9.29594,1,7,0,0,0,0,0,0,4.352,7.29,0
