sample,time,wbo2,AFR,FFB,EGT,AFC,AFL,RPM,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW
0,266.080,10.17,14.7,7.84204,47,0,0,181.5,9.32057,20,69.8,2.12,1.16,0,5.09804,0,14.6549,13.92,-9.3787,1,7,0,0,0,0,0,0,6.144
1,266.120,10.17,14.7,7.84204,47,0,0,181.5,9.32057,20,69.8,2.12,1.08,0,5.09804,0,14.6549,13.92,-9.3787,1,7,0,0,0,0,0,0,6.144
2,266.160,10.17,14.7,7.84204,47,0,0,181.5,8.6992,20,69.8,2.12,1.04,0,5.09804,0,14.6549,13.92,-9.3787,1,7,0,0,0,0,0,0,6.144
3,266.200,10.17,14.7,7.84204,48,0,0,199,8.6992,19.5,69.8,2.44,1.14,0,5.09804,0,14.6549,13.775,-9.3787,1,7,0,0,0,0,0,0,6.144
4,266.240,10.17,14.7,7.84204,48,0,0,199,8.6992,19.5,69.8,2.44,1.2,0,5.09804,0,14.6549,13.775,-9.3787,1,7,0,0,0,0,0,0,6.144
5,266.280,10.17,14.7,7.84204,48,0,0,410.25,8.6992,19.5,69.8,2.93,1.12,0,5.09804,0,14.6549,12.905,-9.3787,1,7,0,0,0,0,0,0,6.144
6,266.320,10.17,14.7,7.84204,49,0,0,714,8.6992,19,69.8,2.7,1.14,0,5.09804,0,14.6549,12.18,-9.3787,1,7,0,0,0,0,0,0,5.632
7,266.360,10.17,14.2406,7.84204,49,0,0,931,8.6992,16.5,69.8,2.81,1.2,0,5.4902,0,14.6549,11.31,-9.3787,1,7,0,0,0,0,0,0,4.608
8,266.400,10.17,14.7,7.84409,49,0,0,1244.5,8.07783,15.5,69.8,3.69,1.24,0,5.4902,0,14.6549,10.005,-9.08312,1,7,0,0,0,0,0,0,4.352
9,266.440,10.17,15.5039,7.84409,50,0,0,1355,8.07783,16.5,69.8,4.01,1.26,0,5.4902,0,14.6549,9.425,-9.08312,1,7,0,0,0,0,0,0,3.584
10,266.480,10.17,16.5375,7.84613,50,0,0,1583.5,8.07783,18,69.8,4.6,1.3,0,5.4902,0,14.6549,7.83,-9.0113,1,7,0,0,2,0,0,0,3.072
11,266.520,10.17,15.7336,7.84818,50,0,0,1661.75,8.07783,13,69.8,4.9,1.3,0,5.09804,0,14.6549,7.105,-9.10224,1,7,0,0,3,0,0,0,3.072
12,266.560,22.6404,14.9297,7.84818,50,0,0,1706.75,7.45645,18.5,69.8,4.94,1.32,0,5.09804,0,14.6549,6.38,-9.10224,1,7,0,0,4,0,0,0,2.816
13,266.600,22.683,14.5852,7.85022,51,0,0,1792.75,7.45645,19.5,69.8,5.17,1.32,0,5.09804,0,14.6549,5.945,-9.35221,1,7,0,0,5,0,0,0,2.816
14,266.640,22.6404,14.4703,7.85022,51,0,0,1829.75,7.45645,19,69.8,5.29,1.34,0,5.09804,0,14.6549,5.51,-9.35221,1,7,0,0,5,0,0,0,2.56
15,266.680,22.4722,14.3555,7.85432,51,0,0,1855.25,7.45645,18,69.8,5.39,1.34,0,5.4902,0,14.6549,5.075,-9.57799,1,7,0,0,5,0,0,0,2.56
