rpm,load,cur_20_19,proposed,delta
1600,1.1,19.5,19.75,0.25
1600,1.2,20.5,20.5,-0.0
1600,1.3,22.21,21.75,-0.46
1900,1.0,18.0,17.0,-1.0
1900,1.1,20.0,12.5,-7.5
1900,1.2,21.5,13.25,-8.25
1900,1.3,23.5,14.25,-9.25
1900,1.5,26.0,23.5,-2.5
2200,1.0,20.0,19.0,-1.0
2200,1.1,20.0,13.25,-6.75
2200,1.2,21.5,11.75,-9.75
2200,1.3,23.5,11.75,-11.75
2200,1.5,26.5,24.0,-2.5
2500,1.0,20.0,19.0,-1.0
2500,1.1,20.0,16.0,-4.0
2500,1.2,21.5,13.5,-8.0
2500,1.3,23.5,13.25,-10.25
2500,1.5,26.5,24.0,-2.5
2800,1.0,20.0,19.0,-1.0
2800,1.1,20.0,15.0,-5.0
2800,1.2,21.5,15.75,-5.75
2800,1.3,23.5,17.5,-6.0
2800,1.5,26.5,24.0,-2.5
3000,1.0,20.0,19.0,-1.0
3000,1.1,20.0,16.25,-3.75
3000,1.2,21.5,17.0,-4.5
3000,1.3,23.5,18.5,-5.0
3000,1.5,26.5,24.0,-2.5
3400,1.0,20.0,19.0,-1.0
3400,1.1,20.0,17.5,-2.5
3400,1.2,21.5,18.25,-3.25
3400,1.3,23.5,19.25,-4.25
3800,1.1,16.0,15.5,-0.5
3800,1.2,17.0,16.25,-0.75
3800,1.3,18.5,17.25,-1.25
