rpm_bp,load_bp,n_logs,total_samples,strict_n,strict_pct,active_n,active_pct,above_1pct_strict
1000,0.2,35,3354592,39,0.0048,808,0.0287,False
1000,0.3,35,3354592,3568,0.4397,32662,1.1589,False
1000,0.5,35,3354592,787,0.097,8368,0.2969,False
1000,0.6,35,3354592,8,0.001,616,0.0219,False
1000,0.7,35,3354592,0,0.0,256,0.0091,False
1000,0.8,35,3354592,0,0.0,134,0.0048,False
1000,0.9,35,3354592,0,0.0,128,0.0045,False
1000,1.0,35,3354592,0,0.0,95,0.0034,False
1000,1.1,35,3354592,0,0.0,67,0.0024,False
1000,1.2,35,3354592,0,0.0,30,0.0011,False
1000,1.3,35,3354592,0,0.0,28,0.001,False
1000,1.5,35,3354592,0,0.0,37,0.0013,False
1000,1.75,35,3354592,0,0.0,29,0.001,False
1000,2.0,35,3354592,0,0.0,25,0.0009,False
1000,2.25,35,3354592,0,0.0,40,0.0014,False
1000,2.5,35,3354592,0,0.0,35,0.0012,False
1000,3.5,35,3354592,0,0.0,3,0.0001,False
1000,4.0,35,3354592,0,0.0,0,0.0,False
1100,0.2,35,3354592,26,0.0032,2454,0.0871,False
1100,0.3,35,3354592,2046,0.2522,22798,0.8089,False
1100,0.5,35,3354592,89,0.011,2203,0.0782,False
1100,0.6,35,3354592,0,0.0,609,0.0216,False
1100,0.7,35,3354592,0,0.0,332,0.0118,False
1100,0.8,35,3354592,0,0.0,318,0.0113,False
1100,0.9,35,3354592,0,0.0,259,0.0092,False
1100,1.0,35,3354592,0,0.0,195,0.0069,False
1100,1.1,35,3354592,0,0.0,199,0.0071,False
1100,1.2,35,3354592,0,0.0,79,0.0028,False
1100,1.3,35,3354592,0,0.0,29,0.001,False
1100,1.5,35,3354592,0,0.0,36,0.0013,False
1100,1.75,35,3354592,0,0.0,33,0.0012,False
1100,2.0,35,3354592,0,0.0,27,0.001,False
1100,2.25,35,3354592,0,0.0,29,0.001,False
1100,2.5,35,3354592,0,0.0,13,0.0005,False
1100,3.5,35,3354592,0,0.0,0,0.0,False
1100,4.0,35,3354592,0,0.0,0,0.0,False
1350,0.2,35,3354592,2,0.0002,2946,0.1045,False
1350,0.3,35,3354592,780,0.0961,25783,0.9148,False
1350,0.5,35,3354592,7,0.0009,3540,0.1256,False
1350,0.6,35,3354592,0,0.0,1266,0.0449,False
1350,0.7,35,3354592,0,0.0,1149,0.0408,False
1350,0.8,35,3354592,0,0.0,796,0.0282,False
1350,0.9,35,3354592,0,0.0,715,0.0254,False
1350,1.0,35,3354592,0,0.0,670,0.0238,False
1350,1.1,35,3354592,0,0.0,499,0.0177,False
1350,1.2,35,3354592,0,0.0,182,0.0065,False
1350,1.3,35,3354592,0,0.0,75,0.0027,False
1350,1.5,35,3354592,0,0.0,43,0.0015,False
1350,1.75,35,3354592,0,0.0,61,0.0022,False
1350,2.0,35,3354592,0,0.0,48,0.0017,False
1350,2.25,35,3354592,0,0.0,22,0.0008,False
1350,2.5,35,3354592,0,0.0,1,0.0,False
1350,3.5,35,3354592,0,0.0,0,0.0,False
1350,4.0,35,3354592,0,0.0,0,0.0,False
1600,0.2,35,3354592,1387,0.1709,15860,0.5627,False
1600,0.3,35,3354592,565,0.0696,23760,0.8431,False
1600,0.5,35,3354592,303,0.0373,6358,0.2256,False
1600,0.6,35,3354592,50,0.0062,3388,0.1202,False
1600,0.7,35,3354592,27,0.0033,2261,0.0802,False
1600,0.8,35,3354592,42,0.0052,1954,0.0693,False
1600,0.9,35,3354592,29,0.0036,1515,0.0538,False
1600,1.0,35,3354592,69,0.0085,1419,0.0503,False
1600,1.1,35,3354592,21,0.0026,1124,0.0399,False
1600,1.2,35,3354592,0,0.0,756,0.0268,False
