rev,n,air_step,recov_ms,pk_lean,rich_ffb,pct_unrec
garn_base,83,35.94,320.0,4.393070000000001,10.3,8.433734939759036
20.7,745,20.35,400.0,7.212299999999999,12.7728,65.50335570469798
20.8,126,24.59,360.0,5.032150000000001,11.93245,0.0
20.9,99,29.82,280.0,4.4247,11.2544,3.0303030303030303
20.10,103,40.28,280.0,4.25,10.26,4.854368932038835
20.11,217,35.989999999999995,280.0,5.210000000000001,11.31,7.373271889400922
20.12,606,20.905,400.0,5.47,12.11,1.8151815181518154
20.13,296,18.435,360.0,6.26,12.235,0.33783783783783783
20.14,374,18.955,400.0,6.12,12.18,2.941176470588235
20.15,407,18.06,360.0,3.790000000000001,12.23,1.2285012285012284
20.16,100,28.11,200.0,3.4699999999999998,11.54,3.0
20.17,66,19.34,300.0,3.079999999999999,12.08,0.0
20.17a,1067,20.13,320.0,3.2699999999999996,12.02,1.5932521087160263
20.18,978,18.89,320.0,3.8199999999999985,12.0182,4.294478527607362
20.18a,692,19.225,240.0,3.1108599999999997,12.04465,1.7341040462427744
20.19,220,19.02,320.0,3.586599999999999,12.13205,0.45454545454545453
