log_date,rom_rev,log_path,rpm_bin,load_bin,sample_count_fbkc_neg,sample_count_flkc_decr,event_count_fbkc,event_count_flkc,mean_fbkc,Unnamed: 10,min_fbkc
2023-03-31,old_2023_base,logs/3-31 black.csv,3300.0,1.0,0,1,0,1,,,0.0
2023-03-31,old_2023_base,logs/3-31 black.csv,3300.0,1.17,0,3,0,3,,,0.0
2023-03-31,old_2023_base,logs/3-31 black.csv,4000.0,1.0,0,1,0,1,,,0.0
2023-03-31,old_2023_base,logs/3-31 black.csv,4400.0,3.22,1,0,1,0,-1.41,,-1.41
2026-03-21,stock,logs/3-21.csv,2600.0,1.0,25,0,0,0,-1.0499999999999998,,-1.4
2026-03-21,stock,logs/3-21.csv,2600.0,1.17,36,0,2,0,-1.1666666666666663,,-1.4
2026-03-21,stock,logs/3-21.csv,3000.0,0.73,1,0,0,0,-0.7,,-0.7
2026-03-21,stock,logs/3-21.csv,3000.0,1.0,33,0,1,0,-0.9227272727272728,,-1.4
2026-03-21,stock,logs/3-21.csv,3000.0,1.51,4,0,2,0,-2.45,,-2.8
2026-03-21,stock,logs/3-21.csv,3000.0,1.64,7,0,1,0,-4.0,,-4.2
2026-03-21,stock,logs/3-21.csv,3000.0,1.78,3,0,0,0,-4.2,,-4.2
2026-03-21,stock,logs/3-21.csv,3000.0,1.95,7,0,0,0,-4.1000000000000005,,-4.2
2026-03-21,stock,logs/3-21.csv,3000.0,2.12,6,0,0,0,-3.85,,-3.85
2026-03-21,stock,logs/3-21.csv,3000.0,2.9,1,0,0,0,-3.5,,-3.5
2026-03-21,stock,logs/3-21.csv,3300.0,1.36,1,0,0,0,-2.45,,-2.45
2026-03-21,stock,logs/3-21.csv,3300.0,1.95,1,0,0,0,-3.15,,-3.15
2026-03-21,stock,logs/3-21.csv,3300.0,2.28,5,0,0,0,-3.85,,-3.85
2026-03-21,stock,logs/3-21.csv,3300.0,2.44,4,0,0,0,-3.5875,,-3.85
2026-03-21,stock,logs/3-21.csv,3300.0,2.6,5,0,0,0,-3.43,,-3.5
2026-03-21,stock,logs/3-21.csv,3300.0,2.9,10,0,0,0,-3.3600000000000003,,-3.5
2026-03-21,stock,logs/3-21.csv,3300.0,3.22,2,0,0,0,-3.15,,-3.15
2026-03-21,stock,logs/3-21.csv,3700.0,1.0,1,0,0,0,-1.05,,-1.05
2026-03-21,stock,logs/3-21.csv,3700.0,2.28,1,0,0,0,-3.15,,-3.15
2026-03-21,stock,logs/3-21.csv,3700.0,2.9,1,0,0,0,-3.15,,-3.15
2026-03-21,stock,logs/3-21.csv,4000.0,1.51,0,1,0,1,,,0.0
2026-03-21,stock,logs/3-21.csv,4000.0,1.64,0,3,0,3,,,0.0
2026-03-30,stock,logs/3-30.csv,1900.0,1.17,39,0,1,0,-1.076923076923077,,-1.4
2026-03-30,stock,logs/3-30.csv,1900.0,1.36,2,0,0,0,-0.5249999999999999,,-0.7
2026-03-30,stock,logs/3-30.csv,2200.0,1.17,13,0,0,0,-0.4038461538461537,,-0.7
2026-03-30,stock,logs/3-30.csv,2200.0,1.36,3,0,0,0,-0.3499999999999999,,-0.35
2026-03-30,stock,logs/3-30.csv,3000.0,1.0,9,0,3,0,-2.722222111111112,,-4.2
2026-04-01,stock,logs/4-1.csv,4000.0,3.22,4,0,1,0,-1.4,,-1.4
2026-04-01,stock,logs/4-1.csv,4000.0,3.7,4,0,0,0,-1.4,,-1.4
2026-04-01,stock,logs/4-1.csv,4400.0,2.44,1,0,0,0,-0.7,,-0.7
2026-04-01,stock,logs/4-1.csv,4400.0,3.22,20,0,0,0,-1.015,,-1.4
2026-04-01,stock,logs/4-1.csv,4400.0,3.7,4,0,0,0,-1.4,,-1.4
2026-04-01,stock,logs/4-1.csv,4800.0,3.22,6,0,0,0,-0.7000000000000001,,-0.7
2026-04-11,20.7,logs/4-11.csv,1900.0,1.0,3,0,1,0,-1.3999999999999997,,-1.4
