rpm,mp,current,cl_err,cl_n,ol_err,ol_n,unified_err,n,required_total,proposed,delta
1200,-10.6,0.0,1.56,43,5.14,14,2.34,57,2.34,0.0,0.0
1200,-8.0,0.0,-4.69,45,1.98,76,0.06,121,0.06,0.0,0.0
1200,-6.0,0.0,3.12,18,0.06,29,2.67,47,,0.0,0.0
1200,-4.5,0.0,-5.47,20,3.33,28,1.31,48,,0.0,0.0
1200,-3.0,0.0,3.12,17,3.19,15,3.12,32,,0.0,0.0
1200,-2.0,0.0,,0,8.22,4,8.22,4,,0.0,0.0
1200,-1.0,0.0,,0,6.03,2,6.03,2,,0.0,0.0
1200,-0.0,0.0,,0,,0,,0,,0.0,0.0
1200,1.5,0.0,,0,,0,,0,,0.0,0.0
1200,3.0,0.0,,0,,0,,0,,0.0,0.0
1200,3.87,0.0,,0,,0,,0,,0.0,0.0
1600,-10.6,0.0,1.56,381,0.59,63,1.56,444,1.56,0.0,0.0
1600,-8.0,0.0,0.0,352,-0.68,277,0.0,629,0.0,0.0,0.0
1600,-6.0,0.0,-1.56,281,-1.38,209,-1.56,490,-1.56,-1.56,-1.56
1600,-4.5,0.0,-2.34,130,2.79,168,1.12,298,1.12,1.17,1.17
1600,-3.0,0.0,-8.59,18,4.01,107,3.71,125,3.71,3.91,3.91
1600,-2.0,0.0,,0,5.35,66,5.35,66,5.35,5.47,5.47
1600,-1.0,0.0,,0,4.34,29,4.34,29,,0.0,0.0
1600,-0.0,0.0,,0,3.28,14,3.28,14,,0.0,0.0
1600,1.5,0.0,,0,,0,,0,,0.0,0.0
1600,3.0,0.0,,0,,0,,0,,0.0,0.0
1600,3.87,0.0,,0,,0,,0,,0.0,0.0
2000,-10.6,0.0,2.34,3610,-1.96,1591,1.56,5201,1.56,0.0,0.0
2000,-8.0,0.0,-2.34,7858,-0.87,3507,-2.12,11365,-2.12,-1.95,-1.95
2000,-6.0,0.0,-1.56,4148,1.13,2537,-0.63,6685,-0.63,-0.78,-0.78
2000,-4.5,0.0,-1.56,3981,1.46,2305,-0.13,6286,-0.13,0.0,0.0
2000,-3.0,0.0,-3.12,2150,2.34,2230,-1.21,4380,-1.21,-1.17,-1.17
2000,-2.0,0.0,-2.34,828,3.07,1156,0.0,1984,0.0,0.0,0.0
2000,-1.0,2.34,-1.56,147,0.81,1035,0.02,1182,2.36,2.34,0.0
2000,-0.0,1.17,-0.78,89,0.58,668,0.37,757,1.55,1.56,0.39
2000,1.5,0.0,,0,-1.79,424,-1.79,424,-1.79,-1.95,-1.95
2000,3.0,0.0,,0,,0,,0,,0.0,0.0
2000,3.87,0.0,,0,,0,,0,,0.0,0.0
2400,-10.6,0.0,0.78,6067,-1.63,4041,-0.02,10108,-0.02,0.0,0.0
2400,-8.0,0.0,-3.12,16898,-2.25,9525,-3.12,26423,-3.12,-3.12,-3.12
2400,-6.0,0.0,-2.34,11244,-0.28,6182,-2.34,17426,-2.34,-2.34,-2.34
2400,-4.5,0.0,-2.34,6461,0.19,4585,-1.56,11046,-1.56,-1.56,-1.56
2400,-3.0,0.0,0.0,5313,0.05,4479,0.0,9792,0.0,0.0,0.0
2400,-2.0,0.0,-0.78,532,-0.29,4091,-0.3,4623,-0.3,-0.39,-0.39
2400,-1.0,3.12,,0,-2.74,1952,-2.74,1952,0.38,0.39,-2.73
