rpm_lo,rpm_hi,mrp_lo,mrp_hi,stoich_trim_med,stoich_n,cmd_err_med,cmd_n
800,1000,-10,-9,,1,,1
800,1000,-9,-8,,0,,1
800,1000,-8,-7,,1,,0
800,1000,-7,-6,,0,,1
800,1000,-6,-5,,2,,0
1000,1200,-10,-9,,1,,4
1000,1200,-9,-8,-2.35,32,,8
1000,1200,-8,-7,,8,,0
1000,1200,-7,-6,-4.69,37,,2
1000,1200,-6,-5,,19,,5
1000,1200,-5,-4,,1,,0
1200,1400,-11,-10,,2,,0
1200,1400,-10,-9,,24,,6
1200,1400,-9,-8,-5.47,74,-0.7,44
1200,1400,-8,-7,-4.68,42,,21
1200,1400,-7,-6,-7.82,40,,5
1200,1400,-6,-5,-12.12,30,5.43,25
1200,1400,-5,-4,,14,,10
1200,1400,-4,-3,,5,,2
1200,1400,-3,-2,,10,,0
1200,1400,-2,-1,,2,,5
1200,1400,-1,0,,0,,1
1400,1600,-11,-10,-3.13,26,3.98,79
1400,1600,-10,-9,-6.25,39,2.27,137
1400,1600,-9,-8,-6.26,53,0.63,45
1400,1600,-8,-7,-7.42,36,,13
1400,1600,-7,-6,-4.68,32,,12
1400,1600,-6,-5,-7.81,34,1.73,27
1400,1600,-5,-4,,17,,19
1400,1600,-4,-3,,16,,1
1400,1600,-3,-2,,8,,8
1400,1600,-2,-1,,1,,17
1400,1600,-1,0,,0,,4
1600,1800,-11,-10,,12,,15
1600,1800,-10,-9,-4.68,40,1.1,188
1600,1800,-9,-8,-3.12,127,0.21,85
1600,1800,-8,-7,-3.91,138,-0.21,70
1600,1800,-7,-6,-4.68,94,5.49,36
1600,1800,-6,-5,-5.47,81,,21
1600,1800,-5,-4,,24,,17
1600,1800,-4,-3,,20,,16
1600,1800,-3,-2,,10,,22
1600,1800,-2,-1,,7,,20
1600,1800,-1,0,,0,,6
1600,1800,0,1,,0,,2
1800,2000,-12,-11,,0,,2
1800,2000,-11,-10,,22,-0.07,82
1800,2000,-10,-9,-2.34,98,1.37,286
1800,2000,-9,-8,-2.34,144,-0.72,73
1800,2000,-8,-7,-1.56,205,-0.7,118
1800,2000,-7,-6,0.0,193,5.19,51
1800,2000,-6,-5,1.57,134,2.93,65
1800,2000,-5,-4,2.35,133,4.36,93
1800,2000,-4,-3,-1.56,77,-0.82,67
1800,2000,-3,-2,,24,4.48,105
1800,2000,-2,-1,,8,3.66,67
1800,2000,-1,0,,0,6.65,51
1800,2000,0,1,,0,,3
2000,2200,-11,-10,-3.13,67,2.08,146
2000,2200,-10,-9,1.56,399,0.97,215
2000,2200,-9,-8,0.0,633,-0.9,241
2000,2200,-8,-7,-0.78,625,0.93,230
2000,2200,-7,-6,0.0,630,0.49,115
2000,2200,-6,-5,0.78,586,2.22,83
2000,2200,-5,-4,0.0,298,2.87,110
2000,2200,-4,-3,-0.78,366,1.97,167
2000,2200,-3,-2,-2.34,523,4.02,152
2000,2200,-2,-1,-1.56,388,5.56,57
2000,2200,-1,0,,0,,22
2000,2200,0,1,,0,,17
2200,2400,-12,-11,,11,,18
2200,2400,-11,-10,-4.69,433,2.89,203
2200,2400,-10,-9,-3.12,652,1.27,165
2200,2400,-9,-8,-2.34,971,-0.42,495
2200,2400,-8,-7,-0.79,1098,-0.07,290
2200,2400,-7,-6,0.78,1002,1.37,319
2200,2400,-6,-5,-0.78,716,1.39,350
2200,2400,-5,-4,-1.56,290,1.89,251
2200,2400,-4,-3,-2.34,207,1.61,103
2200,2400,-3,-2,-1.56,579,1.73,197
2200,2400,-2,-1,0.0,122,-0.56,139
2200,2400,-1,0,,0,0.87,113
2200,2400,0,1,,0,1.67,93
2200,2400,1,2,,0,1.68,33
2200,2400,2,3,,0,,8
2200,2400,3,4,,0,,1
2400,2600,-12,-11,,10,-0.49,26
2400,2600,-11,-10,-3.91,675,1.17,443
2400,2600,-10,-9,-3.91,1306,-0.17,714
2400,2600,-9,-8,-3.13,2091,0.48,1708
2400,2600,-8,-7,-3.13,1408,0.43,624
2400,2600,-7,-6,-0.78,1026,0.78,488
2400,2600,-6,-5,-2.34,748,1.03,588
2400,2600,-5,-4,-1.56,886,1.73,409
2400,2600,-4,-3,-1.56,356,1.21,250
2400,2600,-3,-2,0.0,194,1.35,337
2400,2600,-2,-1,,2,0.3,374
2400,2600,-1,0,,0,0.73,292
2400,2600,0,1,,0,2.95,170
2400,2600,1,2,,0,3.78,123
2400,2600,2,3,,0,5.04,156
2400,2600,3,4,,0,2.84,66
2400,2600,4,5,,0,1.43,37
2600,2800,-12,-11,,1,1.7,26
2600,2800,-11,-10,-5.47,1079,1.3,469
2600,2800,-10,-9,-4.69,1498,-0.21,717
2600,2800,-9,-8,-3.9,2925,-0.42,1315
2600,2800,-8,-7,-2.34,2449,-0.9,576
2600,2800,-7,-6,-1.56,1165,-0.85,652
2600,2800,-6,-5,-2.34,931,-0.55,788
2600,2800,-5,-4,-3.12,658,-1.04,519
2600,2800,-4,-3,-2.34,293,0.55,448
2600,2800,-3,-2,-0.78,49,0.15,755
2600,2800,-2,-1,,0,1.24,596
2600,2800,-1,0,,0,3.14,446
2600,2800,0,1,,0,3.51,336
2600,2800,1,2,,0,3.67,355
2600,2800,2,3,,0,2.88,232
2600,2800,3,4,,0,2.19,89
2600,2800,4,5,,0,2.95,59
2600,2800,5,6,,0,4.6,60
2600,2800,6,7,,0,,21
2600,2800,7,8,,0,,1
2600,2800,8,9,,0,,6
2600,2800,9,10,,0,,1
2800,3000,-12,-11,-3.52,42,-5.16,93
2800,3000,-11,-10,-4.68,737,-0.7,237
2800,3000,-10,-9,-3.13,1856,0.07,643
2800,3000,-9,-8,-2.35,3135,-0.56,570
2800,3000,-8,-7,-0.78,2541,-0.98,440
2800,3000,-7,-6,-2.34,1942,-1.26,553
2800,3000,-6,-5,-3.91,1444,-0.75,1159
2800,3000,-5,-4,-3.13,841,-0.83,974
2800,3000,-4,-3,-3.91,344,-0.91,1094
2800,3000,-3,-2,-3.13,50,-0.15,1204
2800,3000,-2,-1,,0,1.35,773
2800,3000,-1,0,,0,3.9,738
2800,3000,0,1,,0,4.83,601
2800,3000,1,2,,0,3.47,450
2800,3000,2,3,,0,1.93,222
2800,3000,3,4,,0,3.12,109
2800,3000,4,5,,0,0.65,74
2800,3000,5,6,,0,-0.63,39
2800,3000,6,7,,0,-0.86,32
2800,3000,7,8,,0,,16
2800,3000,8,9,,0,-1.42,25
2800,3000,9,10,,0,,9
2800,3000,10,11,,0,,22
2800,3000,11,12,,0,,8
2800,3000,12,13,,0,,5
2800,3000,13,14,,0,,1
3000,3200,-12,-11,,8,-0.56,54
3000,3200,-11,-10,-2.35,508,-0.07,269
3000,3200,-10,-9,-0.78,1350,-0.34,619
3000,3200,-9,-8,0.0,3181,-1.1,597
3000,3200,-8,-7,-1.56,2878,-1.07,535
3000,3200,-7,-6,-3.13,1409,-1.37,1098
3000,3200,-6,-5,-3.9,1175,-1.52,967
3000,3200,-5,-4,-2.34,701,-0.71,1208
3000,3200,-4,-3,-0.78,306,-0.63,1878
3000,3200,-3,-2,0.0,32,-0.67,1564
3000,3200,-2,-1,,0,3.56,1294
3000,3200,-1,0,,0,5.36,1546
3000,3200,0,1,,0,4.79,901
3000,3200,1,2,,0,3.59,381
3000,3200,2,3,,0,2.33,251
3000,3200,3,4,,0,1.83,239
3000,3200,4,5,,0,-1.77,95
3000,3200,5,6,,0,-2.05,34
3000,3200,6,7,,0,-1.16,39
3000,3200,7,8,,0,,23
3000,3200,8,9,,0,,24
3000,3200,9,10,,0,-2.88,32
3000,3200,10,11,,0,,23
3000,3200,11,12,,0,,5
3000,3200,12,13,,0,,18
3000,3200,13,14,,0,,17
3000,3200,14,15,,0,,4
3000,3200,15,16,,0,,1
3000,3200,16,17,,0,,2
3200,3400,-12,-11,,18,-2.91,38
3200,3400,-11,-10,-0.79,350,-0.87,248
3200,3400,-10,-9,0.0,852,-1.46,344
3200,3400,-9,-8,0.0,1529,0.14,603
3200,3400,-8,-7,0.0,1106,-0.15,689
3200,3400,-7,-6,0.78,1434,-0.69,1453
3200,3400,-6,-5,2.35,1568,-0.41,1855
3200,3400,-5,-4,0.0,550,1.17,2247
3200,3400,-4,-3,0.0,30,4.36,3036
3200,3400,-3,-2,,0,6.32,2984
3200,3400,-2,-1,,0,7.76,2770
3200,3400,-1,0,,0,6.34,2787
3200,3400,0,1,,0,3.48,961
3200,3400,1,2,,0,3.12,747
3200,3400,2,3,,0,1.28,645
3200,3400,3,4,,0,-2.51,189
3200,3400,4,5,,0,-3.83,81
3200,3400,5,6,,0,-1.85,54
3200,3400,6,7,,0,-2.36,58
3200,3400,7,8,,0,-0.79,28
3200,3400,8,9,,0,,13
3200,3400,9,10,,0,,7
3200,3400,10,11,,0,,21
3200,3400,11,12,,0,,12
3200,3400,12,13,,0,,4
3200,3400,13,14,,0,,1
3200,3400,14,15,,0,,4
3200,3400,15,16,,0,,9
3200,3400,16,17,,0,,8
3200,3400,17,18,,0,,11
3400,3600,-12,-11,,22,5.18,43
3400,3600,-11,-10,-1.56,89,-2.22,54
3400,3600,-10,-9,0.0,214,-2.14,123
3400,3600,-9,-8,0.0,578,-1.07,258
3400,3600,-8,-7,-1.56,950,-0.07,426
3400,3600,-7,-6,-2.34,869,-0.41,489
3400,3600,-6,-5,-1.56,694,-1.18,1327
3400,3600,-5,-4,0.0,36,-0.15,2207
3400,3600,-4,-3,,0,0.62,2253
3400,3600,-3,-2,,0,2.74,3056
3400,3600,-2,-1,,0,3.48,3563
3400,3600,-1,0,,0,3.01,1878
3400,3600,0,1,,0,3.8,910
3400,3600,1,2,,0,1.84,685
3400,3600,2,3,,0,-2.26,287
3400,3600,3,4,,0,-2.51,77
3400,3600,4,5,,0,-1.4,75
3400,3600,5,6,,0,-1.49,74
3400,3600,6,7,,0,,18
3400,3600,7,8,,0,,16
3400,3600,8,9,,0,,13
3400,3600,9,10,,0,,14
3400,3600,10,11,,0,,5
3400,3600,11,12,,0,,4
3400,3600,12,13,,0,,6
3400,3600,13,14,,0,,10
3400,3600,14,15,,0,,2
3400,3600,15,16,,0,,10
3400,3600,16,17,,0,,6
3400,3600,17,18,,0,,3
3600,3800,-12,-11,,17,,3
3600,3800,-11,-10,-3.9,129,,16
3600,3800,-10,-9,-0.78,308,-3.55,28
3600,3800,-9,-8,-2.34,472,-1.92,128
3600,3800,-8,-7,-5.47,908,-1.01,205
3600,3800,-7,-6,-4.69,1031,-0.07,279
3600,3800,-6,-5,-3.13,517,-2.55,979
3600,3800,-5,-4,,2,-1.48,1066
3600,3800,-4,-3,,0,-2.44,1301
3600,3800,-3,-2,,0,-0.71,2142
3600,3800,-2,-1,,0,0.56,1271
3600,3800,-1,0,,0,2.8,562
3600,3800,0,1,,0,1.76,429
3600,3800,1,2,,0,-1.21,147
3600,3800,2,3,,0,,21
3600,3800,3,4,,0,,23
3600,3800,4,5,,0,,1
3600,3800,6,7,,0,,1
3600,3800,7,8,,0,,3
3600,3800,8,9,,0,,9
3600,3800,9,10,,0,,2
3600,3800,10,11,,0,,3
3600,3800,11,12,,0,,11
3600,3800,12,13,,0,,2
3600,3800,13,14,,0,,2
3600,3800,14,15,,0,,1
3600,3800,15,16,,0,,5
3600,3800,16,17,,0,,1
3800,4000,-12,-11,,4,,2
3800,4000,-11,-10,,5,,0
3800,4000,-10,-9,,22,,17
3800,4000,-9,-8,0.0,37,,23
3800,4000,-8,-7,,23,-1.73,48
3800,4000,-7,-6,-1.95,28,-2.44,68
3800,4000,-6,-5,,2,-5.01,96
3800,4000,-5,-4,,0,-4.78,208
3800,4000,-4,-3,,0,-5.8,270
3800,4000,-3,-2,,0,-1.72,277
3800,4000,-2,-1,,0,1.57,123
3800,4000,-1,0,,0,2.09,109
3800,4000,0,1,,0,-1.42,62
3800,4000,1,2,,0,,16
3800,4000,2,3,,0,,20
3800,4000,3,4,,0,,2
3800,4000,5,6,,0,,1
3800,4000,7,8,,0,,2
3800,4000,9,10,,0,,5
3800,4000,12,13,,0,,1
4000,4200,-12,-11,,5,,8
4000,4200,-11,-10,,3,,0
4000,4200,-10,-9,,7,,1
4000,4200,-9,-8,,16,,1
4000,4200,-8,-7,,4,,0
4000,4200,-5,-4,,0,,4
4000,4200,-4,-3,,0,,6
4000,4200,-3,-2,,0,,6
4000,4200,-2,-1,,0,,19
4000,4200,-1,0,,0,,9
4000,4200,0,1,,0,,9
4000,4200,1,2,,0,,10
4000,4200,4,5,,0,,2
4000,4200,5,6,,0,,1
4000,4200,7,8,,0,,2
4000,4200,8,9,,0,,5
4000,4200,13,14,,0,,2
4000,4200,14,15,,0,,2
4000,4200,15,16,,0,,2
4200,4400,-7,-6,,0,,1
4200,4400,-3,-2,,0,,9
4200,4400,-2,-1,,0,,16
4200,4400,-1,0,,0,,2
4200,4400,0,1,,0,,9
4200,4400,1,2,,0,,1
4200,4400,4,5,,0,,3
4200,4400,12,13,,0,,3
4200,4400,15,16,,0,,1
4400,4600,-4,-3,,0,,1
4400,4600,-3,-2,,0,,3
4400,4600,-2,-1,,0,,7
4400,4600,-1,0,,0,-0.49,25
4400,4600,0,1,,0,,5
4400,4600,2,3,,0,,1
4400,4600,3,4,,0,,2
4400,4600,4,5,,0,,2
4400,4600,14,15,,0,,2
4400,4600,15,16,,0,,5
4400,4600,17,18,,0,,2
4400,4600,18,19,,0,,3
4600,4800,-5,-4,,0,,2
4600,4800,-4,-3,,0,,4
4600,4800,-3,-2,,0,,5
4600,4800,-2,-1,,0,,1
4600,4800,-1,0,,0,,2
4600,4800,0,1,,0,,1
4600,4800,3,4,,0,,3
4600,4800,8,9,,0,,2
4600,4800,10,11,,0,,1
4600,4800,14,15,,0,,7
4600,4800,15,16,,0,,6
4600,4800,16,17,,0,,3
4600,4800,17,18,,0,,4
4800,5000,-5,-4,,0,,2
4800,5000,10,11,,0,,3
4800,5000,17,18,,0,,1
5000,5200,9,10,,0,,3
5000,5200,13,14,,0,,1
5200,5400,13,14,,0,,1
5400,5600,1,2,,0,,1
5400,5600,2,3,,0,,1
5400,5600,13,14,,0,,1
