rpm,mp,mode,err,n
1050,-9.88,OL,-3.45,1
1050,-9.88,all,-3.45,1
1050,-9.38,OL,4.88,1
1050,-9.38,all,4.88,1
1050,-8.62,CL,-9.38,1
1050,-8.62,all,-9.38,1
1050,-8.38,OL,3.3,1
1050,-8.38,CL,-7.03,1
1050,-8.38,all,-1.87,2
1050,-8.12,CL,-6.25,1
1050,-8.12,all,-6.25,1
1050,-7.62,CL,-2.35,2
1050,-7.62,all,-2.35,2
1050,-5.88,OL,3.53,8
1050,-5.88,all,3.53,8
1050,-3.38,CL,3.12,3
1050,-3.38,all,3.12,3
1050,-3.12,CL,3.12,9
1050,-3.12,all,3.12,9
1050,-1.88,OL,8.22,4
1050,-1.88,all,8.22,4
1150,-9.62,CL,2.73,2
1150,-9.62,all,2.73,2
1150,-9.38,OL,3.25,1
1150,-9.38,CL,4.69,3
1150,-9.38,all,4.69,4
1150,-9.12,CL,-10.55,6
1150,-9.12,all,-10.55,6
1150,-8.88,OL,6.14,2
1150,-8.88,CL,-10.16,1
1150,-8.88,all,5.73,3
1150,-8.62,OL,5.4,5
1150,-8.62,CL,-10.94,2
1150,-8.62,all,5.15,7
1150,-8.38,OL,1.64,5
1150,-8.38,all,1.64,5
1150,-8.12,OL,1.58,15
1150,-8.12,CL,-1.56,4
1150,-8.12,all,0.42,19
1150,-7.62,OL,2.33,2
1150,-7.62,all,2.33,2
1150,-7.38,OL,1.75,12
1150,-7.38,all,1.75,12
1150,-6.88,OL,2.92,2
1150,-6.88,all,2.92,2
1150,-6.38,OL,4.52,4
1150,-6.38,all,4.52,4
1150,-5.88,OL,-0.66,11
1150,-5.88,all,-0.66,11
1150,-3.62,OL,2.26,3
1150,-3.62,all,2.26,3
1150,-3.12,CL,2.34,1
1150,-3.12,all,2.34,1
1250,-9.62,OL,3.16,1
1250,-9.62,CL,-6.25,1
1250,-9.62,all,-1.54,2
1250,-9.38,OL,3.97,1
1250,-9.38,CL,0.78,8
1250,-9.38,all,0.78,9
1250,-9.12,CL,-5.47,11
1250,-9.12,all,-5.47,11
1250,-8.88,OL,1.91,4
1250,-8.88,all,1.91,4
1250,-8.62,OL,4.02,15
1250,-8.62,CL,-2.34,2
1250,-8.62,all,3.97,17
1250,-8.38,OL,-3.84,1
1250,-8.38,all,-3.84,1
1250,-7.88,CL,-3.12,3
1250,-7.88,all,-3.12,3
1250,-7.12,CL,-5.47,2
1250,-7.12,all,-5.47,2
1250,-6.12,OL,0.06,1
1250,-6.12,all,0.06,1
1250,-5.88,OL,0.3,2
1250,-5.88,all,0.3,2
1250,-5.12,CL,-7.82,1
1250,-5.12,all,-7.82,1
1250,-4.88,OL,4.46,2
1250,-4.88,CL,-7.03,1
1250,-4.88,all,1.65,3
1250,-4.62,OL,2.84,5
1250,-4.62,all,2.84,5
1250,-4.38,OL,5.0,1
1250,-4.38,all,5.0,1
1250,-4.12,OL,6.96,1
1250,-4.12,all,6.96,1
1250,-3.88,OL,9.05,1
1250,-3.88,all,9.05,1
1250,-2.62,OL,5.58,12
1250,-2.62,all,5.58,12
1350,-9.88,CL,-7.03,9
1350,-9.88,all,-7.03,9
1350,-9.62,CL,1.17,6
1350,-9.62,all,1.17,6
1350,-9.38,OL,16.46,2
1350,-9.38,CL,2.73,14
1350,-9.38,all,3.12,16
1350,-9.12,CL,-0.78,4
1350,-9.12,all,-0.78,4
1350,-8.88,OL,-3.4,6
1350,-8.88,all,-3.4,6
1350,-8.62,OL,-0.24,1
1350,-8.62,all,-0.24,1
1350,-8.38,OL,4.3,5
1350,-8.38,all,4.3,5
1350,-7.62,CL,-3.12,5
1350,-7.62,all,-3.12,5
1350,-7.12,OL,-2.29,2
1350,-7.12,all,-2.29,2
