log_path,minutes,n_rows,samples_per_sec
logs/Older/3-31 black.csv,2.465333333333333,3698,25
logs/Older/3-21.csv,36.94266666666667,55414,25
logs/Older/3-30.csv,42.61533333333333,63923,25
logs/Older/4-1.csv,14.203333333333337,21305,25
logs/Older/4-11.csv,27.236666666666668,40855,25
logs/Older/4-12 big.csv,170.1,255150,25
logs/April/4-23/log0001.csv,15.781333333333333,23672,25
logs/April/4-23/log0002.csv,5.928,8892,25
logs/April/4-24/4-24 full.csv,97.088,145632,25
logs/April/4-25/4-25 full.csv,87.67733333333334,131516,25
logs/April/4-27 20.10/4-27.csv,23.923333333333336,35885,25
logs/5-2/5-2.csv,58.38933333333333,87584,25
logs/5-8 20.11/5-8.csv,29.93733333333333,44906,25
logs/5-10 20.11/log0003.csv,7.347333333333333,11021,25
logs/5-11 20.11/log0001.csv,15.781333333333333,23672,25
logs/5-11 20.11/log0002.csv,5.928,8892,25
logs/5-11 20.11/log0003.csv,5.776,8664,25
logs/5-12 20.11/5-12.csv,11.81,17715,25
logs/5-17 20.12/log0002.csv,157.5773333333333,236366,25
logs/5-17 20.12/log0003.csv,12.835333333333333,19253,25
logs/5-17 20.12/log0004.csv,13.092666666666666,19639,25
logs/5-17 20.12/log0005.csv,12.948666666666666,19423,25
logs/5-17 20.12/log0006.csv,13.954,20931,25
logs/5-17 20.12/log0007.csv,133.722,200583,25
logs/5-22 20.13/log0001.csv,166.11333333333332,249170,25
logs/5-23 20.14/log0001.csv,23.875333333333334,35813,25
logs/5-23 20.14/log0002.csv,8.876,13314,25
logs/5-23 20.14/log0003.csv,190.12466666666663,285187,25
logs/5-25 20.15/log0001.csv,8.595333333333334,12893,25
logs/5-26 20.15/log0001.csv,26.34,39510,25
logs/5-28 20.15/log0001.csv,164.244,246366,25
logs/5-30 20.16/log0001.csv,45.248000000000005,67872,25
logs/6-7 BIG 20.17a fixed/log0001.csv,502.006,753009,25
logs/6-5 20.17a/log0001.csv,32.29333333333333,48440,25
logs/6-3 20.17/log0001.csv,65.618,98427,25
