log_date,rom_rev,log_path,duration_min,iat_med,iat_p95,iat_max,ect_med,atm_med,egt_min,pct_highway,pct_boost,fbkc_fires,fbkc_deep,fbkc_deep_resume,fbkc_fires_resume,fbkc_min,iam_min,fbkc_retard_pct,knock_recov_med_s,knock_unrecovered,cam_transit_onset_pct,flkc_decrements,flkc_min,flkc_neg_pct,flkc_end_zero,afl_med,afl_end,total_trim_cruise_med,total_trim_matched_med,idc_max,idc_p99,idc_s_over85,maf_v_max
2023-03-31,old_2023_base,logs/Older/3-31 black.csv,6.2,54.0,59.0,64.0,,14.36,,8.1,1.97,0,0,0,0,-1.41,1.0,0.027,,0,,3,-2.25,0.35,True,2.34,1.56,,,95.74,76.6818,2.5,4.6
2026-03-21,garn_base,logs/Older/3-21.csv,36.9,46.4,68.0,78.8,,14.36,28.0,6.0,0.14,0,0,0,0,-4.2,1.0,0.278,,0,,0,-1.0,0.05,True,-3.13,-2.34,-1.5600000000000005,-2.34,55.86,16.78,0.0,3.72
2026-03-30,garn_base,logs/Older/3-30.csv,42.6,64.4,84.2,93.2,,14.36,28.0,15.7,0.0,2,1,1,2,-4.2,1.0,0.103,1.32,0,50.0,0,0.0,0.0,True,-3.125,-3.125,-2.34375,-2.3438,42.23,17.337799999999987,0.0,3.42
2026-04-01,garn_base,logs/Older/4-1.csv,14.2,57.2,71.6,78.8,,14.3647,28.0,19.8,0.84,1,0,0,1,-1.4,1.0,0.183,1.56,0,100.0,0,0.0,0.0,True,0.0,0.0,0.0,0.0,90.26704,35.888605866799814,0.36,4.12
2026-04-11,20.7,logs/Older/4-11.csv,27.2,71.6,84.2,93.2,,14.6549,28.0,6.2,0.16,4,2,1,3,-9.45,1.0,0.448,1.58,0,75.0,0,0.0,0.0,True,-0.78125,-0.78125,0.0,0.0,47.9736,25.874306133333327,0.0,3.52
2026-04-12,20.7,logs/Older/4-12 big.csv,170.1,62.6,93.2,122.0,,14.8,28.0,58.1,0.23,20,2,0,8,-4.2,1.0,0.279,1.42,0,40.0,0,0.0,0.0,True,0.0,1.5625,1.5625,1.5625,67.816,23.19590080000002,0.0,3.9
2026-04-23,20.8,logs/April/4-23/log0001.csv,15.7,50.0,66.2,68.0,,14.2196,29.0,11.6,0.0,1,0,0,0,-1.4,1.0,0.047,0.44,0,100.0,0,0.0,0.0,True,-0.78125,-3.90625,-3.125,-2.7344,33.282133333333334,18.29604000000001,0.0,3.16
2026-04-23,20.8,logs/April/4-23/log0002.csv,6.8,62.6,62.6,66.2,,14.2196,29.0,25.4,0.0,0,0,0,0,0.0,1.0,0.0,,0,,0,0.0,0.0,True,-3.90625,-0.78125,-1.5625,-2.7344,20.015146666666663,15.04530986666667,0.0,2.82
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,97.1,57.2,69.8,98.6,,14.2196,27.0,29.7,0.42,11,1,1,6,-4.2,0.5,0.223,0.76,0,18.2,4,-3.0,0.05,True,-3.125,-2.34375,-1.5625,-1.1719,109.41,27.13,3.64,4.32
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,87.7,68.0,107.6,114.8,,14.3647,28.0,35.9,0.3,4,0,0,2,-2.8,1.0,0.096,1.36,0,50.0,0,0.0,0.0,True,-0.78125,-2.34375,-1.5625,-0.7812,81.3024,24.58544,0.0,4.02
2026-04-27,20.10,logs/April/4-27 20.10/4-27.csv,23.9,62.6,80.6,87.8,,14.51,28.0,11.3,0.05,3,1,1,3,-7.0,1.0,0.607,1.96,0,66.7,0,0.0,0.0,True,0.0,-3.125,-0.78125,-1.9531,48.41,21.583199999999923,0.0,3.5
2026-05-02,20.10,logs/5-2/5-2.csv,58.4,57.2,80.6,89.6,,14.36,27.0,9.6,0.24,6,1,1,4,-4.2,1.0,0.291,1.58,0,50.0,0,0.0,0.0,True,-1.56,-1.56,-1.56,-0.78,90.53,22.281699999999983,0.32,4.12
2026-05-08,20.11,logs/5-8 20.11/5-8.csv,29.9,64.4,118.4,120.2,,14.22,28.0,6.6,0.44,9,1,1,7,-4.2,1.0,0.615,1.04,0,55.6,0,0.0,0.0,True,0.0,0.0,-0.78,-0.39,94.94,30.03899999999994,0.52,4.2
2026-05-10,20.11,logs/5-10 20.11/log0003.csv,7.3,55.4,59.0,64.4,,14.36,27.0,31.5,2.23,0,0,0,0,0.0,1.0,0.0,,0,,14,-1.0,0.75,True,-1.56,-2.34,-0.78,-0.78,91.1217066666667,64.01950933333326,0.4,4.12
2026-05-11,20.11,logs/5-11 20.11/log0001.csv,15.8,46.4,51.8,55.4,,14.36,27.0,19.8,0.68,6,0,0,2,-2.1,1.0,1.538,1.72,0,16.7,5,-1.0,0.16,True,-1.56,0.0,-1.5599999999999998,-1.56,104.61888,26.8109018666667,1.48,4.38
2026-05-11,20.11,logs/5-11 20.11/log0002.csv,5.9,62.6,64.4,64.4,,14.36,30.0,0.0,0.0,0,0,0,0,0.0,1.0,0.0,,0,,0,0.0,0.0,True,0.0,0.0,-4.68,-3.9,19.1522133333333,13.063699199999997,0.0,2.82
2026-05-11,20.11,logs/5-11 20.11/log0003.csv,5.8,71.6,95.0,96.8,,14.36,26.0,20.7,1.7,1,0,0,1,-2.8,1.0,0.139,0.48,0,100.0,7,-1.0,0.66,True,0.0,0.0,0.0,0.78,88.5444266666667,57.22764693333362,0.16,4.08
2026-05-12,20.11,logs/5-12 20.11/5-12.csv,11.8,44.6,64.4,64.4,,14.36,29.0,14.2,0.0,1,0,0,0,-1.4,1.0,0.316,2.24,0,0.0,0,0.0,0.0,True,0.0,0.78,-1.5599999999999998,-1.95,29.11,16.234400000000022,0.0,3.08
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,157.6,84.2,120.2,163.4,,14.51,27.0,66.8,0.75,7,0,0,3,-2.45,1.0,0.102,1.84,0,14.3,0,0.0,0.0,True,0.0,0.78,0.78,0.78,81.2436266666667,28.543896,0.0,4.02
2026-05-17,20.12,logs/5-17 20.12/log0003.csv,12.8,96.8,114.8,120.2,,14.51,28.0,0.0,0.0,0,0,0,0,0.0,1.0,0.0,,0,,0,0.0,0.0,True,0.78,0.0,-0.78,-0.78,27.90944,18.295261866666664,0.0,2.98
2026-05-17,20.12,logs/5-17 20.12/log0004.csv,13.1,68.0,73.4,77.0,,14.51,29.0,0.0,0.0,0,0,0,0,0.0,1.0,0.0,,0,,0,0.0,0.0,True,0.0,-0.78,-2.34,-1.56,25.6026666666667,20.17983253333329,0.0,3.1
2026-05-17,20.12,logs/5-17 20.12/log0005.csv,12.9,86.0,93.2,95.0,,14.65,29.0,0.0,0.0,1,0,0,0,-1.4,1.0,0.211,1.64,0,0.0,0,0.0,0.0,True,-0.78,-1.56,-3.12,-3.9,19.5076266666667,16.373996800000022,0.0,2.78
2026-05-17,20.12,logs/5-17 20.12/log0006.csv,14.0,87.8,105.8,114.8,,14.51,29.0,4.0,0.0,1,0,0,1,-2.8,1.0,0.315,2.64,0,100.0,0,0.0,0.0,True,-1.56,-1.56,-3.12,-3.515,49.07264,19.432378666666708,0.0,3.46
2026-05-17,20.12,logs/5-17 20.12/log0007.csv,133.7,89.6,114.8,147.2,,14.51,27.0,78.1,1.41,14,1,1,6,-7.0,1.0,0.402,2.24,0,28.6,57,-2.5,0.27,True,-0.78,-0.78,1.5699999999999998,1.565,81.0837333333333,32.20592639999998,0.0,4.02
2026-05-22,20.13,logs/5-22 20.13/log0001.csv,166.1,71.6,96.8,122.0,,14.65,27.0,74.4,1.14,21,0,0,11,-2.8,1.0,0.364,1.88,0,33.3,0,0.0,0.0,True,0.0,-1.56,0.0,0.0,77.87392,31.97720053333331,0.0,3.96
2026-05-23,20.14,logs/5-23 20.14/log0001.csv,23.9,82.4,100.4,109.4,,14.8,28.0,0.0,0.08,3,1,1,1,-4.2,1.0,0.349,1.72,0,0.0,0,0.0,0.0,True,-0.78,-0.78,-3.13,-3.125,47.1863466666667,20.475118933333256,0.0,3.46
2026-05-23,20.14,logs/5-23 20.14/log0002.csv,8.9,60.8,75.2,75.2,,14.8,30.0,0.0,0.0,0,0,0,0,0.0,1.0,0.0,,0,,0,0.0,0.0,True,-0.78,-1.56,-2.34,-2.34,16.6545066666667,11.976089599999968,0.0,2.92
2026-05-23,20.14,logs/5-23 20.14/log0003.csv,190.1,69.8,84.2,125.6,,14.8,27.0,70.1,1.22,21,3,3,13,-8.05,1.0,0.245,1.04,0,33.3,69,-1.0,0.37,True,0.0,-2.34,0.0,0.0,104.77376,34.12086186666667,0.72,4.38
