cell,volts,gs_old,gs_new,pct,err,n,changed
0,0.93,1.148,1.148,0.0,,0,False
1,0.94,1.257,1.257,0.0,,0,False
2,0.987,1.405,1.405,0.0,,0,False
3,1.0,1.561,1.561,0.0,,0,False
4,1.059,1.664,1.664,0.0,,0,False
5,1.073,1.862,1.862,0.0,,0,False
6,1.128,2.295,2.295,0.0,,0,False
7,1.14,2.485,2.485,0.0,,0,False
8,1.18,2.88,2.88,0.0,,0,False
9,1.22,3.507,3.507,0.0,,0,False
10,1.28,4.0,4.0,0.0,,2,False
11,1.302,4.333,4.333,0.0,,2,False
12,1.363,5.344,5.344,0.0,,2,False
13,1.395,5.603,5.603,0.0,,2,False
14,1.45,6.436,6.436,0.0,,13,False
15,1.48,7.579,7.579,0.0,,46,False
16,1.547,8.108,8.108,0.0,2.73,488,False
17,1.593,9.267,9.267,0.0,1.56,1411,False
18,1.642,9.965,9.965,0.0,0.78,3970,False
19,1.68,11.077,11.077,0.0,0.0,4753,False
20,1.745,11.894,11.894,0.0,0.0,10259,False
21,1.81,14.258,14.258,0.0,-1.56,13555,False
22,1.85,15.657,15.565,-0.59,-2.6,11976,True
23,1.91,17.549,17.434,-0.66,-2.92,30438,True
24,1.989,19.93,19.805,-0.63,-2.34,22944,True
25,2.05,22.068,21.954,-0.51,-2.25,32188,True
26,2.115,24.28,24.156,-0.51,-1.56,22320,True
27,2.168,27.173,27.031,-0.52,-2.34,23515,True
28,2.253,30.915,30.754,-0.52,-2.34,24941,True
29,2.285,33.057,33.057,0.0,-1.56,28823,False
30,2.388,36.822,36.822,0.0,0.0,40315,False
31,2.449,42.218,42.218,0.0,-0.78,37770,False
32,2.548,47.373,47.373,0.0,1.19,52055,False
33,2.62,50.526,50.812,0.57,2.97,40704,True
34,2.733,57.368,57.368,0.0,2.63,49266,False
35,2.827,73.888,73.167,-0.98,-7.67,16824,True
36,2.912,80.068,78.938,-1.41,-6.66,9408,True
37,2.99,84.989,84.203,-0.92,-2.6,3727,True
38,3.065,90.132,89.285,-0.94,-1.84,1042,True
39,3.151,110.681,109.573,-1.0,-6.84,559,True
40,3.26,125.682,125.682,0.0,-3.34,203,False
41,3.408,138.519,138.519,0.0,-3.37,155,False
42,3.52,163.451,163.451,0.0,-7.28,137,False
43,3.614,172.402,172.402,0.0,,50,False
44,3.71,177.899,177.899,0.0,2.39,140,False
45,3.84,207.58,207.58,0.0,,6,False
46,3.968,232.278,232.278,0.0,,0,False
47,4.11,262.959,262.959,0.0,,0,False
48,4.234,291.804,291.804,0.0,,0,False
49,4.369,323.188,323.188,0.0,,0,False
50,4.52,356.453,356.453,0.0,,0,False
51,4.667,379.267,379.267,0.0,,0,False
52,4.79,404.859,404.859,0.0,,0,False
53,4.963,440.615,440.615,0.0,,0,False
