source,rom_rev,flashed,V,g_s
20.11_screenshot_2026-05-03,20.11,false,0.93,1.262573
20.11_screenshot_2026-05-03,20.11,false,0.94,1.397103
20.11_screenshot_2026-05-03,20.11,false,0.9871,1.560885
20.11_screenshot_2026-05-03,20.11,false,1,1.734354
20.11_screenshot_2026-05-03,20.11,false,1.0587,1.848947
20.11_screenshot_2026-05-03,20.11,false,1.0727,2.068666
20.11_screenshot_2026-05-03,20.11,false,1.1282,2.549458
20.11_screenshot_2026-05-03,20.11,false,1.1403,2.760797
20.11_screenshot_2026-05-03,20.11,false,1.1804,3.199799
20.11_screenshot_2026-05-03,20.11,false,1.2201,3.89676
20.11_screenshot_2026-05-03,20.11,false,1.28,4.399962
20.11_screenshot_2026-05-03,20.11,false,1.3021,4.699582
20.11_screenshot_2026-05-03,20.11,false,1.3628,5.624956
20.11_screenshot_2026-05-03,20.11,false,1.3948,6.225371
20.11_screenshot_2026-05-03,20.11,false,1.45,6.565505
20.11_screenshot_2026-05-03,20.11,false,1.4801,7.731196
20.11_screenshot_2026-05-03,20.11,false,1.5473,8.044332
20.11_screenshot_2026-05-03,20.11,false,1.593,9.456532
20.11_screenshot_2026-05-03,20.11,false,1.6417,9.9646
20.11_screenshot_2026-05-03,20.11,false,1.68,11.0771
20.11_screenshot_2026-05-03,20.11,false,1.7451,12.5195
20.11_screenshot_2026-05-03,20.11,false,1.81,15.00816
20.11_screenshot_2026-05-03,20.11,false,1.85,15.6572
20.11_screenshot_2026-05-03,20.11,false,1.91,17.54912
20.11_screenshot_2026-05-03,20.11,false,1.9888,20.13153
20.11_screenshot_2026-05-03,20.11,false,2.05,22.0675
20.11_screenshot_2026-05-03,20.11,false,2.1152,24.28007
20.11_screenshot_2026-05-03,20.11,false,2.1682,27.4473
20.11_screenshot_2026-05-03,20.11,false,2.253,30.91469
20.11_screenshot_2026-05-03,20.11,false,2.2849,33.73144
20.11_screenshot_2026-05-03,20.11,false,2.3877,37.57346
20.11_screenshot_2026-05-03,20.11,false,2.449,42.21833
20.11_screenshot_2026-05-03,20.11,false,2.5482,47.37292
20.11_screenshot_2026-05-03,20.11,false,2.62,50.52607
20.11_screenshot_2026-05-03,20.11,false,2.7327,58.53896
20.11_screenshot_2026-05-03,20.11,false,2.8274,67.17062
20.11_screenshot_2026-05-03,20.11,false,2.9125,72.78947
20.11_screenshot_2026-05-03,20.11,false,2.99,84.14777
20.11_screenshot_2026-05-03,20.11,false,3.0654,89.23958
20.11_screenshot_2026-05-03,20.11,false,3.1508,103.6679
20.11_screenshot_2026-05-03,20.11,false,3.26,112.0047
20.11_screenshot_2026-05-03,20.11,false,3.408,135.7898
20.11_screenshot_2026-05-03,20.11,false,3.52,161.8488
20.11_screenshot_2026-05-03,20.11,false,3.6137,172.4018
20.11_screenshot_2026-05-03,20.11,false,3.7098,177.8987
20.11_screenshot_2026-05-03,20.11,false,3.84,203.51
20.11_screenshot_2026-05-03,20.11,false,3.9677,232.2782
20.11_screenshot_2026-05-03,20.11,false,4.11,262.9586
20.11_screenshot_2026-05-03,20.11,false,4.2338,286.0545
20.11_screenshot_2026-05-03,20.11,false,4.369,316.8197
20.11_screenshot_2026-05-03,20.11,false,4.52,349.4293
20.11_screenshot_2026-05-03,20.11,false,4.6671,379.2666
20.11_screenshot_2026-05-03,20.11,false,4.79,404.8592
20.11_screenshot_2026-05-03,20.11,false,4.9634,440.615
