time_s,dfco_dur_s,rpm_exit,rpm_peak,load_exit,load_peak,app_exit,app_peak,app_rise_1s,avcs_exit,avcs_peak,avcs_rise,t_to_90pct_avcs_s,afc_min,afc_active_s,fbkc_min,fbkc_neg_n,knock_t_s_after_exit,clol_exit
242.84,4.52,2182,2266,0.29,0.57,5.1,12.9,7.5,17,21,4,1.24,-4.69,0.52,0.0,0,,10
349.2,2.44,3287,3676,0.56,0.82,13.7,20.4,6.7,14,20,6,0.8,-1.56,0.32,0.0,0,,10
355.44,2.4,2509,2761,0.53,0.88,12.6,19.2,6.7,19,20,1,1.44,-2.34,0.36,0.0,0,,10
399.2,2.08,2762,2941,0.57,1.0,14.5,23.5,9.0,17,20,3,1.56,-6.25,2.24,0.0,0,,10
420.84,3.4,2561,2809,0.91,1.37,22.4,37.2,14.9,18,23,5,1.28,-7.03,2.2,-2.8,24,0.64,10
612.44,2.24,2397,2769,0.38,0.66,7.4,13.7,5.5,17,20,3,1.08,-3.13,0.4,0.0,0,,10
628.8,1.52,2771,2828,0.21,0.48,2.4,10.6,6.7,14,20,6,3.0,-6.25,3.0,0.0,0,,8
683.36,3.84,2210,3926,1.25,1.76,34.1,40.4,6.3,19,27,8,1.64,0.0,0.0,0.0,0,,10
748.08,4.36,2626,2875,0.54,0.82,12.6,18.0,5.5,18,20,2,1.16,-6.25,3.0,0.0,0,,10
827.84,1.56,2349,2537,0.41,0.76,9.4,16.1,6.7,19,20,1,0.36,-10.16,2.44,0.0,0,,8
831.6,1.0,2585,2873,0.49,0.82,12.2,17.6,5.5,19,21,2,1.32,-10.16,2.88,0.0,0,,10
839.4,4.6,2753,3761,0.21,1.22,0.0,27.8,12.6,0,20,20,1.32,-6.25,1.52,0.0,0,,10
842.76,1.36,3182,3448,0.77,0.99,19.2,24.3,5.1,20,21,1,0.56,-3.13,2.0,0.0,0,,10
853.0,1.8,2992,3063,0.26,0.64,4.3,14.5,10.2,13,20,7,0.88,-7.81,2.28,0.0,0,,10
857.48,1.84,2812,3117,0.32,0.76,7.4,16.5,9.0,17,20,3,1.64,-10.16,2.8,0.0,0,,10
888.96,3.68,2217,2625,0.42,1.05,7.4,22.4,8.2,18,20,2,0.76,-7.81,0.6,0.0,0,,10
1159.28,3.96,2504,2723,0.3,0.42,2.8,10.2,6.7,18,19,1,0.04,-4.69,0.44,0.0,0,,10
1190.16,2.76,2738,2900,0.41,0.79,9.8,17.6,7.8,18,20,2,1.28,-7.81,3.0,0.0,0,,10
1259.04,1.44,2592,2768,0.48,0.73,11.0,16.1,5.1,19,21,2,1.72,-6.25,3.0,0.0,0,,10
1345.92,0.4,2946,3613,0.42,1.28,10.6,31.8,21.2,15,21,6,1.0,-2.34,0.32,0.0,0,,8
1425.92,3.16,1458,3136,0.45,1.87,49.8,78.0,28.2,1,2,1,0.04,-1.56,0.8,0.0,0,,10
1512.44,5.48,2928,3659,0.17,1.78,0.0,74.5,74.5,1,6,5,0.92,-0.78,1.28,0.0,0,,10
1517.84,3.36,2031,2888,0.65,1.04,13.3,23.1,9.0,16,21,5,2.56,-5.47,3.0,0.0,0,,10
1545.48,0.88,1454,3924,0.19,2.34,0.0,86.7,86.7,1,3,2,1.6,-7.81,0.8,0.0,0,,10
1664.36,5.44,1648,1648,0.24,0.67,0.0,11.0,9.4,1,9,8,2.48,-10.16,3.0,0.0,0,,10
1857.04,3.32,1418,4842,0.96,2.05,69.8,94.1,24.3,1,8,7,0.56,-10.94,0.44,0.0,0,,10
1867.8,5.52,1995,2308,0.22,1.07,0.0,23.9,13.3,1,19,18,2.24,-7.03,3.0,0.0,0,,10
1878.6,1.8,1980,2634,0.22,1.1,0.0,24.3,20.8,1,20,19,1.6,-7.81,3.0,0.0,0,,10
1888.4,3.28,2673,3549,0.75,1.08,17.6,27.4,9.8,18,21,3,2.44,-6.25,1.6,0.0,0,,10
1905.56,1.64,2955,3077,0.63,0.98,15.3,23.5,7.1,17,20,3,2.36,-6.25,1.48,0.0,0,,10
2058.36,3.36,2175,2539,0.66,0.94,14.5,20.4,5.9,18,20,2,1.08,-7.81,3.0,0.0,0,,10
2065.12,2.52,1593,2423,0.25,1.6,0.0,32.9,32.9,1,23,22,1.76,-6.25,0.96,0.0,0,,10
2078.32,2.88,2309,2466,0.47,0.85,10.6,17.6,7.1,18,20,2,0.32,-5.47,1.72,0.0,0,,10
