log_date,rom_rev,log_path,entry_condition,n_pulls,t_to_peak_med_s,peak_mrp_med,attainment_med,knock_during
2026-04-12,20.7,logs/Older/4-12 big.csv,post_partial,4,1.56,8.47,0.856,1
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,post_dfco,4,1.82,6.52,0.686,0
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,post_dfco,4,1.64,8.62,0.715,0
2026-05-11,20.11,logs/5-11 20.11/log0001.csv,post_dfco,3,2.76,8.4,0.584,1
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,post_dfco,6,2.7,8.33,0.839,0
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,post_partial,19,1.72,7.97,0.783,1
2026-05-17,20.12,logs/5-17 20.12/log0007.csv,post_dfco,11,3.32,12.61,1.206,2
2026-05-17,20.12,logs/5-17 20.12/log0007.csv,post_partial,19,1.44,6.95,0.711,0
2026-05-22,20.13,logs/5-22 20.13/log0001.csv,post_dfco,10,2.36,7.54,0.797,1
2026-05-22,20.13,logs/5-22 20.13/log0001.csv,post_partial,24,2.06,8.98,0.919,2
2026-05-23,20.14,logs/5-23 20.14/log0003.csv,post_dfco,11,2.6,8.11,0.832,1
2026-05-23,20.14,logs/5-23 20.14/log0003.csv,post_partial,27,1.8,8.25,0.937,0
2026-05-28,20.15,logs/5-28 20.15/log0001.csv,post_dfco,15,2.16,6.37,0.731,1
2026-05-28,20.15,logs/5-28 20.15/log0001.csv,post_partial,17,2.12,9.13,0.89,0
2026-05-30,20.16,logs/5-30 20.16/log0001.csv,post_dfco,3,2.56,14.64,0.946,0
2026-06-03,20.17,logs/6-3 20.17/log0001.csv,post_partial,3,1.44,10.87,0.64,0
2026-06-05,20.17a,logs/6-5 20.17a/log0001.csv,post_dfco,3,1.88,9.42,0.576,0
2026-06-07,20.17a,logs/6-7 BIG 20.17a fixed/log0001.csv,post_dfco,28,2.88,8.33,0.523,6
2026-06-07,20.17a,logs/6-7 BIG 20.17a fixed/log0001.csv,post_partial,53,2.28,8.84,0.557,3
2026-06-21,20.18,logs/6-21 pcv fix 20.18/6-21 6 logs combined.csv,post_dfco,17,2.68,9.56,0.582,4
2026-06-21,20.18,logs/6-21 pcv fix 20.18/6-21 6 logs combined.csv,post_partial,20,1.96,6.8,0.454,1
2026-07-12,20.18,logs/7-12 20.18/7-12 20.18.csv,post_dfco,3,2.48,10.29,0.603,0
2026-07-15,20.18a,logs/7-15 20.18a/7-15 20.18a.csv,post_dfco,5,2.0,7.24,0.394,0
2026-07-17,20.18a,logs/7-17 2 20.18a/7-17 2 20.18a.csv,post_dfco,5,2.32,7.53,0.439,0
2026-07-17,20.18a,logs/7-17 2 20.18a/7-17 2 20.18a.csv,post_partial,3,3.28,13.33,0.786,1
2026-07-17,20.18a,logs/7-17 20.18a/7-17 20.18a.csv,post_dfco,4,3.0,7.53,0.447,0
2026-07-18,20.18a,logs/7-18 20.18a/7-18 20.18a.csv,post_dfco,11,2.72,9.56,0.581,2
2026-07-18,20.18a,logs/7-18 20.18a/7-18 20.18a.csv,post_partial,31,2.64,10.29,0.606,0
2026-07-19,20.19,logs/7-19 20.19/7-19 20.19.csv,post_dfco,7,3.52,13.04,0.774,1
2026-07-19,20.19,logs/7-19 20.19/7-19 20.19.csv,post_partial,17,1.92,8.98,0.539,2
