rom_rev,n_total,pct_dfco,n_dfco,med_dfco,n_fueled,med_fueled
stock,88,50.0,44,7.56735,44,7.341899999999999
20.7,388,79.38144329896907,308,7.26685,80,4.320750000000001
20.8,215,69.30232558139535,149,7.4632000000000005,66,4.21
20.9,89,80.89887640449437,72,7.525199999999999,17,9.3636
20.10,99,69.6969696969697,69,8.049999999999999,30,8.155
20.11,192,75.52083333333334,145,7.619999999999999,47,7.65
20.12,613,77.16150081566069,473,7.700000000000001,140,2.9799999999999995
20.13,363,79.61432506887053,289,7.529999999999999,74,3.7749999999999995
20.14,445,57.97752808988764,258,7.485,187,3.459999999999999
20.15,395,75.44303797468355,298,7.700000000000001,97,3.2700000000000014
20.16,76,53.94736842105263,41,7.9399999999999995,35,7.949999999999999
20.17,76,69.73684210526315,53,7.59,23,3.509999999999998
20.17a,966,71.63561076604555,692,7.720000000000001,274,5.3100000000000005
20.18,867,76.00922722029988,659,7.7059,208,6.07
