log_date,rom_rev,log_path,v_lo,v_hi,n,trim_med
2026-03-21,garn_base,logs/Older/3-21.csv,1.6,1.8,266,1.175
2026-03-21,garn_base,logs/Older/3-21.csv,1.8,2.0,1952,-0.78
2026-03-21,garn_base,logs/Older/3-21.csv,2.0,2.2,4854,0.0
2026-03-21,garn_base,logs/Older/3-21.csv,2.2,2.4,3187,-3.9
2026-03-21,garn_base,logs/Older/3-21.csv,2.4,2.6,224,-7.03
2026-03-30,garn_base,logs/Older/3-30.csv,1.8,2.0,1066,-3.125
2026-03-30,garn_base,logs/Older/3-30.csv,2.0,2.2,3411,-1.5625
2026-03-30,garn_base,logs/Older/3-30.csv,2.2,2.4,3376,-2.3438
2026-03-30,garn_base,logs/Older/3-30.csv,2.4,2.6,1239,-2.3438
2026-04-01,garn_base,logs/Older/4-1.csv,1.8,2.0,171,0.7812
2026-04-01,garn_base,logs/Older/4-1.csv,2.0,2.2,1241,0.0
2026-04-01,garn_base,logs/Older/4-1.csv,2.2,2.4,1699,-0.7812
2026-04-01,garn_base,logs/Older/4-1.csv,2.4,2.6,884,0.0
2026-04-11,20.7,logs/Older/4-11.csv,1.8,2.0,507,1.5625
2026-04-11,20.7,logs/Older/4-11.csv,2.0,2.2,2157,0.0
2026-04-11,20.7,logs/Older/4-11.csv,2.2,2.4,1410,0.0
2026-04-11,20.7,logs/Older/4-11.csv,2.4,2.6,134,-0.7812
2026-04-12,20.7,logs/Older/4-12 big.csv,1.8,2.0,1392,0.0
2026-04-12,20.7,logs/Older/4-12 big.csv,2.0,2.2,9816,-0.7812
2026-04-12,20.7,logs/Older/4-12 big.csv,2.2,2.4,28660,-0.7812
2026-04-12,20.7,logs/Older/4-12 big.csv,2.4,2.6,44308,3.125
2026-04-12,20.7,logs/Older/4-12 big.csv,2.6,2.8,14078,4.6875
2026-04-12,20.7,logs/Older/4-12 big.csv,2.8,3.0,435,3.125
2026-04-23,20.8,logs/April/4-23/log0001.csv,1.8,2.0,409,-2.3438
2026-04-23,20.8,logs/April/4-23/log0001.csv,2.0,2.2,671,-2.3438
2026-04-23,20.8,logs/April/4-23/log0001.csv,2.2,2.4,752,-3.125
2026-04-23,20.8,logs/April/4-23/log0001.csv,2.4,2.6,670,-3.9062
2026-04-23,20.8,logs/April/4-23/log0002.csv,1.8,2.0,561,-2.3438
2026-04-23,20.8,logs/April/4-23/log0002.csv,2.0,2.2,921,0.0
2026-04-23,20.8,logs/April/4-23/log0002.csv,2.2,2.4,1315,-3.125
2026-04-23,20.8,logs/April/4-23/log0002.csv,2.4,2.6,408,-3.125
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,1.6,1.8,166,0.0
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,1.8,2.0,2246,-1.5625
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.0,2.2,9852,-1.5625
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.2,2.4,12235,-3.125
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.4,2.6,9426,-0.7812
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.6,2.8,3162,0.0
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,2.8,3.0,239,0.0
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.6,1.8,125,2.3438
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,1.8,2.0,3109,0.7812
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,2.0,2.2,9569,0.0
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,2.2,2.4,11205,-2.3438
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,2.4,2.6,10080,-2.3438
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,2.6,2.8,2527,-0.7812
2026-04-27,20.10,logs/April/4-27 20.10/4-27.csv,1.8,2.0,838,1.5625
2026-04-27,20.10,logs/April/4-27 20.10/4-27.csv,2.0,2.2,2144,-1.5625
2026-04-27,20.10,logs/April/4-27 20.10/4-27.csv,2.2,2.4,1241,-2.3438
2026-04-27,20.10,logs/April/4-27 20.10/4-27.csv,2.4,2.6,373,-3.9062
2026-05-02,20.10,logs/5-2/5-2.csv,1.8,2.0,2657,0.0
2026-05-02,20.10,logs/5-2/5-2.csv,2.0,2.2,7900,0.0
2026-05-02,20.10,logs/5-2/5-2.csv,2.2,2.4,6912,-3.12
2026-05-02,20.10,logs/5-2/5-2.csv,2.4,2.6,2731,-3.12
2026-05-02,20.10,logs/5-2/5-2.csv,2.6,2.8,236,-0.78
2026-05-08,20.11,logs/5-8 20.11/5-8.csv,1.8,2.0,557,0.0
2026-05-08,20.11,logs/5-8 20.11/5-8.csv,2.0,2.2,3417,-1.56
2026-05-08,20.11,logs/5-8 20.11/5-8.csv,2.2,2.4,3098,-0.78
2026-05-08,20.11,logs/5-8 20.11/5-8.csv,2.4,2.6,827,0.0
2026-05-10,20.11,logs/5-10 20.11/log0003.csv,2.0,2.2,452,-0.78
2026-05-10,20.11,logs/5-10 20.11/log0003.csv,2.2,2.4,892,-1.56
2026-05-10,20.11,logs/5-10 20.11/log0003.csv,2.4,2.6,608,-0.78
2026-05-11,20.11,logs/5-11 20.11/log0001.csv,1.8,2.0,1666,2.34
2026-05-11,20.11,logs/5-11 20.11/log0001.csv,2.0,2.2,1903,-0.78
2026-05-11,20.11,logs/5-11 20.11/log0001.csv,2.2,2.4,2188,-2.34
2026-05-11,20.11,logs/5-11 20.11/log0001.csv,2.4,2.6,460,-2.34
2026-05-11,20.11,logs/5-11 20.11/log0002.csv,2.0,2.2,1271,-4.68
2026-05-11,20.11,logs/5-11 20.11/log0002.csv,2.2,2.4,568,-3.9
2026-05-11,20.11,logs/5-11 20.11/log0002.csv,2.4,2.6,115,-2.34
2026-05-11,20.11,logs/5-11 20.11/log0003.csv,2.0,2.2,286,0.78
2026-05-11,20.11,logs/5-11 20.11/log0003.csv,2.2,2.4,822,0.78
2026-05-11,20.11,logs/5-11 20.11/log0003.csv,2.4,2.6,329,-1.56
2026-05-12,20.11,logs/5-12 20.11/5-12.csv,1.6,1.8,101,-3.91
2026-05-12,20.11,logs/5-12 20.11/5-12.csv,1.8,2.0,404,0.0
2026-05-12,20.11,logs/5-12 20.11/5-12.csv,2.0,2.2,1566,-0.78
2026-05-12,20.11,logs/5-12 20.11/5-12.csv,2.2,2.4,992,-3.12
2026-05-12,20.11,logs/5-12 20.11/5-12.csv,2.4,2.6,149,-3.91
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,1.8,2.0,1909,0.0
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,2.0,2.2,11783,0.78
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,2.2,2.4,26514,1.56
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,2.4,2.6,29598,2.34
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,2.6,2.8,14050,0.78
2026-05-17,20.12,logs/5-17 20.12/log0002.csv,2.8,3.0,1291,0.0
2026-05-17,20.12,logs/5-17 20.12/log0003.csv,1.8,2.0,1352,-0.78
2026-05-17,20.12,logs/5-17 20.12/log0003.csv,2.0,2.2,1679,0.78
2026-05-17,20.12,logs/5-17 20.12/log0003.csv,2.2,2.4,666,-0.78
2026-05-17,20.12,logs/5-17 20.12/log0004.csv,1.8,2.0,939,-2.34
2026-05-17,20.12,logs/5-17 20.12/log0004.csv,2.0,2.2,1501,-1.56
2026-05-17,20.12,logs/5-17 20.12/log0004.csv,2.2,2.4,449,-1.56
2026-05-17,20.12,logs/5-17 20.12/log0005.csv,1.8,2.0,469,-3.9
2026-05-17,20.12,logs/5-17 20.12/log0005.csv,2.0,2.2,798,-0.78
2026-05-17,20.12,logs/5-17 20.12/log0005.csv,2.2,2.4,172,-7.03
2026-05-17,20.12,logs/5-17 20.12/log0006.csv,1.8,2.0,1017,-1.56
2026-05-17,20.12,logs/5-17 20.12/log0006.csv,2.0,2.2,2000,-3.12
2026-05-17,20.12,logs/5-17 20.12/log0006.csv,2.2,2.4,726,-4.69
2026-05-17,20.12,logs/5-17 20.12/log0006.csv,2.4,2.6,318,-3.91
2026-05-17,20.12,logs/5-17 20.12/log0007.csv,1.8,2.0,1236,0.0
2026-05-17,20.12,logs/5-17 20.12/log0007.csv,2.0,2.2,9488,1.57
2026-05-17,20.12,logs/5-17 20.12/log0007.csv,2.2,2.4,22438,1.56
2026-05-17,20.12,logs/5-17 20.12/log0007.csv,2.4,2.6,31496,1.57
2026-05-17,20.12,logs/5-17 20.12/log0007.csv,2.6,2.8,14086,2.34
2026-05-17,20.12,logs/5-17 20.12/log0007.csv,2.8,3.0,640,1.56
2026-05-17,20.12,logs/5-17 20.12/log0007.csv,3.0,3.2,103,1.56
2026-05-22,20.13,logs/5-22 20.13/log0001.csv,1.8,2.0,1817,-1.56
2026-05-22,20.13,logs/5-22 20.13/log0001.csv,2.0,2.2,11323,0.0
2026-05-22,20.13,logs/5-22 20.13/log0001.csv,2.2,2.4,25670,0.78
2026-05-22,20.13,logs/5-22 20.13/log0001.csv,2.4,2.6,22379,0.0
2026-05-22,20.13,logs/5-22 20.13/log0001.csv,2.6,2.8,4185,0.0
2026-05-22,20.13,logs/5-22 20.13/log0001.csv,2.8,3.0,383,0.0
2026-05-23,20.14,logs/5-23 20.14/log0001.csv,2.0,2.2,761,-2.34
2026-05-23,20.14,logs/5-23 20.14/log0001.csv,2.2,2.4,932,-3.91
2026-05-23,20.14,logs/5-23 20.14/log0002.csv,1.8,2.0,712,-2.34
2026-05-23,20.14,logs/5-23 20.14/log0002.csv,2.0,2.2,794,-0.78
2026-05-23,20.14,logs/5-23 20.14/log0002.csv,2.2,2.4,607,-3.91
2026-05-23,20.14,logs/5-23 20.14/log0003.csv,1.8,2.0,1867,-0.78
2026-05-23,20.14,logs/5-23 20.14/log0003.csv,2.0,2.2,11548,-0.78
2026-05-23,20.14,logs/5-23 20.14/log0003.csv,2.2,2.4,22841,0.0
2026-05-23,20.14,logs/5-23 20.14/log0003.csv,2.4,2.6,19065,0.0
2026-05-23,20.14,logs/5-23 20.14/log0003.csv,2.6,2.8,5517,0.0
2026-05-23,20.14,logs/5-23 20.14/log0003.csv,2.8,3.0,723,0.0
2026-05-23,20.14,logs/5-23 20.14/log0003.csv,3.0,3.2,116,0.0
2026-05-25,20.15,logs/5-25 20.15/log0001.csv,1.8,2.0,440,0.78
2026-05-25,20.15,logs/5-25 20.15/log0001.csv,2.0,2.2,862,-2.34
2026-05-25,20.15,logs/5-25 20.15/log0001.csv,2.2,2.4,940,-2.34
2026-05-25,20.15,logs/5-25 20.15/log0001.csv,2.4,2.6,131,0.0
2026-05-26,20.15,logs/5-26 20.15/log0001.csv,1.8,2.0,801,-3.125
2026-05-26,20.15,logs/5-26 20.15/log0001.csv,2.0,2.2,1837,-2.3438
2026-05-26,20.15,logs/5-26 20.15/log0001.csv,2.2,2.4,2786,-2.3438
2026-05-26,20.15,logs/5-26 20.15/log0001.csv,2.4,2.6,874,0.0
2026-05-28,20.15,logs/5-28 20.15/log0001.csv,1.8,2.0,3469,-2.34
2026-05-28,20.15,logs/5-28 20.15/log0001.csv,2.0,2.2,13750,-0.78
2026-05-28,20.15,logs/5-28 20.15/log0001.csv,2.2,2.4,26521,-0.78
2026-05-28,20.15,logs/5-28 20.15/log0001.csv,2.4,2.6,21616,0.0
2026-05-28,20.15,logs/5-28 20.15/log0001.csv,2.6,2.8,4782,-0.78
2026-05-28,20.15,logs/5-28 20.15/log0001.csv,2.8,3.0,432,-0.78
2026-05-30,20.16,logs/5-30 20.16/log0001.csv,1.8,2.0,1915,-2.35
2026-05-30,20.16,logs/5-30 20.16/log0001.csv,2.0,2.2,4416,-1.56
2026-05-30,20.16,logs/5-30 20.16/log0001.csv,2.2,2.4,2538,-3.13
2026-05-30,20.16,logs/5-30 20.16/log0001.csv,2.4,2.6,1112,0.0
2026-05-30,20.16,logs/5-30 20.16/log0001.csv,2.6,2.8,426,0.0
2026-06-03,20.17,logs/6-3 20.17/log0001.csv,1.2,1.4,103,-4.68
2026-06-03,20.17,logs/6-3 20.17/log0001.csv,1.8,2.0,2408,-2.34
2026-06-03,20.17,logs/6-3 20.17/log0001.csv,2.0,2.2,7543,-0.78
2026-06-03,20.17,logs/6-3 20.17/log0001.csv,2.2,2.4,7505,-1.56
2026-06-03,20.17,logs/6-3 20.17/log0001.csv,2.4,2.6,3036,0.0
2026-06-03,20.17,logs/6-3 20.17/log0001.csv,2.6,2.8,257,0.0
2026-06-05,20.17a,logs/6-5 20.17a/log0001.csv,1.8,2.0,555,-3.9
2026-06-05,20.17a,logs/6-5 20.17a/log0001.csv,2.0,2.2,2472,-0.78
2026-06-05,20.17a,logs/6-5 20.17a/log0001.csv,2.2,2.4,2556,-3.13
2026-06-05,20.17a,logs/6-5 20.17a/log0001.csv,2.4,2.6,589,-1.56
2026-06-05,20.17a,logs/6-5 20.17a/log0001.csv,2.6,2.8,145,0.0
2026-06-07,20.17a,logs/6-7 BIG 20.17a fixed/log0001.csv,1.6,1.8,215,-1.56
2026-06-07,20.17a,logs/6-7 BIG 20.17a fixed/log0001.csv,1.8,2.0,9786,-2.34
2026-06-07,20.17a,logs/6-7 BIG 20.17a fixed/log0001.csv,2.0,2.2,41646,-0.78
2026-06-07,20.17a,logs/6-7 BIG 20.17a fixed/log0001.csv,2.2,2.4,66357,-0.78
2026-06-07,20.17a,logs/6-7 BIG 20.17a fixed/log0001.csv,2.4,2.6,49381,0.0
2026-06-07,20.17a,logs/6-7 BIG 20.17a fixed/log0001.csv,2.6,2.8,9099,0.0
2026-06-07,20.17a,logs/6-7 BIG 20.17a fixed/log0001.csv,2.8,3.0,1046,0.0
2026-06-07,20.17a,logs/6-7 BIG 20.17a fixed/log0001.csv,3.0,3.2,130,0.0
2026-06-13,20.17a,logs/6-13 17a leak fix/log0001.csv,1.8,2.0,564,3.91
2026-06-13,20.17a,logs/6-13 17a leak fix/log0001.csv,2.0,2.2,525,0.0
2026-06-13,20.17a,logs/6-13 17a leak fix/log0001.csv,2.2,2.4,895,-0.78
2026-06-14,20.17a,logs/6-13 17a leak fix/log0002.csv,1.8,2.0,240,0.79
2026-06-14,20.17a,logs/6-13 17a leak fix/log0002.csv,2.0,2.2,440,-4.69
2026-06-14,20.17a,logs/6-13 17a leak fix/log0002.csv,2.2,2.4,802,-6.25
2026-06-14,20.17a,logs/6-13 17a leak fix/log0002.csv,2.4,2.6,380,-5.47
2026-06-14,20.17a,logs/6-13 17a leak fix/log0003.csv,1.8,2.0,531,-1.56
2026-06-14,20.17a,logs/6-13 17a leak fix/log0003.csv,2.0,2.2,1108,-0.78
2026-06-14,20.17a,logs/6-13 17a leak fix/log0003.csv,2.2,2.4,558,-4.69
2026-06-14,20.17a,logs/6-13 17a leak fix/log0004.csv,1.8,2.0,856,-4.69
2026-06-14,20.17a,logs/6-13 17a leak fix/log0004.csv,2.0,2.2,708,-1.56
2026-06-14,20.17a,logs/6-13 17a leak fix/log0004.csv,2.2,2.4,450,-2.34
2026-06-15,20.17a,logs/6-15/log0001.csv,1.8,2.0,622,-2.34
2026-06-15,20.17a,logs/6-15/log0001.csv,2.0,2.2,1291,-3.9
2026-06-15,20.17a,logs/6-15/log0001.csv,2.2,2.4,1477,-4.69
2026-06-15,20.17a,logs/6-15/log0001.csv,2.4,2.6,224,-0.78
2026-06-21,20.18,logs/6-21 pcv fix 20.18/6-21 6 logs combined.csv,1.6,1.8,102,0.0
2026-06-21,20.18,logs/6-21 pcv fix 20.18/6-21 6 logs combined.csv,1.8,2.0,3513,-3.91
2026-06-21,20.18,logs/6-21 pcv fix 20.18/6-21 6 logs combined.csv,2.0,2.2,16049,-2.34
