log_date,rom_rev,log_path,zone,residency_min,n_fires,fires_per_min,n_onsets,onsets_per_min,fbkc_neg_samples,fbkc_neg_samp_per_min,min_fbkc_in_zone
2023-03-31,old_2023_base,logs/Older/3-31 black.csv,ghost,0.055,0,0.0,0,0.0,0,0.0,0.0
2023-03-31,old_2023_base,logs/Older/3-31 black.csv,cusp,0.06,0,0.0,0,0.0,0,0.0,0.0
2023-03-31,old_2023_base,logs/Older/3-31 black.csv,rect,0.022,0,,0,,0,,0.0
2026-03-21,garn_base,logs/Older/3-21.csv,ghost,0.99,0,0.0,0,0.0,83,83.8,-1.4
2026-03-21,garn_base,logs/Older/3-21.csv,cusp,1.099,0,0.0,0,0.0,80,72.8,-1.4
2026-03-21,garn_base,logs/Older/3-21.csv,rect,0.579,0,0.0,0,0.0,61,105.3,-1.4
2026-03-30,garn_base,logs/Older/3-30.csv,ghost,1.235,0,0.0,0,0.0,0,0.0,0.0
2026-03-30,garn_base,logs/Older/3-30.csv,cusp,1.563,1,0.64,1,0.64,50,32.0,-1.4
2026-03-30,garn_base,logs/Older/3-30.csv,rect,0.777,0,0.0,0,0.0,0,0.0,0.0
2026-04-01,garn_base,logs/Older/4-1.csv,ghost,0.476,0,0.0,0,0.0,0,0.0,0.0
2026-04-01,garn_base,logs/Older/4-1.csv,cusp,0.514,0,0.0,0,0.0,0,0.0,0.0
2026-04-01,garn_base,logs/Older/4-1.csv,rect,0.305,0,0.0,0,0.0,0,0.0,0.0
2026-04-11,20.7,logs/Older/4-11.csv,ghost,0.527,6,11.378,1,1.896,109,206.7,-9.45
2026-04-11,20.7,logs/Older/4-11.csv,cusp,0.567,11,19.389,3,5.288,84,148.1,-9.45
2026-04-11,20.7,logs/Older/4-11.csv,rect,0.369,6,16.275,1,2.712,91,246.8,-9.45
2026-04-12,20.7,logs/Older/4-12 big.csv,ghost,9.662,9,0.931,8,0.828,344,35.6,-2.8
2026-04-12,20.7,logs/Older/4-12 big.csv,cusp,6.262,8,1.278,8,1.278,270,43.1,-1.4
2026-04-12,20.7,logs/Older/4-12 big.csv,rect,4.754,6,1.262,6,1.262,234,49.2,-1.4
2026-04-23,20.8,logs/April/4-23/log0001.csv,ghost,0.359,0,0.0,0,0.0,0,0.0,0.0
2026-04-23,20.8,logs/April/4-23/log0001.csv,cusp,0.297,0,0.0,0,0.0,0,0.0,0.0
2026-04-23,20.8,logs/April/4-23/log0001.csv,rect,0.189,0,0.0,0,0.0,0,0.0,0.0
2026-04-23,20.8,logs/April/4-23/log0002.csv,ghost,0.271,0,0.0,0,0.0,0,0.0,0.0
2026-04-23,20.8,logs/April/4-23/log0002.csv,cusp,0.485,0,0.0,0,0.0,0,0.0,0.0
2026-04-23,20.8,logs/April/4-23/log0002.csv,rect,0.079,0,0.0,0,0.0,0,0.0,0.0
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,ghost,3.681,7,1.901,4,1.087,133,36.1,-4.2
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,cusp,2.814,6,2.132,3,1.066,97,34.5,-4.2
2026-04-24,20.8,logs/April/4-24/4-24 full.csv,rect,1.891,6,3.173,3,1.587,95,50.2,-4.2
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,ghost,4.429,2,0.452,2,0.452,27,6.1,-2.8
2026-04-25,20.9,logs/April/4-25/4-25 full.csv,cusp,2.672,3,1.123,2,0.749,28,10.5,-2.8
