sample,time,wbo2,FFB,EGT,AFC,AFL,correction,RPM,load,MPH,Timing,IAT,MAF,MAF(V),Accelerator,Throttle,RQTQ,ATM(psi),MAP,mrp,Trgt_Boost,IAM,CL/OL,FLKC,FBKC,avcs,wgdc,tdi,Tdp,IPW,IDC,Misfire2,Misfire3,Misfire4
4142,6514.04,13.7924,14.2748,31,4.6875,-7.03125,-2.34375,2814.25,,45.3601,27,42.8,28.35,2.18,11.3725,17.6471,73.2387,14.3647,7.395,,-6.17383,1,8,0,0,20,71.3726,0,0,3.84,0,0,0,0
4143,6514.08,13.8349,14.2142,31,3.90625,-7.03125,-3.125,2818,,45.3601,27,42.8,28.25,2.16,11.3725,16.8627,73.2257,14.3647,7.395,,-6.73553,1,8,0,0,20,71.3726,0,0,3.84,0,0,0,0
4144,6514.12,13.539,14.2142,31,3.90625,-7.03125,-3.125,2813.75,,45.3601,27.5,42.8,25.87,2.12,12.1569,16.4706,87.4811,14.3647,7.25,,-6.73553,1,8,0,0,20,71.3726,0,0,3.584,0,0,0,0
4145,6514.16,13.8775,14.2748,31,4.6875,-7.03125,-2.34375,2800.75,,45.3601,28,42.8,25.97,2.14,12.1569,17.2549,82.7358,14.3647,7.105,,-6.17383,1,8,0,0,20,71.3726,0,0,3.584,0,0,0,0
4146,6514.2,13.7924,14.2748,31,4.6875,-7.03125,-2.34375,2803.5,,45.3601,28,42.8,27.47,2.14,11.7647,17.2549,77.9983,14.3647,7.25,,-6.17383,1,8,0,0,20,71.3726,0,0,3.584,0,0,0,0
4147,6514.24,13.9181,14.2748,31,4.6875,-7.03125,-2.34375,2809.25,,45.3601,28,42.8,27.03,2.16,12.1569,16.8627,87.4428,14.3647,7.25,,-6.54544,1,8,0,0,20,71.3726,0,0,3.584,0,0,0,0
4148,6514.28,13.6667,14.2748,31,4.6875,-7.03125,-2.34375,2807,,45.3601,28,42.8,27.33,2.14,12.1569,16.8627,87.4132,14.3647,7.105,,-6.1517,1,8,0,0,20,71.3726,0,0,3.584,0,0,0,0
4149,6514.32,14.0457,14.2748,31,5.46875,-7.03125,-1.5625,2820,,45.3601,28,42.8,26.89,2.16,12.1569,17.2549,82.6819,14.3647,7.25,,-6.1517,1,8,0,0,20,71.3726,0,0,3.584,0,0,0,0
4150,6514.36,13.9606,14.2748,31,5.46875,-7.03125,-1.5625,2824,,45.3601,28,42.8,27.62,2.16,12.9412,17.6471,96.8772,14.3647,7.105,,-6.34659,1,8,0,0,20,71.3726,0,0,3.584,0,0,0,0
4151,6514.4,14.1714,14.2748,31,5.46875,-7.03125,-1.5625,2824.25,,45.3601,27.5,42.8,29.61,2.2,12.9412,18.0392,96.8759,14.3647,7.25,,-5.767,1,8,0,0,20,71.3726,0,0,3.84,0,0,0,0
4152,6514.44,14.0032,14.2748,31,6.25,-7.03125,-0.78125,2827.75,,45.3601,27,42.8,30.19,2.2,12.549,18.0392,92.1318,14.3647,7.54,,-5.767,1,8,0,0,20,71.3726,0,0,3.84,0,0,0,0
4153,6514.48,14.1289,14.1607,31,6.25,-7.03125,-0.78125,2818,,45.3601,26.5,42.8,30.41,2.2,12.549,18.0392,92.1507,14.3647,7.54,,-5.94805,1,8,0,0,20,71.3726,0,0,3.84,0,0,0,0
4154,6514.52,14.0457,14.1607,31,7.03125,-7.03125,0,2815.5,,45.9815,26.5,42.8,30.09,2.2,12.549,17.6471,92.1547,14.3647,7.54,,-5.94805,1,8,0,0,20,71.3726,0,0,3.84,0,0,0,0
4155,6514.56,14.214,14.1407,31,7.03125,-7.03125,0,2815.25,,45.9815,26,42.8,29.64,2.18,12.1569,17.6471,87.4213,14.3647,7.54,,-5.94977,1,8,0,0,20,71.3726,0,0,4.096,0,0,0,0
